run	global_block	stage	block	head	mean_js	mean_cosine_distance	mean_topk_overlap_change	mean_entropy_delta	oscillation_score	spike_score	reversal_score	late_window_score	post_peak_drop_score	acc_up_corr	acc_down_corr	harmful_score	beneficial_score	custom_subset_token	stage_block_head
original	6	2	2	6	3.332798285126142e-05	0.00011203720359583465	0.057397959183673464	0.00021541191784342958	0.05756486556190491	1.332358341863718	0.36363636363636365	0.05756486556190491	0.0018799781934703609	0.6854345570608645	-0.6854345570608645	0.8217080850647523	0.40339669166204245	6:6	2:2:6
scheme_c	7	2	3	7	7.3605165851287e-05	0.00015902762276124674	0.028061224489795922	0.0009965053211119512	0.028393507810519646	1.6281637858659253	0.36363636363636365	0.028393507810519646	0.0004310578738761828	0.7245705972432326	-0.7245705972432326	0.9352918701220762	0.3926472228427419	7:7	2:3:7
original	4	2	0	1	2.742644240472375e-05	4.106309229851002e-05	0.012329931972789117	0.0008376484223933481	0.012482186349731686	1.6514900446365044	0.5454545454545454	0.012482186349731686	0.0003082106793616149	0.676036930889438	-0.676036930889438	0.9757885463579816	0.351456341674475	4:1	2:0:1
scheme_c	2	1	0	4	3.5518645109492594e-05	1.7089362206919774e-06	0.03784013605442176	0.005256653315362163	0.038403028967288165	1.353892168628715	0.45454545454545453	0.038403028967288165	0.0006988480816785367	0.5914166142552526	-0.5914166142552526	0.832140828667536	0.33625925517854616	2:4	1:0:4
scheme_c	10	3	0	13	0.0007439629222882994	0.001177603006505314	0.03188775510204081	0.015635392362024565	0.035372860267036885	1.2240889202014655	0.45454545454545453	0.035372860267036885	0.0008057129456356377	0.5510328742653867	-0.5510328742653867	0.7644634427862643	0.31276531315828027	10:13	3:0:13
original	11	3	1	4	0.00025814321743067753	0.0006410647874629157	0.010629251700680272	0.004341125280803215	0.011962572233654186	2.230699351266338	0.45454545454545453	0.011962572233654186	0.00038529591948269757	0.5626728624259868	-0.5626728624259868	1.2423352328729256	0.2942037431635624	11:4	3:1:4
scheme_c	6	2	2	7	6.234410647406895e-05	6.441767522581225e-05	0.011054421768707483	0.0017015399509636338	0.011351337545503729	1.8627307775228916	0.45454545454545453	0.011351337545503729	3.840206072810675e-05	0.5461254666650183	-0.5461254666650183	1.0566305626367851	0.2851315181010383	6:7	2:2:7
original	11	3	1	16	0.00023592621611144646	0.000603679808880995	0.027636054421768714	0.003149848888238623	0.02879064533558501	1.6321936485318749	0.6363636363636364	0.02879064533558501	0.0007756854686900752	0.4855026391455311	-0.4855026391455311	1.0072392803851526	0.273389497135382	11:16	3:1:16
original	9	2	5	6	0.0001526934501811061	0.00036711540971823275	0.038265306122448974	0.0011539045659820408	0.03890050543894652	1.4584905242699246	0.6363636363636364	0.03890050543894652	0.0012250865431303608	0.4620583250877947	-0.4620583250877947	0.9318197975793222	0.2720322148293197	9:6	2:5:6
original	11	3	1	12	0.0002369981066906817	0.00048187863722543023	0.04719387755102041	0.0030208549481505567	0.04821483978975158	1.287332678674765	0.45454545454545453	0.04821483978975158	0.0016779699009574942	0.43138087080132875	-0.43138087080132875	0.8116852190551488	0.2663929417518507	11:12	3:1:12
