run	ckpt_a	ckpt_b	acc_a	acc_b	acc_delta	global_block	stage	block	head	js_divergence	cosine_distance	topk_overlap_change	entropy_a	entropy_b	entropy_delta	oscillation_score
original	48	49	80.598	80.514	-0.08400000000000318	0	0	0	0	7.13097935574012e-07	2.165211266502709e-06	0.0	3.77528890140757	3.775423531383025	0.00013462997545499178	1.63413067475759e-05
original	48	49	80.598	80.514	-0.08400000000000318	0	0	0	1	6.54033758076222e-07	1.9400433892702296e-07	0.0	2.2339988308971197	2.234690612419061	0.0006917815219411594	7.002619029111919e-05
original	48	49	80.598	80.514	-0.08400000000000318	0	0	0	2	1.0101644975869764e-06	3.635764972975686e-06	0.015306122448979591	3.824423235423639	3.8242648882560597	0.00015834716757945344	0.0153266030952081
original	48	49	80.598	80.514	-0.08400000000000318	1	0	1	0	3.587539324748396e-06	1.2389359578035553e-05	0.025510204081632654	3.7229732006814307	3.7224499002015947	0.0005233004798359531	0.025578511028519033
original	48	49	80.598	80.514	-0.08400000000000318	1	0	1	1	5.9621674357924815e-06	1.1834900184304331e-06	0.0	2.0447169956806763	2.0470788454412143	0.002361849760537993	0.0002433306335080222
original	48	49	80.598	80.514	-0.08400000000000318	1	0	1	2	2.8841858560699317e-06	1.0005229287735062e-05	0.0	3.7371375498437014	3.7366835674353616	0.00045398240833982584	5.8287655977787585e-05
original	48	49	80.598	80.514	-0.08400000000000318	2	1	0	0	4.944392787927509e-06	1.452102655219445e-05	0.04081632653061224	3.79088015372891	3.790842103837703	3.804989120714808e-05	0.040839596939073075
original	48	49	80.598	80.514	-0.08400000000000318	2	1	0	1	8.393147913959044e-06	2.8228566828047974e-05	0.03571428571428571	3.7767085858649256	3.775873776271354	0.0008348095935715172	0.035834388388384875
original	48	49	80.598	80.514	-0.08400000000000318	2	1	0	2	2.628607895978466e-05	3.82261366271841e-06	0.01020408163265306	1.770405136468097	1.7767073932259803	0.006302256757883207	0.010864416001063885
original	48	49	80.598	80.514	-0.08400000000000318	2	1	0	3	3.58304057798289e-05	3.921480953184009e-06	0.01020408163265306	1.4134561626993891	1.4262713309689656	0.012815168269576516	0.011525350346343725
original	48	49	80.598	80.514	-0.08400000000000318	2	1	0	4	4.4254420913788795e-05	2.3493556366993573e-06	0.03571428571428571	0.8135690474611343	0.8259386399891554	0.012369592528021056	0.03699784874363831
original	48	49	80.598	80.514	-0.08400000000000318	2	1	0	5	3.1523591305813845e-05	1.5022338644143929e-06	0.025510204081632654	0.9758404352653468	0.98162106304982	0.005780627784473191	0.0261212926852502
original	48	49	80.598	80.514	-0.08400000000000318	3	1	1	0	4.298753136981096e-06	6.890744388754477e-06	0.00510204081632653	3.0899327858376497	3.089910071674963	2.271416268673221e-05	0.005115501730120939
original	48	49	80.598	80.514	-0.08400000000000318	3	1	1	1	2.4528491871667596e-05	1.0692877410067858e-05	0.0	1.9160511912755338	1.91058719837235	0.00546399290318389	0.0005816206596001244
original	48	49	80.598	80.514	-0.08400000000000318	3	1	1	2	2.314072823819407e-05	3.0536868524499994e-05	0.0	3.031302006310553	3.027002040881013	0.00429996542953992	0.00048367413971668616
original	48	49	80.598	80.514	-0.08400000000000318	3	1	1	3	3.269172098792942e-05	6.89402782547699e-05	0.03571428571428571	3.4051454057886557	3.4051792692546203	3.3863465964678596e-05	0.03581930406012488
original	48	49	80.598	80.514	-0.08400000000000318	3	1	1	4	1.99476328025821e-05	1.4055777336596798e-05	0.0	2.733658877947215	2.734840333798017	0.0011814558508018713	0.00015214899521936605
original	48	49	80.598	80.514	-0.08400000000000318	3	1	1	5	1.2494975416022027e-05	2.3752123860076857e-05	0.00510204081632653	3.280596014389871	3.281326887029454	0.0007308726395827136	0.005211375179560901
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	0	2.7500088494547405e-05	2.547153715692918e-05	0.0	2.62005883395719	2.621260812173404	0.001201978216213817	0.0001731694472728583
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	1	2.8309572986990618e-05	3.860479091322144e-05	0.01020408163265306	3.4194439590725203	3.421091396040775	0.0016474369682546453	0.010435739693378736
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	2	5.187776876970492e-05	0.000138166801529227	0.025510204081632654	3.6212451137444783	3.6221715060802993	0.0009263923358209247	0.02579288788551368
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	3	6.093019044911703e-05	0.00018083358328302435	0.04081632653061224	3.698800462316382	3.6990780352897312	0.00027757297334929376	0.04108584760167931
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	4	2.7547791506996154e-05	8.919000777019015e-05	0.025510204081632654	3.7763111276197225	3.7761896899586698	0.0001214376610527701	0.025639085647015114
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	5	2.8729255242505194e-05	8.155081953842291e-06	0.00510204081632653	2.1077931337702425	2.107114517598694	0.0006786161715486294	0.00520678677067774
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	6	3.960155252839932e-05	9.667220866038662e-06	0.01020408163265306	2.253107177476863	2.2542879501748523	0.0011807726979893296	0.010371427675846432
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	7	2.6617719540635942e-05	9.88433710378267e-05	0.10204081632653061	3.836282891837563	3.8362370529446874	4.5838892875682546e-05	0.10217086130639665
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	8	3.4078744220866866e-05	0.00012614266667865248	0.08673469387755102	3.850211244167584	3.8504700285846494	0.0002587844170651721	0.08692079373015706
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	9	2.1613509337028386e-05	4.955275921370017e-05	0.02040816326530612	3.3728661276131935	3.3749331791438157	0.0020670515306222548	0.020686034686919073
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	10	4.1328909426006216e-05	7.3773618665118335e-06	0.0	2.096243378213381	2.0947228729531515	0.001520505260229399	0.00020075679731545795
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	11	3.3619274759109925e-05	8.19259598505706e-06	0.0	1.931602318322259	1.9305793687096384	0.0010229496126206161	0.0001441068320062286
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	0	8.462453614648861e-05	0.0001556084003396796	0.00510204081632653	3.2081527116861825	3.206128241318443	0.0020244703677394504	0.005544720789586643
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	1	4.675975506389223e-05	0.00012104266433932143	0.03571428571428571	3.5590685828224196	3.5591472153052623	7.863248284278868e-05	0.035889951381973206
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	2	3.618046774529091e-05	7.17807218069133e-05	0.01020408163265306	3.3877945854981215	3.389212661239139	0.0014180757410175993	0.010453850396307024
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	3	5.594594298900958e-05	3.341795384470547e-05	0.0	2.511367347701431	2.513881923644724	0.0025145759432927406	0.00034082149116298913
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	4	5.669135741783425e-05	3.5531293460566715e-05	0.02040816326530612	2.532515717313762	2.533513633414695	0.0009979161009332493	0.020600177526277845
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	5	5.814546807277189e-05	1.728441663650937e-05	0.0	2.162070168597893	2.1582063958998066	0.003863772698086354	0.0004618071545179167
