run	global_block	stage	block	head	mean_js	mean_cosine_distance	mean_topk_overlap_change	mean_entropy_delta	oscillation_score	spike_score	reversal_score	late_window_score	post_peak_drop_score	acc_up_corr	acc_down_corr	harmful_score	beneficial_score	custom_subset_token	stage_block_head
original	0	0	0	0	8.685560258869736e-07	2.6830939787817845e-06	0.0	0.000314229089653247	3.497455896999346e-05	2.3252868742256707	0.45454545454545453	3.497455896999346e-05	9.805008553840388e-07	0.3767859712230003	-0.3767859712230003	1.2763183658484083	0.18843018353261484	0:0	0:0:0
original	0	0	0	1	5.284685446778115e-07	1.5880146493156092e-07	0.0	0.00023510833595859668	2.4198103605469044e-05	2.8938708809157094	0.45454545454545453	2.4198103605469044e-05	7.278776797041869e-07	-0.44007234442488086	0.44007234442488086	1.7806356361481244	2.44484083749e-05	0:1	0:0:1
original	0	0	0	2	1.1909494791298156e-06	4.356456422447789e-06	0.005952380952380953	0.00013017812371777607	0.005970946170654308	2.5668633838917554	0.6363636363636364	0.005970946170654308	0.00015372317410359808	-0.2992512076710721	0.2992512076710721	1.5988580894063629	0.006061265715045237	0:2	0:0:2
original	1	0	1	0	3.7949924562800857e-06	1.2349368924441384e-05	0.016156462585034014	0.00046644546940669923	0.016219251493355402	1.5803225289250626	0.45454545454545453	0.016219251493355402	0.0005764799914891616	-0.06113329912647779	0.06113329912647779	0.9528753055198571	0.016931991951998036	1:0	0:1:0
original	1	0	1	1	4.1502859340955605e-06	1.554568803556015e-06	0.0038265306122448974	0.0013216656006734828	0.003964402027049898	2.621848137573619	0.6363636363636364	0.003964402027049898	0.0001905203991959896	-0.08687358080793857	0.08687358080793857	1.5180670593010972	0.0041003019325561	1:1	0:1:1
original	1	0	1	2	2.936513419809985e-06	1.0089416140585117e-05	0.00510204081632653	0.00027031851520664674	0.00514209859740759	1.9993467480117935	0.45454545454545453	0.00514209859740759	0.00025133178748318677	-0.23072160310860518	0.23072160310860518	1.2346631883435026	0.005254202481345616	1:2	0:1:2
original	2	1	0	0	5.045726342357905e-06	1.4714411892121268e-05	0.028911564625850334	9.945868249849887e-05	0.028941270632334662	1.4116208329602533	0.6363636363636364	0.028941270632334662	0.0010968332650584706	-0.3502703222558451	0.3502703222558451	1.073289055865579	0.030025989979184316	2:0	1:0:0
original	2	1	0	1	7.723149579414173e-06	2.5114397991354842e-05	0.02040816326530612	0.0003655911983220979	0.0204775599327091	1.7499344894796844	0.5454545454545454	0.0204775599327091	0.0007202665229766698	-0.36920023356659293	0.36920023356659293	1.2193588618016693	0.021052676332259938	2:1	1:0:1
original	2	1	0	2	2.4662872046512196e-05	3.3448420664883294e-06	0.004676870748299319	0.003556195566092213	0.0050604980190215405	2.1469064819469366	0.5454545454545454	0.0050604980190215405	0.00018679414468066862	-0.2594228991767206	0.2594228991767206	1.3453759921544979	0.005193595335774406	2:2	1:0:2
original	2	1	0	3	3.103529544568788e-05	2.9033285821507735e-06	0.014455782312925167	0.007546377917954668	0.015244358728748473	1.756607343825317	0.2727272727272727	0.015244358728748473	0.0005966282987546047	0.19012356090511684	-0.19012356090511684	0.9639288011942408	0.11118909455328274	2:3	1:0:3
