run	global_block	stage	block	head	mean_js	mean_cosine_distance	mean_topk_overlap_change	mean_entropy_delta	oscillation_score	spike_score	reversal_score	late_window_score	post_peak_drop_score	acc_up_corr	acc_down_corr	harmful_score	beneficial_score	custom_subset_token	stage_block_head
scheme_c	5	2	1	7	2.172657323318989e-05	1.1369398589154237e-05	0.00042517006802721087	0.0006747416980371993	0.0005257402096532749	9.957436377461176	0.5454545454545454	0.0005257402096532749	2.4560114132616494e-06	0.09915698487558532	-0.09915698487558532	5.115617430299198	0.05013035385717719	5:7	2:1:7
original	4	2	0	11	2.9334629479010638e-05	5.70649279884224e-06	0.00042517006802721087	0.0008452821750567127	0.000544739407810735	9.476820020857959	0.45454545454545453	0.000544739407810735	6.613950097768399e-05	-0.3773159694915728	0.3773159694915728	5.041471709584968	0.0005311252851876996	4:11	2:0:11
scheme_c	8	2	4	4	0.0042827890194737026	0.014997186169806775	0.05612244897959184	0.06595338411784231	0.08199776258065657	5.197408319560638	0.5454545454545454	0.08199776258065657	0.005108823677630171	-0.2582331709065715	0.2582331709065715	2.963852635020386	0.08295301047848666	8:4	2:4:4
scheme_c	1	0	1	2	2.6153216354825864e-06	8.897780064261637e-06	0.002125850340136054	0.00016591826374294053	0.002153955268210093	4.7438951309295465	0.5454545454545454	0.002153955268210093	9.166182899870295e-07	0.30778732528368835	-0.30778732528368835	2.5105148734308154	0.1562411173086143	1:2	0:1:2
original	3	1	1	1	2.078121136670799e-05	8.012491831595655e-06	0.0008503401360544217	0.0036855245496331124	0.0012476862942160365	4.317406211108123	0.36363636363636365	0.0012476862942160365	3.7073412603972855e-05	0.28755048362638236	-0.28755048362638236	2.250992691979761	0.145139315462047	3:1	1:1:1
scheme_c	3	1	1	1	2.3304308732020115e-05	8.590260228767225e-06	0.0008503401360544217	0.004965895491449435	0.0013788242541601526	3.974663027008412	0.45454545454545453	0.0013788242541601526	1.5994872655439145e-05	0.12000476236779138	-0.12000476236779138	2.1024074511594	0.06143811050235798	3:1	1:1:1
scheme_c	11	3	1	4	0.002123403895181938	0.0037592002323330507	0.008078231292517007	0.055864621406530146	0.01954729756068501	3.5928719683684784	0.36363636363636365	0.01954729756068501	0.0010871623240592625	-0.3187577416800474	0.3187577416800474	2.0700778554233272	0.019887398377827124	11:4	3:1:4
scheme_c	5	2	1	4	5.6070946377729624e-05	3.767536471223817e-05	0.0076530612244897975	0.0014565030477989849	0.00789245784035966	3.279610940859793	0.5454545454545454	0.00789245784035966	0.0005834680817593445	-0.46081969861126976	0.46081969861126976	2.0165814481571105	0.008151606356631777	5:4	2:1:4
scheme_c	11	3	1	18	0.002390545363562286	0.0031019591400390048	0.022959183673469385	0.06449889987195197	0.03490157816426588	3.2045447153863784	0.5454545454545454	0.03490157816426588	0.0015164354575920263	-0.3234296868353528	0.3234296868353528	1.941013569618912	0.03565896535190278	11:18	3:1:18
scheme_c	6	2	2	1	0.0007207153713153936	0.0030195623365767235	0.06420068027210883	0.010300791582303534	0.06897103713823131	3.253336563628761	0.5454545454545454	0.06897103713823131	0.003279139249027288	-0.16985205467865508	0.16985205467865508	1.9287560917680646	0.07155138668890355	6:1	2:2:1
original	5	2	1	5	5.1744953919241474e-05	1.6091700576157757e-05	0.0012755102040816326	0.0018545392903115039	0.001528800787608182	3.604367622348486	0.45454545454545453	0.001528800787608182	8.316513679604118e-06	0.3357893985555979	-0.3357893985555979	1.91738335212404	0.16954110643055123	5:5	2:1:5
original	0	0	0	1	5.284685446778115e-07	1.5880146493156092e-07	0.0	0.00023510833595859668	2.4198103605469044e-05	2.8938708809157094	0.45454545454545453	2.4198103605469044e-05	7.278776797041869e-07	-0.44007234442488086	0.44007234442488086	1.7806356361481244	2.44484083749e-05	0:1	0:0:1
scheme_c	2	1	0	2	2.4291917756402248e-05	3.147797195642473e-06	0.002976190476190476	0.003404410597494171	0.0033440712508919375	3.139528653262037	0.5454545454545454	0.0033440712508919375	6.774674352310899e-05	-0.09414194115345532	0.09414194115345532	1.7568279436501268	0.0034120704219274167	2:2	1:0:2
scheme_c	0	0	0	1	5.61740022698315e-07	1.9662162223377244e-07	0.0	0.00020661705447659143	2.1420067092591233e-05	2.8183615259204733	0.6363636363636364	2.1420067092591233e-05	6.907951365936292e-07	-0.3576708297329909	0.3576708297329909	1.7471316194472017	2.1812717348151434e-05	0:1	0:0:1
original	7	2	3	3	3.4628223448780395e-05	9.369003390021409e-05	0.004676870748299319	0.0003795610015479382	0.004843145105803108	3.189791825616012	0.5454545454545454	0.004843145105803108	0.00010340258268186033	-0.014382997064303982	0.014382997064303982	1.7438554663659498	0.005076886819980006	7:3	2:3:3
scheme_c	3	1	1	0	4.2273753322415165e-06	6.809356119176953e-06	0.0017006802721088435	0.0002831958990122674	0.0017400365934614886	2.9761855933790664	0.5454545454545454	0.0017400365934614886	3.2381089364245395e-05	-0.17477475894693006	0.17477475894693006	1.713763149312955	0.001763265605909538	3:0	1:1:0
original	5	2	1	7	2.1820315828363128e-05	1.0721264103637681e-05	0.0017006802721088435	0.0004548160143491205	0.0017787034534757565	2.950360611873856	0.6363636363636364	0.0017787034534757565	0.00011537398946488043	-0.09995195193050728	0.09995195193050728	1.6864113719078815	0.00185025616112255	5:7	2:1:7
scheme_c	11	3	1	21	0.0003099649730341683	0.0006424548720680526	0.005952380952380953	0.0094635430934783	0.007851155106831003	2.4467288993875944	0.45454545454545453	0.007851155106831003	0.0004823294831643116	-0.6622624857534811	0.6622624857534811	1.6777336650923826	0.007972158841678175	11:21	3:1:21
original	7	2	3	5	8.01455701254482e-05	4.966372375177682e-05	0.00977891156462585	0.0018517483013870868	0.010093895688641783	3.0530186353602726	0.5454545454545454	0.010093895688641783	0.00018919285253644088	0.4552783891189843	-0.4552783891189843	1.6738526249944656	0.23869309069101038	7:5	2:3:5
scheme_c	4	2	0	0	3.112452534138334e-05	2.4320748649618123e-05	0.0	0.0023457158655620924	0.00029001686054721073	3.033802914206662	0.5454545454545454	0.00029001686054721073	6.099650105406526e-06	0.222428123160535	-0.222428123160535	1.6535808900902462	0.11152225506419484	4:0	2:0:0
