run	global_block	stage	block	head	mean_js	mean_cosine_distance	mean_topk_overlap_change	mean_entropy_delta	oscillation_score	spike_score	reversal_score	late_window_score	post_peak_drop_score	acc_up_corr	acc_down_corr	harmful_score	beneficial_score	custom_subset_token	stage_block_head
original	8	2	4	9	0.0015567623041196398	0.00445242947220803	0.3520408163265306	0.0018627505248671739	0.358236283155345	0.9999999999972086	0.0	0.358236283155345	0.0	0.0	0.0	0.9184199787240496	0.34319035926281993	8:9	2:4:9
scheme_c	8	2	4	9	0.003169518026327894	0.007750369951013192	0.32653061224489793	0.0005283214482525445	0.33750333236706426	0.9999999999970371	0.0	0.33750333236706426	0.0	0.0	0.0	0.8739536922612272	0.3283907423931532	8:9	2:4:9
original	6	2	2	6	0.0008848188732670356	0.003133697258614565	0.3010204081632653	0.0003547567761170711	0.3050743999727586	0.9999999999967222	0.0	0.3050743999727586	0.0	0.0	0.0	0.856326899166545	0.29226127517390227	6:6	2:2:6
scheme_c	4	2	0	8	0.0010781761499771493	0.0038282103518806343	0.3010204081632653	0.001597696435735596	0.30608656430869663	0.9999999999967331	0.0	0.30608656430869663	0.0	0.0	0.0	0.8391439132524037	0.2978222270723615	4:8	2:0:8
original	4	2	0	8	0.0010562595416441852	0.0037794099602603826	0.27040816326530615	0.002159089394716762	0.27545974170668236	0.9999999999963698	0.0	0.27545974170668236	0.0	0.0	0.0	0.8217369783115915	0.2638904325550013	4:8	2:0:8
original	8	2	4	2	0.003596623557084719	0.0113483290729961	0.25510204081632654	0.00036147615180759374	0.27008314106158815	0.9999999999962975	0.0	0.27008314106158815	0.0	0.0	0.0	0.8154571087580854	0.25873964913700104	8:2	2:4:2
original	4	2	0	7	0.0008742144946749146	0.0030702503557223926	0.2653061224489796	0.0011660011603029652	0.2693671874154072	0.9999999999962876	0.0	0.2693671874154072	0.0	0.0	0.0	0.8146208748993412	0.2580537655439597	4:7	2:0:7
original	6	2	2	1	0.0011467759112560047	0.0032945704300846312	0.25510204081632654	0.003763112407158431	0.259919698398383	0.9999999999961527	0.0	0.259919698398383	0.0	0.0	0.0	0.8035862077273893	0.24900307106565053	6:1	2:2:1
scheme_c	8	2	4	3	0.00418080310271939	0.012223171392103271	0.25510204081632654	0.0021595489862558104	0.2717219702097748	0.9999999999963198	0.0	0.2717219702097748	0.0	0.0	0.0	0.8010679429905916	0.2643854770141106	8:3	2:4:3
scheme_c	6	2	2	6	0.0010202483791438236	0.003520908398466527	0.2653061224489796	0.00042819739298005643	0.26989009896588795	0.9999999999962949	0.0	0.26989009896588795	0.0	0.0	0.0	0.7990382296523524	0.2626030662938087	6:6	2:2:6
original	8	2	4	3	0.003780785489143459	0.010969587858595475	0.23979591836734693	0.0011001986480057013	0.25465631157988644	0.9999999999960733	0.0	0.25465631157988644	0.0	0.0	0.0	0.7974385719233456	0.2439607464935308	8:3	2:4:3
original	6	2	2	2	0.0028900875661661803	0.00874757348755173	0.23979591836734693	0.00038017808153290034	0.2514715972292181	0.9999999999960235	0.0	0.2514715972292181	0.0	0.0	0.0	0.7937188255617401	0.24090979014559052	6:2	2:2:2
original	6	2	2	11	0.001405899950265709	0.004484723036765725	0.24489795918367346	0.0037418299123785914	0.25116276516194275	0.9999999999960186	0.0	0.25116276516194275	0.0	0.0	0.0	0.79335810970716	0.24061392902514075	6:11	2:2:11
scheme_c	4	2	0	7	0.0008272156016459586	0.0029481731239572317	0.2602040816326531	0.0011673857744090022	0.26409620893569713	0.9999999999962136	0.0	0.26409620893569713	0.0	0.0	0.0	0.7926185994988603	0.256965611294433	4:7	2:0:7
original	11	3	1	5	0.0027810428291962785	0.007348040500103292	0.22959183673469388	0.004082267327464084	0.24012914679673986	0.9999999999958356	0.0	0.24012914679673986	0.0	0.0	0.0	0.7804708434565114	0.2300437226312764	11:5	3:1:5
scheme_c	10	3	0	13	0.022964858655974075	0.040819404710146556	0.1836734693877551	0.047187375284921895	0.2521764702823679	0.9999999999960346	0.0	0.2521764702823679	0.0	0.0	0.0	0.7794115290708821	0.2453677055847437	10:13	3:0:13
original	9	2	5	3	0.00433579229986536	0.009560206377745795	0.22448979591836735	0.007690247729915889	0.2391548193689701	0.9999999999958186	0.0	0.2391548193689701	0.0	0.0	0.0	0.7793328290208679	0.22911031695547296	9:3	2:5:3
scheme_c	8	2	4	2	0.003701357352551834	0.012333979849017629	0.22959183673469388	5.069098543630801e-05	0.245632243034807	0.9999999999959288	0.0	0.245632243034807	0.0	0.0	0.0	0.7721605252805316	0.23900017247286695	8:2	2:4:2
scheme_c	10	3	0	1	0.017529795687862153	0.025315613976688023	0.1989795918367347	0.030598236514805865	0.24488482515276547	0.9999999999959164	0.0	0.24488482515276547	0.0	0.0	0.0	0.7713323862672233	0.23827293487364054	10:1	3:0:1
original	10	3	0	21	0.0054056444472286025	0.015377930681781504	0.20918367346938777	0.004112072949099321	0.2303784558933078	0.9999999999956593	0.0	0.2303784558933078	0.0	0.0	0.0	0.7690820364812146	0.2207025607457885	10:21	3:0:21
