epoch	phase	top1	top5	samples	rolling_best	drop	applied_head	applied_weight	applied_spike_score	next_head	next_weight	next_spike_score	triggered	reason	prior_source	cooldown_state	window_pulses
0	observe	77.7080	94.0940	50000	77.7080	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
1	observe	78.2980	94.5060	50000	78.2980	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
2	observe	78.5020	94.4740	50000	78.5020	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
3	observe	78.4680	94.6440	50000	78.5020	0.0340		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
4	observe	78.4660	94.6660	50000	78.5020	0.0360		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
5	observe	78.6860	94.6080	50000	78.6860	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
6	observe	78.8220	94.6720	50000	78.8220	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
7	observe	78.8020	94.7680	50000	78.8220	0.0200		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
8	observe	78.7960	94.6840	50000	78.8220	0.0260		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
9	observe	78.9460	94.7940	50000	78.9460	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
10	observe	78.9520	94.7920	50000	78.9520	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
11	observe	79.0720	94.8280	50000	79.0720	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
12	observe	78.9700	94.7980	50000	79.0720	0.1020		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
13	observe	79.2400	94.8700	50000	79.2400	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
14	observe	79.1180	94.8340	50000	79.2400	0.1220		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
15	observe	79.1460	94.9020	50000	79.2400	0.0940		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
16	observe	79.2520	94.8520	50000	79.2520	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
17	observe	79.2860	94.7720	50000	79.2860	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
18	observe	79.3160	94.9980	50000	79.3160	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	ofq_100ep_fromscratch_late_sparse_prevstep_refkl_20260713_static_controller	{}	0
