epoch	phase	top1	top5	samples	rolling_best	drop	applied_head	applied_weight	applied_spike_score	next_head	next_weight	next_spike_score	triggered	reason	prior_source	cooldown_state	window_pulses
10	observe	80.3360	95.2440	50000	80.3360	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_oscillation_20260710_no_live_probe	{}	0
11	observe	80.3760	95.2920	50000	80.3760	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_oscillation_20260710_no_live_probe	{}	0
12	observe	80.3460	95.2740	50000	80.3760	0.0300		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_oscillation_20260710_no_live_probe	{}	0
13	observe	80.3700	95.3000	50000	80.3760	0.0060		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_oscillation_20260710_no_live_probe	{}	0
14	observe	80.3720	95.3000	50000	80.3760	0.0040		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_oscillation_20260710_no_live_probe	{}	0
15	observe	80.3800	95.3140	50000	80.3800	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_oscillation_20260710_no_live_probe	{}	0
16	observe	80.3640	95.3100	50000	80.3800	0.0160		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_oscillation_20260710_no_live_probe	{}	0
17	observe	80.3020	95.2420	50000	80.3800	0.0780		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_oscillation_20260710_no_live_probe	{}	0
18	observe	80.3360	95.2660	50000	80.3800	0.0440		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_oscillation_20260710_no_live_probe	{}	0
19	observe	80.4580	95.3380	50000	80.4580	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_oscillation_20260710_no_live_probe	{}	0
20	observe	80.4660	95.3400	50000	80.4660	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_oscillation_20260710_no_live_probe	{}	0
21	observe	80.5440	95.3640	50000	80.5440	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_oscillation_20260710_no_live_probe	{}	0
