epoch	phase	top1	top5	samples	rolling_best	drop	applied_head	applied_weight	applied_spike_score	next_head	next_weight	next_spike_score	triggered	reason	prior_source	cooldown_state	window_pulses
10	observe	80.2920	95.3400	50000	80.2920	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
11	observe	80.3580	95.2660	50000	80.3580	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
12	observe	80.2740	95.2420	50000	80.3580	0.0840		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
13	observe	80.3440	95.2980	50000	80.3580	0.0140		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
14	observe	80.2840	95.3420	50000	80.3580	0.0740		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
15	observe	80.4040	95.2620	50000	80.4040	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
16	observe	80.4440	95.2980	50000	80.4440	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
17	observe	80.3760	95.2540	50000	80.4440	0.0680		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
18	observe	80.3100	95.3480	50000	80.4440	0.1340		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
19	observe	80.4080	95.3080	50000	80.4440	0.0360		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
