case	wbits	abits	metric	value
ckpt10_start_w4a4	4	4	features.5.5.mse	10.955215454101562
ckpt10_start_w4a4	4	4	features.5.5.mae	1.456099271774292
ckpt10_start_w4a4	4	4	features.5.5.rel_l2	0.5882479548454285
ckpt10_start_w4a4	4	4	features.5.5.student_std	4.615643501281738
ckpt10_start_w4a4	4	4	features.5.5.teacher_std	5.626265525817871
ckpt10_start_w4a4	4	4	features.7.1.mse	4.618082523345947
ckpt10_start_w4a4	4	4	features.7.1.mae	1.1862064599990845
ckpt10_start_w4a4	4	4	features.7.1.rel_l2	0.48508697748184204
ckpt10_start_w4a4	4	4	features.7.1.student_std	3.892888307571411
ckpt10_start_w4a4	4	4	features.7.1.teacher_std	4.430030822753906
ckpt10_start_w4a4	4	4	logits.kl_student_teacher	2.5812876224517822
ckpt10_start_w4a4	4	4	logits.teacher_conf_mean	0.7255218029022217
ckpt10_start_w4a4	4	4	logits.student_top1_agree	0.546875
ckpt10_start_w4a4	4	4	quantizer.input_quant_fn.numel	1761
ckpt10_start_w4a4	4	4	quantizer.input_quant_fn.mean	0.2565537691116333
ckpt10_start_w4a4	4	4	quantizer.input_quant_fn.std	0.16788838803768158
ckpt10_start_w4a4	4	4	quantizer.input_quant_fn.min	0.07549616694450378
ckpt10_start_w4a4	4	4	quantizer.input_quant_fn.p05	0.10041721165180206
ckpt10_start_w4a4	4	4	quantizer.input_quant_fn.p50	0.20376144349575043
ckpt10_start_w4a4	4	4	quantizer.input_quant_fn.p95	0.663094162940979
ckpt10_start_w4a4	4	4	quantizer.input_quant_fn.max	1.195421814918518
ckpt10_start_w4a4	4	4	quantizer.quan_a_qkx_fn.numel	6762
ckpt10_start_w4a4	4	4	quantizer.quan_a_qkx_fn.mean	0.13900126516819
ckpt10_start_w4a4	4	4	quantizer.quan_a_qkx_fn.std	0.053712423890829086
ckpt10_start_w4a4	4	4	quantizer.quan_a_qkx_fn.min	0.022201646119356155
ckpt10_start_w4a4	4	4	quantizer.quan_a_qkx_fn.p05	0.07394016534090042
ckpt10_start_w4a4	4	4	quantizer.quan_a_qkx_fn.p50	0.13494737446308136
ckpt10_start_w4a4	4	4	quantizer.quan_a_qkx_fn.p95	0.21008051931858063
ckpt10_start_w4a4	4	4	quantizer.quan_a_qkx_fn.max	0.5672977566719055
ckpt10_start_w4a4	4	4	quantizer.quan_a_v_fn.numel	4416
ckpt10_start_w4a4	4	4	quantizer.quan_a_v_fn.mean	0.22724823653697968
ckpt10_start_w4a4	4	4	quantizer.quan_a_v_fn.std	0.05986389145255089
ckpt10_start_w4a4	4	4	quantizer.quan_a_v_fn.min	0.04783792793750763
ckpt10_start_w4a4	4	4	quantizer.quan_a_v_fn.p05	0.13353566825389862
ckpt10_start_w4a4	4	4	quantizer.quan_a_v_fn.p50	0.23052123188972473
ckpt10_start_w4a4	4	4	quantizer.quan_a_v_fn.p95	0.325461208820343
ckpt10_start_w4a4	4	4	quantizer.quan_a_v_fn.max	0.41314977407455444
ckpt10_start_w4a4	4	4	quantizer.quan_a_softmax_fn.numel	588
ckpt10_start_w4a4	4	4	quantizer.quan_a_softmax_fn.mean	0.038269080221652985
ckpt10_start_w4a4	4	4	quantizer.quan_a_softmax_fn.std	0.009428565390408039
ckpt10_start_w4a4	4	4	quantizer.quan_a_softmax_fn.min	0.013393251225352287
ckpt10_start_w4a4	4	4	quantizer.quan_a_softmax_fn.p05	0.018544843420386314
ckpt10_start_w4a4	4	4	quantizer.quan_a_softmax_fn.p50	0.03910534083843231
ckpt10_start_w4a4	4	4	quantizer.quan_a_softmax_fn.p95	0.052215803414583206
ckpt10_start_w4a4	4	4	quantizer.quan_a_softmax_fn.max	0.05572868883609772
phase1h_w4a8_ckpt1_as_w4a8	4	8	features.5.5.mse	6.390504360198975
phase1h_w4a8_ckpt1_as_w4a8	4	8	features.5.5.mae	1.0061838626861572
phase1h_w4a8_ckpt1_as_w4a8	4	8	features.5.5.rel_l2	0.44928044080734253
phase1h_w4a8_ckpt1_as_w4a8	4	8	features.5.5.student_std	5.2478251457214355
phase1h_w4a8_ckpt1_as_w4a8	4	8	features.5.5.teacher_std	5.626265525817871
phase1h_w4a8_ckpt1_as_w4a8	4	8	features.7.1.mse	3.046023368835449
phase1h_w4a8_ckpt1_as_w4a8	4	8	features.7.1.mae	0.8087572455406189
phase1h_w4a8_ckpt1_as_w4a8	4	8	features.7.1.rel_l2	0.39396294951438904
phase1h_w4a8_ckpt1_as_w4a8	4	8	features.7.1.student_std	3.460289716720581
phase1h_w4a8_ckpt1_as_w4a8	4	8	features.7.1.teacher_std	4.430030822753906
phase1h_w4a8_ckpt1_as_w4a8	4	8	logits.kl_student_teacher	0.27727335691452026
phase1h_w4a8_ckpt1_as_w4a8	4	8	logits.teacher_conf_mean	0.7255218029022217
phase1h_w4a8_ckpt1_as_w4a8	4	8	logits.student_top1_agree	0.859375
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.input_quant_fn.numel	1761
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.input_quant_fn.mean	0.05653078481554985
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.input_quant_fn.std	0.039710741490125656
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.input_quant_fn.min	0.010759701952338219
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.input_quant_fn.p05	0.018422171473503113
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.input_quant_fn.p50	0.044134993106126785
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.input_quant_fn.p95	0.1513173133134842
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.input_quant_fn.max	0.27745896577835083
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_qkx_fn.numel	6762
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_qkx_fn.mean	0.03252860903739929
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_qkx_fn.std	0.012639712542295456
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_qkx_fn.min	0.0006502600735984743
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_qkx_fn.p05	0.017276933416724205
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_qkx_fn.p50	0.03155837208032608
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_qkx_fn.p95	0.04930143430829048
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_qkx_fn.max	0.1332147717475891
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_v_fn.numel	4416
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_v_fn.mean	0.22788722813129425
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_v_fn.std	0.05992329493165016
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_v_fn.min	0.0474715419113636
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_v_fn.p05	0.13373619318008423
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_v_fn.p50	0.23133501410484314
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_v_fn.p95	0.3253173232078552
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_v_fn.max	0.4139089584350586
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_softmax_fn.numel	588
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_softmax_fn.mean	0.03855673968791962
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_softmax_fn.std	0.01002225186675787
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_softmax_fn.min	0.011092592030763626
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_softmax_fn.p05	0.016534743830561638
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_softmax_fn.p50	0.039269525557756424
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_softmax_fn.p95	0.0532524436712265
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_softmax_fn.max	0.05631471052765846
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.5.5.mse	30.005537033081055
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.5.5.mae	1.7231156826019287
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.5.5.rel_l2	0.9735329747200012
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.5.5.student_std	0.9306904673576355
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.5.5.teacher_std	5.626265525817871
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.7.1.mse	5.9447245597839355
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.7.1.mae	1.245186448097229
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.7.1.rel_l2	0.5503698587417603
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.7.1.student_std	3.0801467895507812
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.7.1.teacher_std	4.430030822753906
phase1h_w4a8_ckpt1_as_w4a4	4	4	logits.kl_student_teacher	5.380596160888672
phase1h_w4a8_ckpt1_as_w4a4	4	4	logits.teacher_conf_mean	0.7255218029022217
phase1h_w4a8_ckpt1_as_w4a4	4	4	logits.student_top1_agree	0.0
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.input_quant_fn.numel	1761
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.input_quant_fn.mean	0.056676894426345825
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.input_quant_fn.std	0.03969436511397362
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.input_quant_fn.min	0.010759701952338219
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.input_quant_fn.p05	0.018500521779060364
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.input_quant_fn.p50	0.044461023062467575
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.input_quant_fn.p95	0.1513173133134842
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.input_quant_fn.max	0.27745896577835083
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_qkx_fn.numel	6762
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_qkx_fn.mean	0.03252860903739929
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_qkx_fn.std	0.012639712542295456
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_qkx_fn.min	0.0006502600735984743
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_qkx_fn.p05	0.017276933416724205
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_qkx_fn.p50	0.03155837208032608
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_qkx_fn.p95	0.04930143430829048
