pair	before	after	top1_before	top1_after	top1_delta	name	module	parent_module	stage	kind	quantizer	numel	changed	changed_fraction	mean_abs_bin_delta	max_abs_bin_delta	before_near_fraction	after_near_fraction	changed_and_near_fraction	changed_given_near	mean_before_boundary_dist	mean_after_boundary_dist	scale_ratio_after_over_before
ckpt10->phase2s	ckpt10	phase2s	80.364	80.522	0.15800000000000125	features.7.1.mlp.fc2.weight	features.7.1.mlp.fc2	features.7.1.mlp	features.7.1	mlp_fc2	statsq_like_weight	2359296	202761	0.08594131469726562	0.08594131469726562	1	0.3510415852069855	0.3616447448730469	0.08586756139993668	0.21580138181399838	0.16836927831172943	0.16618719696998596	0.9998626708984375
ckpt10->phase2s	ckpt10	phase2s	80.364	80.522	0.15800000000000125	features.7.1.attn.proj.weight	features.7.1.attn.proj	features.7.1.attn	features.7.1	attn_proj	statsq_like_weight	589824	50356	0.0853746235370636	0.0853746235370636	1	0.3212297260761261	0.3301306962966919	0.0850168839097023	0.2253657221186041	0.1764867901802063	0.17424127459526062	1.0002094507217407
ckpt10->phase2s	ckpt10	phase2s	80.364	80.522	0.15800000000000125	features.7.1.mlp.fc1.weight	features.7.1.mlp.fc1	features.7.1.mlp	features.7.1	mlp_fc1	statsq_like_weight	2359296	146757	0.062203723937273026	0.062203723937273026	1	0.2636955976486206	0.2691764831542969	0.0614708811044693	0.19678581895943467	0.1952836513519287	0.1935826689004898	0.9997785687446594
ckpt10->phase2s	ckpt10	phase2s	80.364	80.522	0.15800000000000125	features.7.1.attn.v.weight	features.7.1.attn.v	features.7.1.attn	features.7.1	attn_v	statsq_like_weight	589824	36139	0.0612708181142807	0.0612708181142807	1	0.2711266279220581	0.2765129804611206	0.0608164481818676	0.1911132422280828	0.19275091588497162	0.19126373529434204	1.0002371072769165
ckpt10->phase2s	ckpt10	phase2s	80.364	80.522	0.15800000000000125	features.5.5.attn.proj.weight	features.5.5.attn.proj	features.5.5.attn	features.5.5	attn_proj	statsq_like_weight	147456	8292	0.0562337227165699	0.0562337227165699	1	0.2690361738204956	0.2729898989200592	0.0560167096555233	0.1807281638368633	0.19349922239780426	0.1922587752342224	1.000549077987671
ckpt10->phase2s	ckpt10	phase2s	80.364	80.522	0.15800000000000125	features.5.5.mlp.fc1.weight	features.5.5.mlp.fc1	features.5.5.mlp	features.5.5	mlp_fc1	statsq_like_weight	589824	32236	0.0546535924077034	0.0546535924077034	1	0.2521158754825592	0.2564680278301239	0.0542551688849926	0.18355722791359314	0.19898128509521484	0.197710782289505	0.9999825358390808
ckpt10->phase2s	ckpt10	phase2s	80.364	80.522	0.15800000000000125	features.5.5.attn.qk_composite	features.5.5.attn	features.5.5.attn	features.5.5	attn_qk_composite	qk_statsq_composite	1769472	90616	0.051210757344961166	0.051210757344961166	1	0.20144766569137573	0.2015821635723114	0.045944780111312866	0.18495018961841994	0.2210564762353897	0.2210552990436554	0.9987369179725647
ckpt10->phase2s	ckpt10	phase2s	80.364	80.522	0.15800000000000125	features.7.1.attn.qk_composite	features.7.1.attn	features.7.1.attn	features.7.1	attn_qk_composite	qk_statsq_composite	14155776	705298	0.04982404410839081	0.04982404410839081	1	0.20099428296089172	0.2010609656572342	0.044675685465335846	0.1809528006068203	0.2217506766319275	0.22173555195331573	0.9997772574424744
ckpt10->phase2s	ckpt10	phase2s	80.364	80.522	0.15800000000000125	features.5.5.attn.v.weight	features.5.5.attn.v	features.5.5.attn	features.5.5	attn_v	statsq_like_weight	147456	7323	0.0496622733771801	0.0496622733771801	1	0.2589992880821228	0.2619357705116272	0.0494927316904068	0.16660959295025454	0.19779221713542938	0.19671450555324554	1.0005583763122559
ckpt10->phase2s	ckpt10	phase2s	80.364	80.522	0.15800000000000125	features.5.5.mlp.fc2.weight	features.5.5.mlp.fc2	features.5.5.mlp	features.5.5	mlp_fc2	statsq_like_weight	589824	20299	0.0344153493642807	0.0344153493642807	1	0.2446746826171875	0.2482655793428421	0.0344034843146801	0.12663820864225267	0.20287419855594635	0.20212270319461823	1.0003129243850708
ckpt10->phase2s	ckpt10	phase2s	80.364	80.522	0.15800000000000125	features.5.5.attn.k.weight	features.5.5.attn.k	features.5.5.attn	features.5.5	attn_k	statsq_like_weight	147456	4929	0.0334269218146801	0.0334269218146801	1	0.1991237998008728	0.1996053010225296	0.0327419713139534	0.1406432067117222	0.22210915386676788	0.22209158539772034	0.9994611740112305
ckpt10->phase2s	ckpt10	phase2s	80.364	80.522	0.15800000000000125	features.7.1.attn.q.weight	features.7.1.attn.q	features.7.1.attn	features.7.1	attn_q	statsq_like_weight	589824	19640	0.0332980677485466	0.0332980677485466	1	0.2002885639667511	0.2003173828125	0.0325486920773983	0.13921985249860402	0.22224704921245575	0.22219444811344147	1.0000619888305664
ckpt10->phase2s	ckpt10	phase2s	80.364	80.522	0.15800000000000125	features.7.1.attn.k.weight	features.7.1.attn.k	features.7.1.attn	features.7.1	attn_k	statsq_like_weight	589824	19244	0.0326266810297966	0.0326266810297966	1	0.2000885009765625	0.1999104768037796	0.0319976806640625	0.13748515731425698	0.22241541743278503	0.22250553965568542	0.9999105334281921
ckpt10->phase2s	ckpt10	phase2s	80.364	80.522	0.15800000000000125	features.5.5.attn.q.weight	features.5.5.attn.q	features.5.5.attn	features.5.5	attn_q	statsq_like_weight	147456	4661	0.0316094309091568	0.0316094309091568	1	0.1991237998008728	0.1982896625995636	0.03112114779651165	0.134071520392661	0.22235089540481567	0.22234909236431122	0.9995302557945251
phase2s->phase2w	phase2s	phase2w	80.522	80.54	0.018000000000000682	features.7.1.mlp.fc2.weight	features.7.1.mlp.fc2	features.7.1.mlp	features.7.1	mlp_fc2	statsq_like_weight	2359296	184501	0.07820171862840652	0.07820171862840652	1	0.3616447448730469	0.3691062927246094	0.0782012939453125	0.19805678916130195	0.16618719696998596	0.16449499130249023	0.9998096823692322
phase2s->phase2w	phase2s	phase2w	80.522	80.54	0.018000000000000682	features.7.1.attn.proj.weight	features.7.1.attn.proj	features.7.1.attn	features.7.1	attn_proj	statsq_like_weight	589824	44811	0.0759735107421875	0.0759735107421875	1	0.3301306962966919	0.3384874165058136	0.0759565532207489	0.20451661203882077	0.17424127459526062	0.17247825860977173	1.0000299215316772
phase2s->phase2w	phase2s	phase2w	80.522	80.54	0.018000000000000682	features.5.5.attn.proj.weight	features.5.5.attn.proj	features.5.5.attn	features.5.5	attn_proj	statsq_like_weight	147456	9174	0.0622151680290699	0.0622151680290699	1	0.2729898989200592	0.2718302309513092	0.0618625208735466	0.19608770421324162	0.1922587752342224	0.192002072930336	1.0002504587173462
phase2s->phase2w	phase2s	phase2w	80.522	80.54	0.018000000000000682	features.5.5.attn.v.weight	features.5.5.attn.v	features.5.5.attn	features.5.5	attn_v	statsq_like_weight	147456	8994	0.0609944649040699	0.0609944649040699	1	0.2619357705116272	0.2601114809513092	0.0604112409055233	0.19692280484569813	0.19671450555324554	0.1966751366853714	1.0002485513687134
phase2s->phase2w	phase2s	phase2w	80.522	80.54	0.018000000000000682	features.7.1.attn.v.weight	features.7.1.attn.v	features.7.1.attn	features.7.1	attn_v	statsq_like_weight	589824	31975	0.0542110875248909	0.0542110875248909	1	0.2765129804611206	0.281036376953125	0.054168701171875	0.1727933024342493	0.19126373529434204	0.190282940864563	1.0000693798065186
phase2s->phase2w	phase2s	phase2w	80.522	80.54	0.018000000000000682	features.5.5.mlp.fc1.weight	features.5.5.mlp.fc1	features.5.5.mlp	features.5.5	mlp_fc1	statsq_like_weight	589824	28571	0.0484398752450943	0.0484398752450943	1	0.2564680278301239	0.2583279013633728	0.0483245849609375	0.16549381640829125	0.197710782289505	0.19699853658676147	0.9998969435691833
phase2s->phase2w	phase2s	phase2w	80.522	80.54	0.018000000000000682	features.7.1.mlp.fc1.weight	features.7.1.mlp.fc1	features.7.1.mlp	features.7.1	mlp_fc1	statsq_like_weight	2359296	112881	0.047845203429460526	0.047845203429460526	1	0.2691764831542969	0.2753380537033081	0.047827403992414474	0.1580433488567527	0.1935826689004898	0.19224101305007935	0.9998213648796082
phase2s->phase2w	phase2s	phase2w	80.522	80.54	0.018000000000000682	features.5.5.attn.qk_composite	features.5.5.attn	features.5.5.attn	features.5.5	attn_qk_composite	qk_statsq_composite	1769472	68064	0.0384657122194767	0.0384657122194767	1	0.2015821635723114	0.20178674161434174	0.03679176792502403	0.15399025941002964	0.2210552990436554	0.22098836302757263	0.9988555908203125
phase2s->phase2w	phase2s	phase2w	80.522	80.54	0.018000000000000682	features.5.5.mlp.fc2.weight	features.5.5.mlp.fc2	features.5.5.mlp	features.5.5	mlp_fc2	statsq_like_weight	589824	20772	0.03521728515625	0.03521728515625	1	0.2482655793428421	0.2479434609413147	0.0352020263671875	0.12869176082658254	0.20212270319461823	0.20184925198554993	1.0001389980316162
phase2s->phase2w	phase2s	phase2w	80.522	80.54	0.018000000000000682	features.7.1.attn.qk_composite	features.7.1.attn	features.7.1.attn	features.7.1	attn_qk_composite	qk_statsq_composite	14155776	455527	0.032179586589336395	0.032179586589336395	1	0.2010609656572342	0.20109473168849945	0.031549595296382904	0.1352440127113486	0.22173555195331573	0.22170902788639069	0.9998005032539368
phase2s->phase2w	phase2s	phase2w	80.522	80.54	0.018000000000000682	features.5.5.attn.k.weight	features.5.5.attn.k	features.5.5.attn	features.5.5	attn_k	statsq_like_weight	147456	3590	0.02434624545276165	0.02434624545276165	1	0.1996053010225296	0.1993882954120636	0.02423095703125	0.10759131560721491	0.22209158539772034	0.2221331000328064	0.9994788765907288
phase2s->phase2w	phase2s	phase2w	80.522	80.54	0.018000000000000682	features.5.5.attn.q.weight	features.5.5.attn.q	features.5.5.attn	features.5.5	attn_q	statsq_like_weight	147456	3495	0.02370198629796505	0.02370198629796505	1	0.1982896625995636	0.1987033486366272	0.0236341692507267	0.10600115582321988	0.22234909236431122	0.22224672138690948	0.9995815753936768
phase2s->phase2w	phase2s	phase2w	80.522	80.54	0.018000000000000682	features.7.1.attn.k.weight	features.7.1.attn.k	features.7.1.attn	features.7.1	attn_k	statsq_like_weight	589824	12587	0.02134026400744915	0.02134026400744915	1	0.1999104768037796	0.1994849294424057	0.02130805142223835	0.09617459576519563	0.22250553965568542	0.22249743342399597	0.9998909831047058
phase2s->phase2w	phase2s	phase2w	80.522	80.54	0.018000000000000682	features.7.1.attn.q.weight	features.7.1.attn.q	features.7.1.attn	features.7.1	attn_q	statsq_like_weight	589824	12569	0.02130974642932415	0.02130974642932415	1	0.2003173828125	0.2002444863319397	0.0212978795170784	0.09585581185950508	0.22219444811344147	0.22217419743537903	1.000015139579773
phase2w->phase2z	phase2w	phase2z	80.54	80.554	0.013999999999995794	features.7.1.mlp.fc2.weight	features.7.1.mlp.fc2	features.7.1.mlp	features.7.1	mlp_fc2	statsq_like_weight	2359296	105790	0.04483964666724205	0.04483964666724205	1	0.3691062927246094	0.3685959577560425	0.04483964666724205	0.11869539411605647	0.16449499130249023	0.16451318562030792	0.9999781250953674
phase2w->phase2z	phase2w	phase2z	80.54	80.554	0.013999999999995794	features.7.1.attn.proj.weight	features.7.1.attn.proj	features.7.1.attn	features.7.1	attn_proj	statsq_like_weight	589824	23582	0.0399814173579216	0.0399814173579216	1	0.3384874165058136	0.3375176191329956	0.0399814173579216	0.11438521946227015	0.17247825860977173	0.17252711951732635	1.0000159740447998
phase2w->phase2z	phase2w	phase2z	80.54	80.554	0.013999999999995794	features.7.1.attn.v.weight	features.7.1.attn.v	features.7.1.attn	features.7.1	attn_v	statsq_like_weight	589824	13378	0.02268134243786335	0.02268134243786335	1	0.281036376953125	0.2807668149471283	0.02268134243786335	0.07788638996757159	0.190282940864563	0.19033005833625793	1.0000200271606445
phase2w->phase2z	phase2w	phase2z	80.54	80.554	0.013999999999995794	features.5.5.attn.proj.weight	features.5.5.attn.proj	features.5.5.attn	features.5.5	attn_proj	statsq_like_weight	147456	3120	0.02115885354578495	0.02115885354578495	1	0.2718302309513092	0.2704128623008728	0.02115885354578495	0.07513184193416332	0.192002072930336	0.19212999939918518	1.0000430345535278
phase2w->phase2z	phase2w	phase2z	80.54	80.554	0.013999999999995794	features.7.1.mlp.fc1.weight	features.7.1.mlp.fc1	features.7.1.mlp	features.7.1	mlp_fc1	statsq_like_weight	2359296	49689	0.021060943603515625	0.021060943603515625	1	0.2753380537033081	0.2747582197189331	0.021060943603515625	0.07390556139758542	0.19224101305007935	0.19225196540355682	0.9999671578407288
phase2w->phase2z	phase2w	phase2z	80.54	80.554	0.013999999999995794	features.5.5.attn.v.weight	features.5.5.attn.v	features.5.5.attn	features.5.5	attn_v	statsq_like_weight	147456	2640	0.01790364645421505	0.01790364645421505	1	0.2601114809513092	0.25921630859375	0.01790364645421505	0.06631333048654894	0.1966751366853714	0.1967770904302597	1.0000382661819458
phase2w->phase2z	phase2w	phase2z	80.54	80.554	0.013999999999995794	features.5.5.mlp.fc1.weight	features.5.5.mlp.fc1	features.5.5.mlp	features.5.5	mlp_fc1	statsq_like_weight	589824	9868	0.01673041470348835	0.01673041470348835	1	0.2583279013633728	0.2578125	0.01673041470348835	0.06262732678796956	0.19699853658676147	0.19703635573387146	1.0000009536743164
phase2w->phase2z	phase2w	phase2z	80.54	80.554	0.013999999999995794	features.5.5.mlp.fc2.weight	features.5.5.mlp.fc2	features.5.5.mlp	features.5.5	mlp_fc2	statsq_like_weight	589824	6507	0.0110321044921875	0.0110321044921875	1	0.2479434609413147	0.2476654052734375	0.0110321044921875	0.04340604362617571	0.20184925198554993	0.20186565816402435	1.0000231266021729
phase2w->phase2z	phase2w	phase2z	80.54	80.554	0.013999999999995794	features.5.5.attn.qk_composite	features.5.5.attn	features.5.5.attn	features.5.5	attn_qk_composite	qk_statsq_composite	1769472	17942	0.010139747522771358	0.010139747522771358	1	0.20178674161434174	0.2015821635723114	0.010139747522771358	0.047860138069376126	0.22098836302757263	0.22098055481910706	0.9998839497566223
phase2w->phase2z	phase2w	phase2z	80.54	80.554	0.013999999999995794	features.7.1.attn.qk_composite	features.7.1.attn	features.7.1.attn	features.7.1	attn_qk_composite	qk_statsq_composite	14155776	140052	0.00989362969994545	0.00989362969994545	1	0.20109473168849945	0.2010864019393921	0.009893558919429779	0.04685827622330009	0.22170902788639069	0.2217063009738922	0.9999958276748657
phase2w->phase2z	phase2w	phase2z	80.54	80.554	0.013999999999995794	features.5.5.attn.k.weight	features.5.5.attn.k	features.5.5.attn	features.5.5	attn_k	statsq_like_weight	147456	969	0.0065714516676962376	0.0065714516676962376	1	0.1993882954120636	0.1996324360370636	0.0065714516676962376	0.031890735560309365	0.2221331000328064	0.22218216955661774	0.9999621510505676
phase2w->phase2z	phase2w	phase2z	80.54	80.554	0.013999999999995794	features.7.1.attn.q.weight	features.7.1.attn.q	features.7.1.attn	features.7.1	attn_q	statsq_like_weight	589824	3856	0.00653754360973835	0.00653754360973835	1	0.2002444863319397	0.2003258615732193	0.00653754360973835	0.03157963703072791	0.22217419743537903	0.22216780483722687	1.0000066757202148
phase2w->phase2z	phase2w	phase2z	80.54	80.554	0.013999999999995794	features.7.1.attn.k.weight	features.7.1.attn.k	features.7.1.attn	features.7.1	attn_k	statsq_like_weight	589824	3785	0.00641716830432415	0.00641716830432415	1	0.1994849294424057	0.1995832622051239	0.00641716830432415	0.031117943995922194	0.22249743342399597	0.22248877584934235	0.9999971985816956
phase2w->phase2z	phase2w	phase2z	80.54	80.554	0.013999999999995794	features.5.5.attn.q.weight	features.5.5.attn.q	features.5.5.attn	features.5.5	attn_q	statsq_like_weight	147456	910	0.00617133267223835	0.00617133267223835	1	0.1987033486366272	0.1989813894033432	0.00617133267223835	0.03006376160428161	0.22224672138690948	0.2222570776939392	0.9999563097953796
phase2z->phase2br_e3	phase2z	phase2br_e3	80.554	80.546	-0.007999999999995566	features.7.1.mlp.fc2.weight	features.7.1.mlp.fc2	features.7.1.mlp	features.7.1	mlp_fc2	statsq_like_weight	2359296	249324	0.1056772843003273	0.1056772843003273	1	0.3685959577560425	0.38738930225372314	0.1051957905292511	0.2420151612959846	0.16451318562030792	0.16076874732971191	0.9997513294219971
phase2z->phase2br_e3	phase2z	phase2br_e3	80.554	80.546	-0.007999999999995566	features.7.1.attn.proj.weight	features.7.1.attn.proj	features.7.1.attn	features.7.1	attn_proj	statsq_like_weight	589824	61611	0.1044565811753273	0.1044565811753273	1	0.3375176191329956	0.3566267192363739	0.1033681258559227	0.24984018489378443	0.17252711951732635	0.16857440769672394	1.000577449798584
