pair	before	after	top1_before	top1_after	top1_delta	name	module	parent_module	stage	kind	quantizer	numel	changed	changed_fraction	mean_abs_bin_delta	max_abs_bin_delta	before_near_fraction	after_near_fraction	changed_and_near_fraction	changed_given_near	mean_before_boundary_dist	mean_after_boundary_dist	scale_ratio_after_over_before
phase2s->phase2br_e3	phase2s	phase2br_e3	80.522	80.474	-0.04800000000000182	features.7.1.mlp.fc2.weight	features.7.1.mlp.fc2	features.7.1.mlp	features.7.1	mlp_fc2	statsq_like_weight	2359296	168312	0.0713399276137352	0.0713399276137352	1	0.3616447448730469	0.3384607136249542	0.07133737951517105	0.18384353648612484	0.16618719696998596	0.16867782175540924	0.9996197819709778
phase2s->phase2br_e3	phase2s	phase2br_e3	80.522	80.474	-0.04800000000000182	features.7.1.attn.proj.weight	features.7.1.attn.proj	features.7.1.attn	features.7.1	attn_proj	statsq_like_weight	589824	40791	0.0691579207777977	0.0691579207777977	1	0.3301306962966919	0.3092685341835022	0.0691019669175148	0.19025701828909655	0.17424127459526062	0.17661406099796295	0.9998961091041565
phase2s->phase2br_e3	phase2s	phase2br_e3	80.522	80.474	-0.04800000000000182	features.5.5.attn.proj.weight	features.5.5.attn.proj	features.5.5.attn	features.5.5	attn_proj	statsq_like_weight	147456	9161	0.0621270090341568	0.0621270090341568	1	0.2729898989200592	0.2718505859375	0.061767578125	0.19564797112968016	0.1922587752342224	0.1920257955789566	1.0002566576004028
phase2s->phase2br_e3	phase2s	phase2br_e3	80.522	80.474	-0.04800000000000182	features.5.5.attn.v.weight	features.5.5.attn.v	features.5.5.attn	features.5.5	attn_v	statsq_like_weight	147456	9034	0.0612657330930233	0.0612657330930233	1	0.2619357705116272	0.2602945864200592	0.0606282539665699	0.19750795334040297	0.19671450555324554	0.19666093587875366	1.0002532005310059
phase2s->phase2br_e3	phase2s	phase2br_e3	80.522	80.474	-0.04800000000000182	features.7.1.attn.v.weight	features.7.1.attn.v	features.7.1.attn	features.7.1	attn_v	statsq_like_weight	589824	32386	0.0549079030752182	0.0549079030752182	1	0.2765129804611206	0.2808397114276886	0.0548519566655159	0.17430728035817228	0.19126373529434204	0.19029201567173004	1.0001457929611206
phase2s->phase2br_e3	phase2s	phase2br_e3	80.522	80.474	-0.04800000000000182	features.5.5.mlp.fc1.weight	features.5.5.mlp.fc1	features.5.5.mlp	features.5.5	mlp_fc1	statsq_like_weight	589824	28597	0.0484839528799057	0.0484839528799057	1	0.2564680278301239	0.2581821084022522	0.0483669713139534	0.165611085632681	0.197710782289505	0.19700223207473755	0.9999037384986877
phase2s->phase2br_e3	phase2s	phase2br_e3	80.522	80.474	-0.04800000000000182	features.7.1.mlp.fc1.weight	features.7.1.mlp.fc1	features.7.1.mlp	features.7.1	mlp_fc1	statsq_like_weight	2359296	113752	0.0482143834233284	0.0482143834233284	1	0.2691764831542969	0.2751613259315491	0.0481906458735466	0.15897180633001304	0.1935826689004898	0.19225715100765228	0.9998337626457214
phase2s->phase2br_e3	phase2s	phase2br_e3	80.522	80.474	-0.04800000000000182	features.5.5.attn.qk_composite	features.5.5.attn	features.5.5.attn	features.5.5	attn_qk_composite	qk_statsq_composite	1769472	67916	0.03838207200169563	0.03838207200169563	1	0.2015821635723114	0.20160138607025146	0.036710385233163834	0.15370563612572258	0.2210552990436554	0.22099144756793976	0.9988810420036316
phase2s->phase2br_e3	phase2s	phase2br_e3	80.522	80.474	-0.04800000000000182	features.5.5.mlp.fc2.weight	features.5.5.mlp.fc2	features.5.5.mlp	features.5.5	mlp_fc2	statsq_like_weight	589824	20790	0.035247802734375	0.035247802734375	1	0.2482655793428421	0.2477501779794693	0.0352342389523983	0.1287951560824755	0.20212270319461823	0.20185647904872894	1.0001417398452759
phase2s->phase2br_e3	phase2s	phase2br_e3	80.522	80.474	-0.04800000000000182	features.7.1.attn.qk_composite	features.7.1.attn	features.7.1.attn	features.7.1	attn_qk_composite	qk_statsq_composite	14155776	458057	0.032358311116695404	0.032358311116695404	1	0.2010609656572342	0.2010491043329239	0.03170755133032799	0.1358352394158702	0.22173555195331573	0.22170715034008026	0.9998643398284912
phase2s->phase2br_e3	phase2s	phase2br_e3	80.522	80.474	-0.04800000000000182	features.5.5.attn.k.weight	features.5.5.attn.k	features.5.5.attn	features.5.5	attn_k	statsq_like_weight	147456	3544	0.0240342877805233	0.0240342877805233	1	0.1996053010225296	0.1997409462928772	0.02391899935901165	0.10613264323543573	0.22209158539772034	0.2221299260854721	0.9994884133338928
phase2s->phase2br_e3	phase2s	phase2br_e3	80.522	80.474	-0.04800000000000182	features.5.5.attn.q.weight	features.5.5.attn.q	features.5.5.attn	features.5.5	attn_q	statsq_like_weight	147456	3512	0.0238172747194767	0.0238172747194767	1	0.1982896625995636	0.1985134482383728	0.02374945767223835	0.10656361257341082	0.22234909236431122	0.22223380208015442	0.9995951652526855
