pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
full250_vs_attn250	265	50	37	33	-4	74.0	66.0	-0.010457289405167103	-0.02418140321969986
full250_vs_attn250	876	50	17	14	-3	34.0	28.0	-0.006988589186221361	0.01090361550450325
full250_vs_attn250	655	50	42	40	-2	84.0	80.0	-0.024477925151586533	-0.12854842841625214
full250_vs_attn250	165	50	30	28	-2	60.0	56.0	-0.019646430388092995	-0.10893422365188599
full250_vs_attn250	872	50	40	38	-2	80.0	76.0	-0.019192159175872803	-0.08977025747299194
full250_vs_attn250	175	50	36	34	-2	72.0	68.0	-0.016210703179240227	-0.10855767875909805
full250_vs_attn250	386	50	34	32	-2	68.0	64.0	-0.013876091688871384	0.01111090648919344
full250_vs_attn250	928	50	39	37	-2	78.0	74.0	-0.012499724514782429	-0.08254668861627579
full250_vs_attn250	914	50	38	36	-2	76.0	72.0	-0.012132268399000168	-0.0328957661986351
full250_vs_attn250	733	50	27	25	-2	54.0	50.0	-0.009796692989766598	-0.039082594215869904
full250_vs_attn250	210	50	47	45	-2	94.0	90.0	-0.00966576486825943	-0.06843910366296768
full250_vs_attn250	241	50	39	37	-2	78.0	74.0	-0.009507681243121624	-5.2585601224564016e-05
full250_vs_attn250	764	50	31	29	-2	62.0	58.0	-0.00887539517134428	-0.02238895371556282
full250_vs_attn250	861	50	39	37	-2	78.0	74.0	-0.007946116849780083	-0.003996820654720068
full250_vs_attn250	697	50	37	35	-2	74.0	70.0	-0.005977862048894167	-0.02391490899026394
full250_vs_attn250	826	50	34	32	-2	68.0	64.0	-0.005817784462124109	0.02813667245209217
full250_vs_attn250	765	50	40	38	-2	80.0	76.0	-0.005628549959510565	-0.014377889223396778
full250_vs_attn250	745	50	38	36	-2	76.0	72.0	-0.005301385652273893	-0.04228876158595085
full250_vs_attn250	811	50	35	33	-2	70.0	66.0	-0.0037379867862910032	-0.02105264738202095
full250_vs_attn250	686	50	40	38	-2	80.0	76.0	-0.0029469954315572977	0.036559391766786575
full250_vs_attn250	767	50	34	32	-2	68.0	64.0	-0.0025924849323928356	0.0008214378613047302
full250_vs_attn250	657	50	16	14	-2	32.0	28.0	-0.0023984545841813087	0.003356189699843526
full250_vs_attn250	843	50	47	45	-2	94.0	90.0	-0.0023951446637511253	-0.008908100426197052
full250_vs_attn250	859	50	35	33	-2	70.0	66.0	-0.002089777961373329	0.0119429687038064
full250_vs_attn250	211	50	45	43	-2	90.0	86.0	-0.0018721756059676409	-0.04972776398062706
full250_vs_attn250	648	50	35	33	-2	70.0	66.0	-0.0015901295701041818	-0.04113122820854187
full250_vs_attn250	303	50	42	40	-2	84.0	80.0	-0.0006635631434619427	-0.0019425678765401244
full250_vs_attn250	987	50	23	21	-2	46.0	42.0	-0.00038178026443347335	-0.009295444935560226
full250_vs_attn250	799	50	27	25	-2	54.0	50.0	0.0006348157185129821	-0.01708502694964409
full250_vs_attn250	822	50	48	46	-2	96.0	92.0	0.0008244658238254488	0.009927034378051758
full250_vs_attn250	841	50	22	20	-2	44.0	40.0	0.0020790824200958014	-0.03173590824007988
full250_vs_attn250	433	50	43	41	-2	86.0	82.0	0.0021073489915579557	0.030763491988182068
full250_vs_attn250	46	50	28	26	-2	56.0	52.0	0.0029801533091813326	-0.0242823027074337
full250_vs_attn250	681	50	15	13	-2	30.0	26.0	0.0030082163866609335	-0.020916271954774857
full250_vs_attn250	676	50	40	38	-2	80.0	76.0	0.004293421283364296	-0.020999841392040253
full250_vs_attn250	505	50	36	34	-2	72.0	68.0	0.0054160598665475845	-0.007251711096614599
full250_vs_attn250	3	50	40	38	-2	80.0	76.0	0.006929867435246706	-0.007861251942813396
full250_vs_attn250	582	50	35	33	-2	70.0	66.0	0.009622296318411827	0.016613531857728958
full250_vs_attn250	349	50	36	35	-1	72.0	70.0	-0.019019627943634987	-0.04899470508098602
full250_vs_attn250	717	50	36	35	-1	72.0	70.0	-0.01840817742049694	-0.08387364447116852
full250_vs_attn250	709	50	42	41	-1	84.0	82.0	-0.01831584982573986	-0.08836111426353455
full250_vs_attn250	218	50	46	45	-1	92.0	90.0	-0.017560182139277458	-0.11595658957958221
full250_vs_attn250	577	50	46	45	-1	92.0	90.0	-0.01706583984196186	-0.06514858454465866
full250_vs_attn250	361	50	49	48	-1	98.0	96.0	-0.016587745398283005	-0.10099092125892639
full250_vs_attn250	529	50	41	40	-1	82.0	80.0	-0.015116969123482704	-0.07503442466259003
full250_vs_attn250	510	50	47	46	-1	94.0	92.0	-0.014744408428668976	-0.105858214199543
full250_vs_attn250	233	50	41	40	-1	82.0	80.0	-0.014007292687892914	-0.009396009147167206
full250_vs_attn250	204	50	36	35	-1	72.0	70.0	-0.013487190008163452	-0.0384349450469017
full250_vs_attn250	638	50	17	16	-1	34.0	32.0	-0.013453164137899876	0.036082133650779724
full250_vs_attn250	586	50	44	43	-1	88.0	86.0	-0.013222955167293549	-0.1587912142276764
full250_vs_attn250	267	50	44	43	-1	88.0	86.0	-0.013042661361396313	-0.04965563863515854
full250_vs_attn250	442	50	37	36	-1	74.0	72.0	-0.013006160035729408	-0.04580799117684364
full250_vs_attn250	521	50	45	44	-1	90.0	88.0	-0.012927714735269547	-0.0659794807434082
full250_vs_attn250	179	50	37	36	-1	74.0	72.0	-0.012403544038534164	-0.01251628901809454
full250_vs_attn250	412	50	38	37	-1	76.0	74.0	-0.01205106358975172	-0.08310242742300034
full250_vs_attn250	755	50	47	46	-1	94.0	92.0	-0.011167406104505062	-0.072262704372406
full250_vs_attn250	509	50	33	32	-1	66.0	64.0	-0.010897998698055744	0.06442993879318237
full250_vs_attn250	414	50	22	21	-1	44.0	42.0	-0.01068544015288353	-0.08488395810127258
full250_vs_attn250	2	50	42	41	-1	84.0	82.0	-0.01058630459010601	-0.01705089583992958
full250_vs_attn250	750	50	37	36	-1	74.0	72.0	-0.010331003926694393	0.0008432578761130571
full250_vs_attn250	474	50	39	38	-1	78.0	76.0	-0.010092480108141899	-0.06197360157966614
full250_vs_attn250	484	50	35	34	-1	70.0	68.0	-0.010070773772895336	-0.020634736865758896
full250_vs_attn250	553	50	42	41	-1	84.0	82.0	-0.009969009086489677	-0.055335093289613724
full250_vs_attn250	953	50	49	48	-1	98.0	96.0	-0.009894988499581814	-0.04055410251021385
full250_vs_attn250	192	50	43	42	-1	86.0	84.0	-0.009782273322343826	-0.05332419276237488
full250_vs_attn250	812	50	49	48	-1	98.0	96.0	-0.009707983583211899	-0.10336007177829742
full250_vs_attn250	93	50	49	48	-1	98.0	96.0	-0.00916315522044897	-0.03516334667801857
full250_vs_attn250	49	50	41	40	-1	82.0	80.0	-0.008585276082158089	-0.07508771121501923
full250_vs_attn250	690	50	47	46	-1	94.0	92.0	-0.008508238941431046	-0.02240448072552681
full250_vs_attn250	759	50	42	41	-1	84.0	82.0	-0.00820019468665123	-0.03937208279967308
