name	kind	stage	module	numel	attn_rel	full_rel	extra_rel	extra_over_full	full_minus_attn_rel	cos_attn_full	extra_l2	attn_l2	full_l2	base_l2	max_abs_extra
features.5.5.attn.move_v_aft.bias	move_v_shift	features.5.5	features.5.5.attn.move_v_aft	384	0.0275208782473	0.015787483646352976	0.017386719865977018	1.1012977277093476	-0.011733394600947022	0.8105512610981203	0.002483902731910348	0.003931689541786909	0.002255432540550828	0.14286206662654877	0.0003866516053676605
features.7.1.attn.move_v_aft.bias	move_v_shift	features.7.1	features.7.1.attn.move_v_aft	768	0.01910945405872577	0.007360424881628466	0.016317171899669303	2.2168790745214686	-0.011749029177097303	0.5442338527031313	0.004729728680104017	0.005539105273783207	0.0021335077472031116	0.2898620367050171	0.0005414942279458046
features.5.5.attn.move_v_b4.bias	move_v_shift	features.5.5	features.5.5.attn.move_v_b4	384	0.02427227555305951	0.013931174136205182	0.015342007808694845	1.1012716989031888	-0.01034110141685433	0.810081162445566	0.002483932999894023	0.003929779399186373	0.002255513332784176	0.16190403699874878	0.000385066494345665
features.5.5.attn.proj.move_b4.bias	move_shift	features.5.5	features.5.5.attn.proj.move_b4	384	0.022817382368356082	0.013080326397220935	0.014368657117239647	1.0984937746119572	-0.009737055971135146	0.8129590697897346	0.0024715643376111984	0.003924836404621601	0.0022499575279653072	0.17201080918312073	0.0003888647770509124
features.7.1.attn.move_v_b4.bias	move_v_shift	features.7.1	features.7.1.attn.move_v_b4	768	0.016653606897121583	0.006446766806764914	0.014184988029862813	2.200325908326294	-0.01020684009035667	0.5480971466692454	0.0047324360348284245	0.005556023679673672	0.0021507886704057455	0.33362284302711487	0.0005399505607783794
features.5.5.attn.proj.move_aft.bias	move_shift	features.5.5	features.5.5.attn.proj.move_aft	384	0.022175623783916184	0.012693303283186576	0.013967380028905069	1.1003739308274563	-0.009482320500729608	0.8131792182739926	0.0024743706453591585	0.003928489983081818	0.002248663455247879	0.17715352773666382	0.0003888647770509124
features.7.1.attn.proj.move_b4.bias	move_shift	features.7.1	features.7.1.attn.proj.move_b4	768	0.015321874088006648	0.005928785576896646	0.013062519865303572	2.203237019771087	-0.009393088511110002	0.5464594819342096	0.004730141721665859	0.00554828904569149	0.0021469055209308863	0.3621155619621277	0.0005330761196091771
features.7.1.attn.proj.move_aft.bias	move_shift	features.7.1	features.7.1.attn.proj.move_aft	768	0.013008528944510895	0.0050473698433877705	0.011101193477374899	2.199401633291812	-0.007961159101123124	0.5441859253000717	0.004740844015032053	0.005555385258048773	0.0021555153653025627	0.427057147026062	0.0005342415533959866
features.7.1.attn.quant_x_4_qkv.move_aft.bias	act_quant	features.7.1	features.7.1.attn.quant_x_4_qkv	768	0.008539417321779933	0.004543013298423289	0.0063344084477460014	1.3943187113153377	-0.003996404023356643	0.6887009897024942	0.004133617039769888	0.005572529975324869	0.0029646141920238733	0.652565598487854	0.0005601323209702969
features.7.1.attn.quant_x_4_qkv.move_b4.bias	act_quant	features.7.1	features.7.1.attn.quant_x_4_qkv	768	0.008479792880294757	0.004535944764950549	0.006272965751662127	1.3829457977825519	-0.003943848115344209	0.6906686224771408	0.0041337646543979645	0.005588021595031023	0.002989100990816951	0.6589809060096741	0.0005604829639196396
