pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
phase2w_vs_phase2bm_fc2actmse	348	50	38	34	-4	76.0	68.0	-0.004431405104696751	0.0036566162016242743
phase2w_vs_phase2bm_fc2actmse	441	50	42	39	-3	84.0	78.0	-0.01601850986480713	-0.08907978236675262
phase2w_vs_phase2bm_fc2actmse	817	50	36	33	-3	72.0	66.0	-0.005539502948522568	-0.04799634963274002
phase2w_vs_phase2bm_fc2actmse	754	50	36	33	-3	72.0	66.0	0.0003370142076164484	0.0591348260641098
phase2w_vs_phase2bm_fc2actmse	756	50	44	41	-3	88.0	82.0	0.005741683766245842	0.010448941960930824
phase2w_vs_phase2bm_fc2actmse	543	50	37	35	-2	74.0	70.0	-0.020298080518841743	-0.09332635253667831
phase2w_vs_phase2bm_fc2actmse	892	50	38	36	-2	76.0	72.0	-0.01985856518149376	-0.0410366915166378
phase2w_vs_phase2bm_fc2actmse	823	50	41	39	-2	82.0	78.0	-0.017834091559052467	-0.04851217195391655
phase2w_vs_phase2bm_fc2actmse	969	50	25	23	-2	50.0	46.0	-0.0130337905138731	0.0017075920477509499
phase2w_vs_phase2bm_fc2actmse	491	50	50	48	-2	100.0	96.0	-0.012687252834439278	-0.034043263643980026
phase2w_vs_phase2bm_fc2actmse	265	50	36	34	-2	72.0	68.0	-0.01196980383247137	-0.018042316660284996
phase2w_vs_phase2bm_fc2actmse	737	50	36	34	-2	72.0	68.0	-0.010665910318493843	-0.007330970838665962
phase2w_vs_phase2bm_fc2actmse	822	50	47	45	-2	94.0	90.0	-0.010283277370035648	-0.06028517708182335
phase2w_vs_phase2bm_fc2actmse	798	50	41	39	-2	82.0	78.0	-0.009951382875442505	-0.052938804030418396
phase2w_vs_phase2bm_fc2actmse	488	50	19	17	-2	38.0	34.0	-0.008627794682979584	-0.014630737714469433
phase2w_vs_phase2bm_fc2actmse	950	50	40	38	-2	80.0	76.0	-0.008339812979102135	0.008944520726799965
phase2w_vs_phase2bm_fc2actmse	155	50	39	37	-2	78.0	74.0	-0.007751066703349352	-0.013738040812313557
phase2w_vs_phase2bm_fc2actmse	720	50	44	42	-2	88.0	84.0	-0.007594019640237093	-0.042862795293331146
