pair	sample_index	target	direction	ref_pred	cmp_pred	ref_conf	cmp_conf	ref_true_prob	cmp_true_prob	true_prob_delta	ref_margin	cmp_margin
phase2w_vs_phase2bm_fc2actmse	34356	17	regressed	17	14	0.68491131067276	0.422343909740448	0.68491131067276	0.30870211124420166	-0.37620919942855835	1.8115572929382324	0.3134431838989258
phase2w_vs_phase2bm_fc2actmse	29750	170	regressed	170	876	0.4538421630859375	0.35889101028442383	0.4538421630859375	0.2141539454460144	-0.2396882176399231	1.2024264335632324	0.5163235664367676
phase2w_vs_phase2bm_fc2actmse	11220	892	regressed	892	448	0.6531018018722534	0.4911009967327118	0.6531018018722534	0.42814740538597107	-0.22495439648628235	0.8003177642822266	0.13718223571777344
phase2w_vs_phase2bm_fc2actmse	8873	583	regressed	583	534	0.5104353427886963	0.33730512857437134	0.5104353427886963	0.2965698838233948	-0.2138654589653015	0.9337949752807617	0.12870502471923828
phase2w_vs_phase2bm_fc2actmse	1327	270	improved	296	270	0.4309912323951721	0.6200472712516785	0.40649524331092834	0.6200472712516785	0.21355202794075012	0.05851554870605469	1.0039844512939453
phase2w_vs_phase2bm_fc2actmse	2961	605	improved	451	605	0.29914599657058716	0.4434374272823334	0.24130168557167053	0.4434374272823334	0.20213574171066284	0.21488380432128906	0.8476166725158691
phase2w_vs_phase2bm_fc2actmse	45628	227	regressed	227	173	0.5225144028663635	0.43272310495376587	0.5225144028663635	0.3246176838874817	-0.19789671897888184	0.650050163269043	0.28744983673095703
phase2w_vs_phase2bm_fc2actmse	33331	449	improved	718	449	0.389713853597641	0.500285267829895	0.313312828540802	0.500285267829895	0.18697243928909302	0.21821069717407227	0.6567893028259277
phase2w_vs_phase2bm_fc2actmse	33178	369	improved	367	369	0.3529154658317566	0.5317058563232422	0.34498849511146545	0.5317058563232422	0.18671736121177673	0.02271747589111328	0.9460325241088867
phase2w_vs_phase2bm_fc2actmse	28197	665	improved	671	665	0.5319101214408875	0.46367740631103516	0.28655895590782166	0.46367740631103516	0.1771184504032135	0.6185302734375	0.2564697265625
phase2w_vs_phase2bm_fc2actmse	48616	315	regressed	315	312	0.43887466192245483	0.3276943862438202	0.43887466192245483	0.267133504152298	-0.17174115777015686	0.7331671714782715	0.20433282852172852
phase2w_vs_phase2bm_fc2actmse	27930	603	improved	690	603	0.38957449793815613	0.39386382699012756	0.2235468477010727	0.39386382699012756	0.17031697928905487	0.4352588653564453	0.4445662498474121
phase2w_vs_phase2bm_fc2actmse	12571	24	regressed	24	135	0.41491931676864624	0.3563026487827301	0.41491931676864624	0.24465294182300568	-0.17026637494564056	0.7803101539611816	0.37593984603881836
phase2w_vs_phase2bm_fc2actmse	20576	606	improved	589	606	0.39554595947265625	0.5574880838394165	0.38972267508506775	0.5574880838394165	0.16776540875434875	0.01483154296875	0.73516845703125
phase2w_vs_phase2bm_fc2actmse	29317	218	improved	215	218	0.3711848855018616	0.4719007611274719	0.30610597133636475	0.4719007611274719	0.16579478979110718	0.19276905059814453	0.5259809494018555
phase2w_vs_phase2bm_fc2actmse	37069	800	regressed	800	468	0.41126468777656555	0.4526077210903168	0.41126468777656555	0.24673040211200714	-0.1645342856645584	0.14327049255371094	0.6067295074462891
phase2w_vs_phase2bm_fc2actmse	7114	463	improved	440	463	0.33153125643730164	0.39919009804725647	0.2350717931985855	0.39919009804725647	0.16411830484867096	0.34383106231689453	0.5936689376831055
phase2w_vs_phase2bm_fc2actmse	1409	825	regressed	825	519	0.47568485140800476	0.40572109818458557	0.47568485140800476	0.3167281746864319	-0.15895667672157288	0.502377986907959	0.24762201309204102
phase2w_vs_phase2bm_fc2actmse	34661	872	improved	840	872	0.3620222806930542	0.49433115124702454	0.3364284038543701	0.49433115124702454	0.15790274739265442	0.07332038879394531	0.6141796112060547
phase2w_vs_phase2bm_fc2actmse	42682	209	improved	676	209	0.3954019844532013	0.4545181691646576	0.2998935282230377	0.4545181691646576	0.15462464094161987	0.2764754295349121	0.5672745704650879
phase2w_vs_phase2bm_fc2actmse	9507	61	regressed	61	59	0.457338809967041	0.312368243932724	0.457338809967041	0.30517005920410156	-0.15216875076293945	0.8829364776611328	0.023313522338867188
phase2w_vs_phase2bm_fc2actmse	8555	996	regressed	996	991	0.5506997108459473	0.4899904429912567	0.5506997108459473	0.39911460876464844	-0.15158510208129883	0.4823627471923828	0.2051372528076172
phase2w_vs_phase2bm_fc2actmse	39943	756	regressed	756	427	0.32732945680618286	0.21586069464683533	0.32732945680618286	0.18050263822078705	-0.1468268185853958	0.6961121559143066	0.17888784408569336
phase2w_vs_phase2bm_fc2actmse	8863	633	regressed	633	513	0.438031941652298	0.34527990221977234	0.438031941652298	0.29276275634765625	-0.14526918530464172	0.7412571907043457	0.1649928092956543
phase2w_vs_phase2bm_fc2actmse	24545	665	regressed	665	671	0.49679386615753174	0.4233435392379761	0.49679386615753174	0.3532421290874481	-0.14355173707008362	0.5689692497253418	0.1810302734375
phase2w_vs_phase2bm_fc2actmse	31308	676	regressed	676	162	0.3713906407356262	0.36698225140571594	0.3713906407356262	0.22858870029449463	-0.1428019404411316	0.2141108512878418	0.4437375068664551
phase2w_vs_phase2bm_fc2actmse	17410	870	improved	703	870	0.41443783044815063	0.47512972354888916	0.33257853984832764	0.47512972354888916	0.14255118370056152	0.2200469970703125	0.4674530029296875
phase2w_vs_phase2bm_fc2actmse	5512	125	regressed	125	124	0.5413973927497864	0.4837287366390228	0.5413973927497864	0.3998592793941498	-0.1415381133556366	0.4345884323120117	0.19041156768798828
phase2w_vs_phase2bm_fc2actmse	44723	879	improved	885	879	0.1760498285293579	0.2229318469762802	0.08421830832958221	0.2229318469762802	0.138713538646698	0.642916202545166	0.6688952445983887
phase2w_vs_phase2bm_fc2actmse	41767	654	improved	705	654	0.3586842119693756	0.44955942034721375	0.3130660355091095	0.44955942034721375	0.13649338483810425	0.13602828979492188	0.5514712333679199
phase2w_vs_phase2bm_fc2actmse	7669	659	regressed	659	522	0.32861995697021484	0.29862460494041443	0.32861995697021484	0.19312334060668945	-0.1354966163635254	0.5953917503356934	0.43585824966430664
phase2w_vs_phase2bm_fc2actmse	40519	798	regressed	798	426	0.540871798992157	0.44938090443611145	0.540871798992157	0.40687599778175354	-0.13399580121040344	0.5256376266479492	0.09936237335205078
phase2w_vs_phase2bm_fc2actmse	45491	122	improved	119	122	0.4283929765224457	0.49462753534317017	0.36086520552635193	0.49462753534317017	0.13376232981681824	0.17153644561767578	0.4534635543823242
phase2w_vs_phase2bm_fc2actmse	29858	242	improved	159	242	0.3745781183242798	0.49899184703826904	0.365728497505188	0.49899184703826904	0.13326334953308105	0.02390909194946289	0.5698404312133789
phase2w_vs_phase2bm_fc2actmse	37705	43	regressed	43	42	0.3901524245738983	0.35997459292411804	0.3901524245738983	0.25731387734413147	-0.13283854722976685	0.5392632484436035	0.3357367515563965
phase2w_vs_phase2bm_fc2actmse	39552	389	regressed	389	391	0.4808881878852844	0.4313228726387024	0.4808881878852844	0.3481754660606384	-0.132712721824646	0.47334957122802734	0.21415042877197266
phase2w_vs_phase2bm_fc2actmse	4014	864	improved	779	864	0.44681230187416077	0.3356023132801056	0.2030995935201645	0.3356023132801056	0.1325027197599411	0.7884421348571777	0.18030786514282227
phase2w_vs_phase2bm_fc2actmse	33579	787	regressed	787	643	0.26343441009521484	0.18559043109416962	0.26343441009521484	0.13114896416664124	-0.1322854459285736	0.5590415000915527	0.34720849990844727
phase2w_vs_phase2bm_fc2actmse	25056	580	improved	738	580	0.4126410484313965	0.5258275866508484	0.39510878920555115	0.5258275866508484	0.13071879744529724	0.04341697692871094	0.5815830230712891
phase2w_vs_phase2bm_fc2actmse	5552	391	regressed	391	390	0.44030773639678955	0.42959165573120117	0.44030773639678955	0.31257960200309753	-0.12772813439369202	0.6507740020751953	0.3179759979248047
phase2w_vs_phase2bm_fc2actmse	45211	892	regressed	892	549	0.24762438237667084	0.17632661759853363	0.24762438237667084	0.120408795773983	-0.12721559405326843	0.5873045921325684	0.38144540786743164
phase2w_vs_phase2bm_fc2actmse	36598	784	improved	731	784	0.3363278806209564	0.37435245513916016	0.24715858697891235	0.37435245513916016	0.1271938681602478	0.3080563545227051	0.16069412231445312
phase2w_vs_phase2bm_fc2actmse	21842	582	improved	737	582	0.30325841903686523	0.38051432371139526	0.2554481029510498	0.38051432371139526	0.12506622076034546	0.04863166809082031	0.47081565856933594
phase2w_vs_phase2bm_fc2actmse	19040	238	improved	240	238	0.40359917283058167	0.4862281382083893	0.36134088039398193	0.4862281382083893	0.12488725781440735	0.11060047149658203	0.42065000534057617
phase2w_vs_phase2bm_fc2actmse	19211	653	improved	756	653	0.46998050808906555	0.43049895763397217	0.30615103244781494	0.43049895763397217	0.12434792518615723	0.42861270904541016	0.07138729095458984
phase2w_vs_phase2bm_fc2actmse	45137	488	regressed	488	535	0.47086337208747864	0.5009815096855164	0.47086337208747864	0.3466245234012604	-0.12423884868621826	0.19417285919189453	0.36832714080810547
phase2w_vs_phase2bm_fc2actmse	38236	567	improved	909	567	0.41399088501930237	0.5292907357215881	0.40569639205932617	0.5292907357215881	0.12359434366226196	0.020238876342773438	0.5422606468200684
phase2w_vs_phase2bm_fc2actmse	49759	855	regressed	855	968	0.3167729675769806	0.23651628196239471	0.3167729675769806	0.19374774396419525	-0.12302522361278534	0.5817899703979492	0.19946002960205078
phase2w_vs_phase2bm_fc2actmse	4790	296	regressed	296	279	0.39375045895576477	0.47272205352783203	0.39375045895576477	0.2711094319820404	-0.12264102697372437	0.1940150260925293	0.5559849739074707
phase2w_vs_phase2bm_fc2actmse	39775	116	improved	113	116	0.42442023754119873	0.3969029188156128	0.27433040738105774	0.3969029188156128	0.12257251143455505	0.43639087677001953	0.31360912322998047
phase2w_vs_phase2bm_fc2actmse	4008	838	regressed	838	929	0.35940560698509216	0.37444421648979187	0.35940560698509216	0.236942857503891	-0.12246274948120117	0.07362604141235352	0.4576239585876465
phase2w_vs_phase2bm_fc2actmse	6581	264	improved	263	264	0.47712546586990356	0.40672120451927185	0.2848730981349945	0.40672120451927185	0.12184810638427734	0.5157356262207031	0.046764373779296875
phase2w_vs_phase2bm_fc2actmse	47735	34	regressed	34	360	0.29662755131721497	0.21348991990089417	0.29662755131721497	0.1750408411026001	-0.12158671021461487	0.7076797485351562	0.19857025146484375
phase2w_vs_phase2bm_fc2actmse	22766	265	regressed	265	850	0.3167737126350403	0.3427698612213135	0.3167737126350403	0.19534079730510712	-0.12143291532993317	0.3439364433288574	0.5623135566711426
phase2w_vs_phase2bm_fc2actmse	15489	905	improved	799	905	0.3146066963672638	0.2955365777015686	0.17476482689380646	0.2955365777015686	0.12077175080776215	0.48503923416137695	0.13086795806884766
phase2w_vs_phase2bm_fc2actmse	2539	366	improved	256	366	0.11402569711208344	0.23317274451255798	0.1128922775387764	0.23317274451255798	0.12028046697378159	0.009989738464355469	0.8650102615356445
phase2w_vs_phase2bm_fc2actmse	2923	827	regressed	827	588	0.3078896701335907	0.3099544644355774	0.3078896701335907	0.18853113055229187	-0.11935853958129883	0.1903376579284668	0.4971623420715332
phase2w_vs_phase2bm_fc2actmse	28288	914	regressed	914	484	0.3704583942890167	0.30729764699935913	0.3704583942890167	0.25142040848731995	-0.11903798580169678	0.33055925369262695	0.17926740646362305
phase2w_vs_phase2bm_fc2actmse	13729	64	regressed	64	55	0.42209696769714355	0.3836735486984253	0.42209696769714355	0.3039546608924866	-0.11814230680465698	0.4233365058898926	0.23291349411010742
phase2w_vs_phase2bm_fc2actmse	35098	209	regressed	209	225	0.4911116361618042	0.4584897458553314	0.4911116361618042	0.3734978437423706	-0.1176137924194336	0.35747432708740234	0.20502567291259766
phase2w_vs_phase2bm_fc2actmse	27698	818	regressed	818	846	0.4427151381969452	0.46382859349250793	0.4427151381969452	0.3252864480018616	-0.11742869019508362	0.08269119262695312	0.3548088073730469
phase2w_vs_phase2bm_fc2actmse	29603	194	improved	155	194	0.21611006557941437	0.3089144229888916	0.1918880194425583	0.3089144229888916	0.11702640354633331	0.11887598037719727	0.6936240196228027
phase2w_vs_phase2bm_fc2actmse	34256	696	improved	813	696	0.2245824635028839	0.32104766368865967	0.20480571687221527	0.32104766368865967	0.1162419468164444	0.09218120574951172	0.22031879425048828
phase2w_vs_phase2bm_fc2actmse	16979	175	improved	194	175	0.4190506637096405	0.40416407585144043	0.28829070925712585	0.40416407585144043	0.11587336659431458	0.3740224838256836	0.4072275161743164
phase2w_vs_phase2bm_fc2actmse	26646	814	improved	450	814	0.4249285161495209	0.4809550344944	0.36573144793510437	0.4809550344944	0.11522358655929565	0.15002155303955078	0.5999784469604492
phase2w_vs_phase2bm_fc2actmse	11356	707	regressed	707	886	0.3985622525215149	0.34793198108673096	0.3985622525215149	0.2839142382144928	-0.1146480143070221	0.4529151916503906	0.20333480834960938
phase2w_vs_phase2bm_fc2actmse	26535	826	regressed	826	409	0.41903865337371826	0.41120707988739014	0.41903865337371826	0.3044182062149048	-0.11462044715881348	0.13680553436279297	0.30069446563720703
