pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
continuous_vs_candidate	272	50	34	29	-5	68.0	58.0	-0.04660974070429802	-0.10741136223077774
continuous_vs_candidate	587	50	35	30	-5	70.0	60.0	-0.040410060435533524	-0.16168628633022308
continuous_vs_candidate	718	50	35	30	-5	70.0	60.0	-0.001080976682715118	0.01330579724162817
continuous_vs_candidate	154	50	45	41	-4	90.0	82.0	-0.04606900364160538	-0.34580954909324646
continuous_vs_candidate	871	50	44	40	-4	88.0	80.0	-0.03997131437063217	-0.1952437162399292
continuous_vs_candidate	764	50	28	24	-4	56.0	48.0	-0.02916555665433407	-0.2580051124095917
continuous_vs_candidate	827	50	41	37	-4	82.0	74.0	-0.026769239455461502	-0.12594546377658844
continuous_vs_candidate	248	50	25	21	-4	50.0	42.0	-0.01937703788280487	-0.0368807315826416
continuous_vs_candidate	744	50	20	16	-4	40.0	32.0	-0.014369875192642212	0.015958232805132866
continuous_vs_candidate	568	50	45	41	-4	90.0	82.0	-0.012842643074691296	0.1421150267124176
continuous_vs_candidate	158	50	35	31	-4	70.0	62.0	0.0013093510642647743	-0.02809619903564453
continuous_vs_candidate	899	50	24	20	-4	48.0	40.0	0.003204255597665906	-0.02809729613363743
continuous_vs_candidate	905	50	36	32	-4	72.0	64.0	0.004946819506585598	0.022071780636906624
continuous_vs_candidate	204	50	38	34	-4	76.0	68.0	0.00903609674423933	0.3292955756187439
continuous_vs_candidate	809	50	34	31	-3	68.0	62.0	-0.033924590796232224	-0.10932363569736481
continuous_vs_candidate	261	50	47	44	-3	94.0	88.0	-0.03252272680401802	-0.08737339079380035
continuous_vs_candidate	447	50	35	32	-3	70.0	64.0	-0.03222573921084404	-0.15341277420520782
continuous_vs_candidate	131	50	45	42	-3	90.0	84.0	-0.028842441737651825	-0.0825481191277504
continuous_vs_candidate	77	50	38	35	-3	76.0	70.0	-0.026830334216356277	-0.2235855907201767
continuous_vs_candidate	483	50	41	38	-3	82.0	76.0	-0.024914709851145744	-0.12815606594085693
continuous_vs_candidate	498	50	35	32	-3	70.0	64.0	-0.02152951806783676	-0.17068026959896088
continuous_vs_candidate	584	50	29	26	-3	58.0	52.0	-0.021170906722545624	-0.05374645069241524
continuous_vs_candidate	770	50	42	39	-3	84.0	78.0	-0.014610440470278263	-0.029827041551470757
continuous_vs_candidate	785	50	48	45	-3	96.0	90.0	-0.013909034430980682	-0.11460694670677185
continuous_vs_candidate	697	50	39	36	-3	78.0	72.0	-0.012730089016258717	-0.08058428019285202
continuous_vs_candidate	183	50	46	43	-3	92.0	86.0	-0.012688127346336842	-0.15165451169013977
continuous_vs_candidate	909	50	33	30	-3	66.0	60.0	-0.010892128571867943	-0.027594957500696182
continuous_vs_candidate	515	50	36	33	-3	72.0	66.0	-0.010131441056728363	-0.05696111544966698
continuous_vs_candidate	264	50	34	31	-3	68.0	62.0	-0.010086284019052982	-0.020450878888368607
continuous_vs_candidate	700	50	41	38	-3	82.0	76.0	-0.006153578869998455	-0.11058194190263748
continuous_vs_candidate	232	50	44	41	-3	88.0	82.0	-0.006014225538820028	-0.00746529595926404
continuous_vs_candidate	567	50	28	25	-3	56.0	50.0	-0.004893721081316471	-0.08067436516284943
continuous_vs_candidate	401	50	47	44	-3	94.0	88.0	-0.004412215203046799	-0.04873735457658768
continuous_vs_candidate	282	50	12	9	-3	24.0	18.0	-0.003438230836763978	0.0010819435119628906
continuous_vs_candidate	793	50	43	40	-3	86.0	80.0	0.0034295308869332075	0.1646178960800171
continuous_vs_candidate	667	50	34	31	-3	68.0	62.0	0.004373900126665831	-0.010748901404440403
continuous_vs_candidate	312	50	36	33	-3	72.0	66.0	0.008970665745437145	0.03415723890066147
continuous_vs_candidate	673	50	24	21	-3	48.0	42.0	0.01128437276929617	0.008192319422960281
continuous_vs_candidate	484	50	38	35	-3	76.0	70.0	0.02005508914589882	0.15424726903438568
continuous_vs_candidate	4	50	46	44	-2	92.0	88.0	-0.043834324926137924	-0.28594180941581726
continuous_vs_candidate	841	50	22	20	-2	44.0	40.0	-0.0374542772769928	-0.2659420669078827
continuous_vs_candidate	360	50	43	41	-2	86.0	82.0	-0.030624980106949806	-0.0665581151843071
