pair	sample_index	target	direction	ref_pred	cmp_pred	ref_conf	cmp_conf	ref_true_prob	cmp_true_prob	true_prob_delta	ref_margin	cmp_margin
continuous_vs_candidate	11642	23	regressed	23	84	0.8307856321334839	0.7042277455329895	0.8307856321334839	0.068205825984478	-0.7625797986984253	2.665344715118408	2.3345718383789062
continuous_vs_candidate	29388	337	improved	50	337	0.5419368743896484	0.7363707423210144	0.044490572065114975	0.7363707423210144	0.6918801665306091	2.4998722076416016	2.5697569847106934
continuous_vs_candidate	48839	372	improved	972	372	0.15979671478271484	0.7055572867393494	0.06503681093454361	0.7055572867393494	0.640520453453064	0.6431112289428711	3.319859027862549
continuous_vs_candidate	21284	345	improved	295	345	0.4413456916809082	0.7397063374519348	0.11971931904554367	0.7397063374519348	0.6199870109558105	1.0038609504699707	2.6992640495300293
continuous_vs_candidate	34256	696	improved	813	696	0.3619561791419983	0.698512077331543	0.09058207273483276	0.698512077331543	0.6079300045967102	0.6789298057556152	1.8874406814575195
continuous_vs_candidate	32855	21	improved	23	21	0.6252725720405579	0.7114679217338562	0.11460969597101212	0.7114679217338562	0.5968582034111023	1.6966552734375	2.3971118927001953
continuous_vs_candidate	7421	79	regressed	79	316	0.6235113739967346	0.19575536251068115	0.6235113739967346	0.032261695712804794	-0.5912497043609619	2.042727470397949	1.2243881225585938
continuous_vs_candidate	31883	459	improved	684	459	0.7462814450263977	0.6699373126029968	0.09397263824939728	0.6699373126029968	0.5759646892547607	2.072099208831787	1.271615982055664
continuous_vs_candidate	33934	0	improved	397	0	0.08702113479375839	0.6442511081695557	0.07083487510681152	0.6442511081695557	0.5734162330627441	0.17120695114135742	2.527721405029297
continuous_vs_candidate	44909	18	improved	19	18	0.7063284516334534	0.6702955365180969	0.10232452303171158	0.6702955365180969	0.5679709911346436	1.9319310188293457	1.2242865562438965
continuous_vs_candidate	13792	764	regressed	764	515	0.8059818148612976	0.4758833050727844	0.8059818148612976	0.2593807876110077	-0.5466010570526123	2.3305821418762207	0.6068754196166992
continuous_vs_candidate	46516	200	regressed	200	226	0.7825882434844971	0.5703175663948059	0.7825882434844971	0.2407362014055252	-0.5418520569801331	1.7937860488891602	0.8624916076660156
continuous_vs_candidate	17728	489	regressed	489	287	0.6496492624282837	0.6425901055335999	0.6496492624282837	0.11229024827480316	-0.5373589992523193	1.5366253852844238	1.744420051574707
continuous_vs_candidate	38779	700	regressed	700	731	0.7052974104881287	0.23361057043075562	0.7052974104881287	0.16836780309677124	-0.5369296073913574	2.39115047454834	0.32750463485717773
continuous_vs_candidate	7728	644	improved	892	644	0.2918567657470703	0.7618699669837952	0.22505685687065125	0.7618699669837952	0.5368131399154663	0.25991010665893555	3.0839486122131348
continuous_vs_candidate	20674	125	improved	78	125	0.3186340034008026	0.7337568998336792	0.19797533750534058	0.7337568998336792	0.5357815623283386	0.47590065002441406	2.46157169342041
continuous_vs_candidate	48004	710	regressed	710	711	0.6858685612678528	0.1640155166387558	0.6858685612678528	0.15311478078365326	-0.5327537655830383	2.3101887702941895	0.003883838653564453
continuous_vs_candidate	47162	405	improved	628	405	0.23206233978271484	0.653468132019043	0.12488561123609543	0.653468132019043	0.5285825133323669	0.6196079254150391	2.849292278289795
continuous_vs_candidate	42368	775	improved	655	775	0.38946694135665894	0.674765944480896	0.149617999792099	0.674765944480896	0.5251479148864746	0.9566936492919922	2.3557944297790527
continuous_vs_candidate	31028	692	improved	518	692	0.5453786253929138	0.8548377156257629	0.33054792881011963	0.8548377156257629	0.5242897868156433	0.5007286071777344	2.499260425567627
continuous_vs_candidate	43100	415	improved	443	415	0.7455846667289734	0.6339377164840698	0.11131741851568222	0.6339377164840698	0.5226203203201294	1.9017829895019531	1.1294269561767578
continuous_vs_candidate	19459	674	improved	333	674	0.6604416370391846	0.6868105530738831	0.18165186047554016	0.6868105530738831	0.5051586627960205	1.2908167839050293	1.2091436386108398
continuous_vs_candidate	25325	822	improved	112	822	0.22298778593540192	0.6069072484970093	0.10337892919778824	0.6069072484970093	0.5035282969474792	0.7687158584594727	2.356212615966797
continuous_vs_candidate	42292	206	improved	221	206	0.5642440319061279	0.7077098488807678	0.20438332855701447	0.7077098488807678	0.5033265352249146	1.0154895782470703	1.4845056533813477
continuous_vs_candidate	16642	184	improved	185	184	0.4024994671344757	0.8858008980751038	0.3826761543750763	0.8858008980751038	0.5031247138977051	0.05050468444824219	3.6993885040283203
