pair	before	after	top1_before	top1_after	top1_delta	name	module	parent_module	stage	kind	quantizer	numel	changed	changed_fraction	mean_abs_bin_delta	max_abs_bin_delta	before_near_fraction	after_near_fraction	changed_and_near_fraction	changed_given_near	mean_before_boundary_dist	mean_after_boundary_dist	scale_ratio_after_over_before
ckpt10->phase2s	ckpt10	phase2s	80.166	80.14	-0.02599999999999625	features.7.1.mlp.fc2.weight	features.7.1.mlp.fc2	features.7.1.mlp	features.7.1	mlp_fc2	lsq_weight	2359296	120057	0.050886791199445724	0.050886791199445724	1	0.301622599363327	0.31842169165611267	0.050886791199445724	0.1547802454938433	0.20824314653873444	0.20267699658870697	1.0
ckpt10->phase2s	ckpt10	phase2s	80.166	80.14	-0.02599999999999625	features.7.1.attn.proj.weight	features.7.1.attn.proj	features.7.1.attn	features.7.1	attn_proj	lsq_weight	589824	29751	0.0504404716193676	0.0504404716193676	1	0.3014797568321228	0.3185492753982544	0.0504404716193676	0.15257862022278293	0.2078658789396286	0.20245522260665894	1.0
ckpt10->phase2s	ckpt10	phase2s	80.166	80.14	-0.02599999999999625	features.7.1.mlp.fc1.weight	features.7.1.mlp.fc1	features.7.1.mlp	features.7.1	mlp_fc1	lsq_weight	2359296	91302	0.03869883343577385	0.03869883343577385	1	0.24885007739067078	0.2577853798866272	0.03869883343577385	0.14317547785533163	0.22296959161758423	0.22036659717559814	1.0
ckpt10->phase2s	ckpt10	phase2s	80.166	80.14	-0.02599999999999625	features.5.5.mlp.fc1.weight	features.5.5.mlp.fc1	features.5.5.mlp	features.5.5	mlp_fc1	lsq_weight	589824	20790	0.035247802734375	0.035247802734375	1	0.2436014860868454	0.2511969804763794	0.035247802734375	0.13386044774677905	0.22478196024894714	0.22256401181221008	1.0
ckpt10->phase2s	ckpt10	phase2s	80.166	80.14	-0.02599999999999625	features.5.5.attn.proj.weight	features.5.5.attn.proj	features.5.5.attn	features.5.5	attn_proj	lsq_weight	147456	4646	0.0315077044069767	0.0315077044069767	1	0.2460734099149704	0.2562730610370636	0.0315077044069767	0.1182098058672366	0.2239828109741211	0.22119885683059692	1.0
ckpt10->phase2s	ckpt10	phase2s	80.166	80.14	-0.02599999999999625	features.7.1.attn.qkv.weight	features.7.1.attn.qkv	features.7.1.attn	features.7.1	attn_qkv	lsq_weight	1769472	47961	0.02710469625890255	0.02710469625890255	1	0.21435829997062683	0.2205488383769989	0.02710469625890255	0.11506460853418038	0.2328822761774063	0.23085153102874756	1.0
ckpt10->phase2s	ckpt10	phase2s	80.166	80.14	-0.02599999999999625	features.5.5.attn.qkv.weight	features.5.5.attn.qkv	features.5.5.attn	features.5.5	attn_qkv	lsq_weight	442368	11500	0.025996455922722816	0.025996455922722816	1	0.215576171875	0.22220639884471893	0.025996455922722816	0.110371038639461	0.23282276093959808	0.23071813583374023	1.0
ckpt10->phase2s	ckpt10	phase2s	80.166	80.14	-0.02599999999999625	features.5.5.mlp.fc2.weight	features.5.5.mlp.fc2	features.5.5.mlp	features.5.5	mlp_fc2	lsq_weight	589824	9371	0.0158877894282341	0.0158877894282341	1	0.199188232421875	0.2035132497549057	0.0158877894282341	0.07522074169208541	0.23861077427864075	0.23725944757461548	1.0
ckpt10->phase2w	ckpt10	phase2w	80.166	79.962	-0.20399999999999352	features.7.1.mlp.fc1.weight	features.7.1.mlp.fc1	features.7.1.mlp	features.7.1	mlp_fc1	lsq_weight	2359296	71722	0.03039974719285965	0.03039974719285965	1	0.24885007739067078	0.2553316652774811	0.03039974719285965	0.11553622488019008	0.22296959161758423	0.2209998220205307	1.0
ckpt10->phase2w	ckpt10	phase2w	80.166	79.962	-0.20399999999999352	features.5.5.mlp.fc1.weight	features.5.5.mlp.fc1	features.5.5.mlp	features.5.5	mlp_fc1	lsq_weight	589824	16272	0.027587890625	0.027587890625	1	0.2436014860868454	0.2489556223154068	0.027587890625	0.1074669449324369	0.22478196024894714	0.22312310338020325	1.0
ckpt10->phase2w	ckpt10	phase2w	80.166	79.962	-0.20399999999999352	features.7.1.attn.proj.weight	features.7.1.attn.proj	features.7.1.attn	features.7.1	attn_proj	lsq_weight	589824	15769	0.0267350934445858	0.0267350934445858	1	0.3014797568321228	0.3068661093711853	0.0267350934445858	0.08365206597102495	0.2078658789396286	0.2061823159456253	1.0
ckpt10->phase2w	ckpt10	phase2w	80.166	79.962	-0.20399999999999352	features.7.1.mlp.fc2.weight	features.7.1.mlp.fc2	features.7.1.mlp	features.7.1	mlp_fc2	lsq_weight	2359296	58887	0.024959564208984375	0.024959564208984375	1	0.301622599363327	0.3072746992111206	0.024959564208984375	0.07839067943381181	0.20824314653873444	0.2064327895641327	1.0
ckpt10->phase2w	ckpt10	phase2w	80.166	79.962	-0.20399999999999352	features.5.5.attn.proj.weight	features.5.5.attn.proj	features.5.5.attn	features.5.5	attn_proj	lsq_weight	147456	2628	0.017822265625	0.017822265625	1	0.2460734099149704	0.2499525249004364	0.017822265625	0.06869690236570383	0.2239828109741211	0.2230219841003418	1.0
ckpt10->phase2w	ckpt10	phase2w	80.166	79.962	-0.20399999999999352	features.7.1.attn.qkv.weight	features.7.1.attn.qkv	features.7.1.attn	features.7.1	attn_qkv	lsq_weight	1769472	28035	0.01584370993077755	0.01584370993077755	1	0.21435829997062683	0.21651656925678253	0.01584370993077755	0.06946887962692226	0.2328822761774063	0.23206664621829987	1.0
ckpt10->phase2w	ckpt10	phase2w	80.166	79.962	-0.20399999999999352	features.5.5.attn.qkv.weight	features.5.5.attn.qkv	features.5.5.attn	features.5.5	attn_qkv	lsq_weight	442368	6643	0.015016908757388592	0.015016908757388592	1	0.215576171875	0.2178751677274704	0.015016908757388592	0.06576185950740476	0.23282276093959808	0.23196803033351898	1.0
ckpt10->phase2w	ckpt10	phase2w	80.166	79.962	-0.20399999999999352	features.5.5.mlp.fc2.weight	features.5.5.mlp.fc2	features.5.5.mlp	features.5.5	mlp_fc2	lsq_weight	589824	5829	0.009882609359920025	0.009882609359920025	1	0.199188232421875	0.2010938823223114	0.009882609359920025	0.04772314191678538	0.23861077427864075	0.238028421998024	1.0
ckpt10->phase2z	ckpt10	phase2z	80.166	80.018	-0.14799999999999613	features.7.1.attn.proj.weight	features.7.1.attn.proj	features.7.1.attn	features.7.1	attn_proj	lsq_weight	589824	18804	0.0318806953728199	0.0318806953728199	1	0.3014797568321228	0.3074137270450592	0.0318806953728199	0.09976284836620032	0.2078658789396286	0.20576126873493195	1.0
ckpt10->phase2z	ckpt10	phase2z	80.166	80.018	-0.14799999999999613	features.7.1.mlp.fc2.weight	features.7.1.mlp.fc2	features.7.1.mlp	features.7.1	mlp_fc2	lsq_weight	2359296	73950	0.03134409710764885	0.03134409710764885	1	0.301622599363327	0.3077511191368103	0.03134409710764885	0.09837334780665347	0.20824314653873444	0.20602811872959137	1.0
ckpt10->phase2z	ckpt10	phase2z	80.166	80.018	-0.14799999999999613	features.7.1.mlp.fc1.weight	features.7.1.mlp.fc1	features.7.1.mlp	features.7.1	mlp_fc1	lsq_weight	2359296	71435	0.030278099700808525	0.030278099700808525	1	0.24885007739067078	0.25521767139434814	0.030278099700808525	0.11517891549461552	0.22296959161758423	0.22105816006660461	1.0
ckpt10->phase2z	ckpt10	phase2z	80.166	80.018	-0.14799999999999613	features.5.5.mlp.fc1.weight	features.5.5.mlp.fc1	features.5.5.mlp	features.5.5	mlp_fc1	lsq_weight	589824	16113	0.02731831930577755	0.02731831930577755	1	0.2436014860868454	0.2489725798368454	0.02731831930577755	0.10650054529230972	0.22478196024894714	0.22317200899124146	1.0
ckpt10->phase2z	ckpt10	phase2z	80.166	80.018	-0.14799999999999613	features.5.5.attn.proj.weight	features.5.5.attn.proj	features.5.5.attn	features.5.5	attn_proj	lsq_weight	147456	2920	0.0198025181889534	0.0198025181889534	1	0.2460734099149704	0.2498711496591568	0.0198025181889534	0.07640778731421394	0.2239828109741211	0.22286003828048706	1.0
ckpt10->phase2z	ckpt10	phase2z	80.166	80.018	-0.14799999999999613	features.7.1.attn.qkv.weight	features.7.1.attn.qkv	features.7.1.attn	features.7.1	attn_qkv	lsq_weight	1769472	29654	0.016758671030402184	0.016758671030402184	1	0.21435829997062683	0.2167883962392807	0.016758671030402184	0.073548086271553	0.2328822761774063	0.2319747358560562	1.0
