pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
2cx_vs_plain	587	50	37	30	-7	74.0	60.0	-0.04809963330626488	-0.0925864577293396
2cx_vs_plain	848	50	27	21	-6	54.0	42.0	-0.03626468777656555	0.06509552896022797
2cx_vs_plain	764	50	30	24	-6	60.0	48.0	-0.013090682215988636	-0.0003929233644157648
2cx_vs_plain	718	50	36	30	-6	72.0	60.0	-0.0071943593211472034	0.056584473699331284
2cx_vs_plain	864	50	41	36	-5	82.0	72.0	-0.06714462488889694	-0.23028965294361115
2cx_vs_plain	386	50	37	32	-5	74.0	64.0	-0.03794330731034279	-0.17362698912620544
2cx_vs_plain	567	50	30	25	-5	60.0	50.0	-0.022512182593345642	-0.2652658522129059
2cx_vs_plain	681	50	18	13	-5	36.0	26.0	-0.011165392585098743	0.10472896695137024
2cx_vs_plain	186	50	41	37	-4	82.0	74.0	-0.03466155007481575	-0.24140678346157074
2cx_vs_plain	610	50	45	41	-4	90.0	82.0	-0.02567686140537262	-0.07096603512763977
2cx_vs_plain	498	50	36	32	-4	72.0	64.0	-0.01903880573809147	0.09037614613771439
2cx_vs_plain	108	50	37	33	-4	74.0	66.0	-0.016184434294700623	-0.14655320346355438
2cx_vs_plain	797	50	39	35	-4	78.0	70.0	-0.015291924588382244	0.06768393516540527
2cx_vs_plain	760	50	44	40	-4	88.0	80.0	-0.012778542935848236	-0.05675297603011131
2cx_vs_plain	923	50	29	25	-4	58.0	50.0	-0.00869728997349739	-0.15555188059806824
2cx_vs_plain	770	50	43	39	-4	86.0	78.0	0.013833808712661266	0.1411469429731369
2cx_vs_plain	775	50	37	33	-4	74.0	66.0	0.030587997287511826	0.2547784447669983
2cx_vs_plain	750	50	36	33	-3	72.0	66.0	-0.045755673199892044	-0.2606634199619293
2cx_vs_plain	979	50	44	41	-3	88.0	82.0	-0.04245362803339958	-0.2286195158958435
2cx_vs_plain	841	50	23	20	-3	46.0	40.0	-0.037450335919857025	-0.10058410465717316
2cx_vs_plain	468	50	37	34	-3	74.0	68.0	-0.03732246905565262	-0.06182098388671875
2cx_vs_plain	652	50	41	38	-3	82.0	76.0	-0.03519561141729355	-0.12648944556713104
2cx_vs_plain	447	50	35	32	-3	70.0	64.0	-0.03214268013834953	-0.17394530773162842
2cx_vs_plain	173	50	41	38	-3	82.0	76.0	-0.021991074085235596	-0.03273888677358627
2cx_vs_plain	896	50	45	42	-3	90.0	84.0	-0.017801618203520775	-0.07212777435779572
2cx_vs_plain	796	50	41	38	-3	82.0	76.0	-0.01775139570236206	0.05994430556893349
2cx_vs_plain	441	50	42	39	-3	84.0	78.0	-0.01644924469292164	-0.2526026666164398
2cx_vs_plain	509	50	30	27	-3	60.0	54.0	-0.014607398770749569	0.0878954604268074
2cx_vs_plain	744	50	19	16	-3	38.0	32.0	-0.013443083502352238	0.11085091531276703
2cx_vs_plain	154	50	44	41	-3	88.0	82.0	-0.012564620934426785	-0.05763843655586243
2cx_vs_plain	481	50	33	30	-3	66.0	60.0	-0.011069980449974537	0.1111222356557846
2cx_vs_plain	658	50	37	34	-3	74.0	68.0	-0.010472854599356651	0.04357175901532173
2cx_vs_plain	756	50	42	39	-3	84.0	78.0	-0.009810027666389942	-0.1061946377158165
2cx_vs_plain	590	50	31	28	-3	62.0	56.0	-0.009168312884867191	0.12756608426570892
2cx_vs_plain	529	50	42	39	-3	84.0	78.0	-0.005891298875212669	0.05778905004262924
2cx_vs_plain	167	50	20	17	-3	40.0	34.0	-0.00565276388078928	0.05610456317663193
2cx_vs_plain	124	50	38	35	-3	76.0	70.0	-0.0024470738135278225	-0.04431769251823425
2cx_vs_plain	241	50	38	35	-3	76.0	70.0	-0.0019434451824054122	0.01069668773561716
2cx_vs_plain	813	50	24	21	-3	48.0	42.0	0.0010322812013328075	0.03451652452349663
2cx_vs_plain	207	50	45	42	-3	90.0	84.0	0.001079423469491303	-0.1608671247959137
2cx_vs_plain	881	50	43	40	-3	86.0	80.0	0.0019313585944473743	0.07330737262964249
2cx_vs_plain	304	50	35	32	-3	70.0	64.0	0.006635237950831652	-0.009587650187313557
2cx_vs_plain	768	50	48	45	-3	96.0	90.0	0.009331994690001011	0.21946343779563904
2cx_vs_plain	549	50	30	28	-2	60.0	56.0	-0.0526367649435997	-0.21278062462806702
2cx_vs_plain	543	50	38	36	-2	76.0	72.0	-0.052506230771541595	-0.25840386748313904
2cx_vs_plain	563	50	46	44	-2	92.0	88.0	-0.040965814143419266	-0.23238781094551086
2cx_vs_plain	457	50	43	41	-2	86.0	82.0	-0.038322485983371735	-0.1380162388086319
2cx_vs_plain	939	50	42	40	-2	84.0	80.0	-0.037050601094961166	-0.2148389369249344
2cx_vs_plain	665	50	40	38	-2	80.0	76.0	-0.03653060272336006	-0.21085666120052338
2cx_vs_plain	785	50	47	45	-2	94.0	90.0	-0.03383110463619232	-0.2915753126144409
2cx_vs_plain	82	50	45	43	-2	90.0	86.0	-0.03212849050760269	-0.04368111491203308
2cx_vs_plain	778	50	42	40	-2	84.0	80.0	-0.030879057943820953	-0.2212054431438446
2cx_vs_plain	506	50	38	36	-2	76.0	72.0	-0.029267925769090652	-0.0030401230324059725
2cx_vs_plain	313	50	41	39	-2	82.0	78.0	-0.029125742614269257	-0.24421922862529755
2cx_vs_plain	8	50	46	44	-2	92.0	88.0	-0.028004946187138557	-0.33860793709754944
2cx_vs_plain	444	50	45	43	-2	90.0	86.0	-0.027638506144285202	-0.2314056009054184
2cx_vs_plain	348	50	36	34	-2	72.0	68.0	-0.025467930361628532	-0.14380688965320587
2cx_vs_plain	243	50	44	42	-2	88.0	84.0	-0.024747595191001892	-0.21428407728672028
2cx_vs_plain	58	50	43	41	-2	86.0	82.0	-0.024243781343102455	-0.051694355905056
2cx_vs_plain	982	50	43	41	-2	86.0	82.0	-0.023100288584828377	-0.27648288011550903
2cx_vs_plain	976	50	31	29	-2	62.0	58.0	-0.02176828868687153	-0.026606645435094833
2cx_vs_plain	494	50	39	37	-2	78.0	74.0	-0.021752309054136276	-0.04345338046550751
2cx_vs_plain	140	50	47	45	-2	94.0	90.0	-0.02045135572552681	0.012618894688785076
2cx_vs_plain	920	50	43	41	-2	86.0	82.0	-0.01926261931657791	0.020020198076963425
2cx_vs_plain	263	50	49	47	-2	98.0	94.0	-0.01900562085211277	-0.150823712348938
2cx_vs_plain	431	50	42	40	-2	84.0	80.0	-0.018943512812256813	-0.05264068767428398
2cx_vs_plain	941	50	43	41	-2	86.0	82.0	-0.01843372732400894	-0.015991192311048508
2cx_vs_plain	403	50	46	44	-2	92.0	88.0	-0.017847426235675812	-0.14382776618003845
2cx_vs_plain	295	50	46	44	-2	92.0	88.0	-0.017188269644975662	-0.10404643416404724
2cx_vs_plain	791	50	41	39	-2	82.0	78.0	-0.017051268368959427	-0.11857082694768906
2cx_vs_plain	149	50	46	44	-2	92.0	88.0	-0.016845328733325005	-0.03465535119175911
2cx_vs_plain	366	50	40	38	-2	80.0	76.0	-0.01678403466939926	-0.04724131524562836
2cx_vs_plain	502	50	37	35	-2	74.0	70.0	-0.01633407175540924	-0.1386507749557495
2cx_vs_plain	650	50	31	29	-2	62.0	58.0	-0.01596110872924328	-0.09956466406583786
2cx_vs_plain	463	50	31	29	-2	62.0	58.0	-0.01584642566740513	0.06990759074687958
2cx_vs_plain	847	50	41	39	-2	82.0	78.0	-0.01549411192536354	0.028393831104040146
2cx_vs_plain	211	50	44	42	-2	88.0	84.0	-0.014810454100370407	-0.043430816382169724
2cx_vs_plain	44	50	39	37	-2	78.0	74.0	-0.01426465529948473	-0.10069631785154343
2cx_vs_plain	385	50	33	31	-2	66.0	62.0	-0.014018510468304157	-0.05327480286359787
2cx_vs_plain	261	50	46	44	-2	92.0	88.0	-0.013952422887086868	-0.048219822347164154
2cx_vs_plain	519	50	33	31	-2	66.0	62.0	-0.013456791639328003	-0.2793804109096527
2cx_vs_plain	394	50	43	41	-2	86.0	82.0	-0.012605631723999977	0.037280596792697906
2cx_vs_plain	931	50	35	33	-2	70.0	66.0	-0.012309827841818333	-0.14981114864349365
2cx_vs_plain	146	50	50	48	-2	100.0	96.0	-0.01220613718032837	-0.19057555496692657
2cx_vs_plain	954	50	45	43	-2	90.0	86.0	-0.0116947116330266	0.019219379872083664
2cx_vs_plain	202	50	40	38	-2	80.0	76.0	-0.011413243599236012	-0.1276550590991974
2cx_vs_plain	367	50	45	43	-2	90.0	86.0	-0.011340450495481491	0.03471473604440689
2cx_vs_plain	401	50	46	44	-2	92.0	88.0	-0.011233682744204998	-0.017506379634141922
2cx_vs_plain	517	50	44	42	-2	88.0	84.0	-0.009696980938315392	-0.18364264070987701
2cx_vs_plain	282	50	11	9	-2	22.0	18.0	-0.00918679591268301	0.01122903823852539
2cx_vs_plain	35	50	37	35	-2	74.0	70.0	-0.00830147136002779	0.02445656806230545
2cx_vs_plain	640	50	50	48	-2	100.0	96.0	-0.00821576826274395	-0.019537411630153656
2cx_vs_plain	200	50	37	35	-2	74.0	70.0	-0.008127773180603981	0.08341383934020996
2cx_vs_plain	299	50	48	46	-2	96.0	92.0	-0.007492780685424805	-0.061571940779685974
2cx_vs_plain	556	50	35	33	-2	70.0	66.0	-0.007316415198147297	-0.014723978005349636
2cx_vs_plain	987	50	23	21	-2	46.0	42.0	-0.006181368138641119	-0.002075767610222101
2cx_vs_plain	568	50	43	41	-2	86.0	82.0	-0.005775462370365858	0.004901790525764227
2cx_vs_plain	269	50	40	38	-2	80.0	76.0	-0.0054596965201199055	-0.07641568034887314
2cx_vs_plain	664	50	21	19	-2	42.0	38.0	-0.005429226905107498	-0.007008457090705633
2cx_vs_plain	975	50	32	30	-2	64.0	60.0	-0.005303429439663887	-0.05336422100663185
2cx_vs_plain	213	50	44	42	-2	88.0	84.0	-0.0052619618363678455	0.0042646597139537334
2cx_vs_plain	827	50	39	37	-2	78.0	74.0	-0.004966038279235363	-0.12897847592830658
2cx_vs_plain	969	50	26	24	-2	52.0	48.0	-0.0046515753492712975	0.16864356398582458
2cx_vs_plain	252	50	43	41	-2	86.0	82.0	-0.004284786060452461	0.039246197789907455
2cx_vs_plain	667	50	33	31	-2	66.0	62.0	-0.0033700882922858	-0.07088856399059296
2cx_vs_plain	16	50	46	44	-2	92.0	88.0	-0.0025509661063551903	-0.06130553409457207
2cx_vs_plain	479	50	25	23	-2	50.0	46.0	-0.0019787230994552374	0.026293879374861717
2cx_vs_plain	74	50	32	30	-2	64.0	60.0	-0.0018516016425564885	0.04995109513401985
2cx_vs_plain	88	50	50	48	-2	100.0	96.0	-0.0017369568813592196	-0.06228891387581825
2cx_vs_plain	901	50	35	33	-2	70.0	66.0	-0.0012319193920120597	0.02701576240360737
2cx_vs_plain	966	50	34	32	-2	68.0	64.0	-0.0009072762914001942	0.001780920079909265
2cx_vs_plain	588	50	39	37	-2	78.0	74.0	-0.00022205233108252287	-0.06861449033021927
2cx_vs_plain	921	50	36	34	-2	72.0	68.0	0.000988167361356318	0.025329064577817917
2cx_vs_plain	597	50	38	36	-2	76.0	72.0	0.002044172491878271	0.08344893157482147
2cx_vs_plain	845	50	36	34	-2	72.0	68.0	0.003031645668670535	-0.12022552639245987
2cx_vs_plain	899	50	22	20	-2	44.0	40.0	0.004246552009135485	-0.011325941421091557
2cx_vs_plain	158	50	33	31	-2	66.0	62.0	0.0042826407589018345	-0.052726879715919495
2cx_vs_plain	752	50	43	41	-2	86.0	82.0	0.005661930423229933	0.03086499124765396
2cx_vs_plain	214	50	46	44	-2	92.0	88.0	0.007730400655418634	0.14227750897407532
2cx_vs_plain	456	50	45	43	-2	90.0	86.0	0.007851721718907356	0.14794105291366577
2cx_vs_plain	963	50	44	42	-2	88.0	84.0	0.007988041266798973	-0.0016828441293910146
2cx_vs_plain	885	50	17	15	-2	34.0	30.0	0.008486100472509861	0.022272806614637375
2cx_vs_plain	78	50	41	39	-2	82.0	78.0	0.011429126374423504	0.05002109706401825
2cx_vs_plain	978	50	23	21	-2	46.0	42.0	0.012188486754894257	0.2028609812259674
2cx_vs_plain	484	50	37	35	-2	74.0	70.0	0.014754357747733593	0.016140718013048172
2cx_vs_plain	654	50	41	39	-2	82.0	78.0	0.01521392073482275	0.141604945063591
2cx_vs_plain	905	50	34	32	-2	68.0	64.0	0.015509693883359432	-0.003031549509614706
2cx_vs_plain	926	50	44	42	-2	88.0	84.0	0.01942106895148754	0.12066848576068878
2cx_vs_plain	673	50	23	21	-2	46.0	42.0	0.026472797617316246	0.15247653424739838
2cx_vs_plain	232	50	43	41	-2	86.0	82.0	0.040103692561388016	0.05425078421831131
2cx_vs_plain	887	50	35	34	-1	70.0	68.0	-0.05621390417218208	-0.23593541979789734
2cx_vs_plain	174	50	46	45	-1	92.0	90.0	-0.053876496851444244	-0.4717440903186798
2cx_vs_plain	839	50	36	35	-1	72.0	70.0	-0.044594839215278625	-0.17358645796775818
2cx_vs_plain	265	50	39	38	-1	78.0	76.0	-0.043954815715551376	-0.18943101167678833
2cx_vs_plain	511	50	44	43	-1	88.0	86.0	-0.043356455862522125	-0.2767965793609619
2cx_vs_plain	249	50	42	41	-1	84.0	82.0	-0.0416121669113636	-0.25535497069358826
2cx_vs_plain	929	50	42	41	-1	84.0	82.0	-0.03592656925320625	-0.09656531363725662
2cx_vs_plain	884	50	40	39	-1	80.0	78.0	-0.032500606030225754	-0.1858404576778412
2cx_vs_plain	702	50	43	42	-1	86.0	84.0	-0.029627734795212746	-0.12450231611728668
2cx_vs_plain	196	50	37	36	-1	74.0	72.0	-0.0287579745054245	-0.20423363149166107
2cx_vs_plain	787	50	34	33	-1	68.0	66.0	-0.02824575826525688	-0.14008530974388123
2cx_vs_plain	141	50	47	46	-1	94.0	92.0	-0.02637704834342003	-0.2821823060512543
2cx_vs_plain	272	50	30	29	-1	60.0	58.0	-0.02498205006122589	-0.1262115240097046
2cx_vs_plain	825	50	43	42	-1	86.0	84.0	-0.02493712678551674	0.01843998022377491
2cx_vs_plain	238	50	35	34	-1	70.0	68.0	-0.024476679041981697	-0.04050824046134949
2cx_vs_plain	622	50	32	31	-1	64.0	62.0	-0.024063467979431152	-0.011822824366390705
2cx_vs_plain	950	50	41	40	-1	82.0	80.0	-0.02262764982879162	-0.09986074268817902
2cx_vs_plain	81	50	47	46	-1	94.0	92.0	-0.020773205906152725	-0.06522679328918457
2cx_vs_plain	483	50	39	38	-1	78.0	76.0	-0.02074696309864521	-0.13528989255428314
2cx_vs_plain	593	50	41	40	-1	82.0	80.0	-0.020598366856575012	-0.07064404338598251
2cx_vs_plain	281	50	38	37	-1	76.0	74.0	-0.01993357203900814	-0.0723429024219513
2cx_vs_plain	670	50	45	44	-1	90.0	88.0	-0.01948111318051815	-0.06078923121094704
2cx_vs_plain	710	50	36	35	-1	72.0	70.0	-0.01835903711616993	-0.10965309292078018
2cx_vs_plain	878	50	42	41	-1	84.0	82.0	-0.01790567860007286	-0.07246579229831696
2cx_vs_plain	753	50	41	40	-1	82.0	80.0	-0.017113840207457542	-0.15984608232975006
2cx_vs_plain	303	50	40	39	-1	80.0	78.0	-0.0169769749045372	-0.11086443811655045
2cx_vs_plain	925	50	32	31	-1	64.0	62.0	-0.016936279833316803	-0.0977332666516304
2cx_vs_plain	433	50	43	42	-1	86.0	84.0	-0.01681351289153099	0.0708528459072113
2cx_vs_plain	804	50	34	33	-1	68.0	66.0	-0.016769414767622948	-0.1186203733086586
2cx_vs_plain	795	50	42	41	-1	84.0	82.0	-0.016624940559267998	-0.12145423144102097
2cx_vs_plain	278	50	37	36	-1	74.0	72.0	-0.015976376831531525	-0.0673307403922081
2cx_vs_plain	354	50	47	46	-1	94.0	92.0	-0.015959300100803375	0.09477566927671432
2cx_vs_plain	132	50	47	46	-1	94.0	92.0	-0.01550055481493473	0.0068618012592196465
2cx_vs_plain	318	50	45	44	-1	90.0	88.0	-0.0154349897056818	-0.039067115634679794
2cx_vs_plain	49	50	40	39	-1	80.0	78.0	-0.015235697850584984	-0.1896887570619583
2cx_vs_plain	680	50	44	43	-1	88.0	86.0	-0.014826059341430664	-0.13084369897842407
2cx_vs_plain	3	50	40	39	-1	80.0	78.0	-0.014492626301944256	-0.10572224855422974
2cx_vs_plain	63	50	44	43	-1	88.0	86.0	-0.014424157328903675	-0.13439953327178955
2cx_vs_plain	93	50	50	49	-1	100.0	98.0	-0.014047641307115555	-0.0941247045993805
2cx_vs_plain	437	50	38	37	-1	76.0	74.0	-0.013951726257801056	0.003945722710341215
2cx_vs_plain	964	50	39	38	-1	78.0	76.0	-0.013295230455696583	-0.19762855768203735
2cx_vs_plain	180	50	32	31	-1	64.0	62.0	-0.013076020404696465	-0.11470451205968857
2cx_vs_plain	536	50	30	29	-1	60.0	58.0	-0.012993283569812775	0.01143960002809763
2cx_vs_plain	317	50	46	45	-1	92.0	90.0	-0.012961254455149174	-0.1081073209643364
2cx_vs_plain	198	50	46	45	-1	92.0	90.0	-0.012868680991232395	-0.04491748660802841
2cx_vs_plain	134	50	39	38	-1	78.0	76.0	-0.012335186824202538	-0.009705104865133762
