pair	ref_conf_bin	total	ref_correct	cmp_correct	improved	regressed	net_flips	avg_true_prob_delta
2cx_vs_plain	[0.00,0.20)	1268	268	273	119	114	5	0.01753387227654457
2cx_vs_plain	[0.20,0.40)	4135	1513	1536	409	386	23	0.019550641998648643
2cx_vs_plain	[0.40,0.60)	6611	3636	3631	387	392	-5	0.012868312187492847
2cx_vs_plain	[0.60,0.80)	9037	6955	6941	59	73	-14	0.0009914898546412587
2cx_vs_plain	[0.80,0.90)	14545	13628	13627	2	3	-1	-0.0010753654642030597
2cx_vs_plain	[0.90,0.95)	11876	11589	11589	0	0	0	-0.0068057444877922535
2cx_vs_plain	[0.95,0.99)	2444	2392	2392	0	0	0	-0.009615798480808735
2cx_vs_plain	[0.99,1.01)	84	83	83	0	0	0	-0.004744435660541058
2cx_vs_reexplore	[0.00,0.20)	1279	269	293	129	105	24	0.020006386563181877
2cx_vs_reexplore	[0.20,0.40)	4153	1504	1557	412	359	53	0.02350509539246559
2cx_vs_reexplore	[0.40,0.60)	6752	3641	3710	443	374	69	0.01664980873465538
2cx_vs_reexplore	[0.60,0.80)	9076	6993	6965	56	84	-28	0.0035557947121560574
2cx_vs_reexplore	[0.80,0.90)	14988	14122	14120	0	2	-2	0.000712905079126358
2cx_vs_reexplore	[0.90,0.95)	11371	11093	11093	0	0	0	-0.004822819493710995
2cx_vs_reexplore	[0.95,0.99)	2300	2256	2256	0	0	0	-0.007717691361904144
2cx_vs_reexplore	[0.99,1.01)	81	78	78	0	0	0	-0.004260485526174307
2cx_vs_anchorunmoved	[0.00,0.20)	1251	251	269	129	111	18	0.018435681238770485
2cx_vs_anchorunmoved	[0.20,0.40)	4147	1507	1555	425	377	48	0.021695975214242935
2cx_vs_anchorunmoved	[0.40,0.60)	6619	3577	3585	386	378	8	0.011834856122732162
2cx_vs_anchorunmoved	[0.60,0.80)	8968	6920	6893	43	70	-27	-0.0017036345088854432
2cx_vs_anchorunmoved	[0.80,0.90)	14757	13858	13855	1	4	-3	-0.0011643713805824518
2cx_vs_anchorunmoved	[0.90,0.95)	11731	11443	11443	0	0	0	-0.0061591318808496
2cx_vs_anchorunmoved	[0.95,0.99)	2448	2395	2395	0	0	0	-0.009522907435894012
2cx_vs_anchorunmoved	[0.99,1.01)	79	77	77	0	0	0	-0.004409221466630697
