pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
phase2fw_vs_fx100wm	638	50	17	14	-3	34.0	28.0	-7.019824988674372e-05	0.008040810003876686
phase2fw_vs_fx100wm	923	50	27	25	-2	54.0	50.0	-0.002532371785491705	-0.011599673889577389
phase2fw_vs_fx100wm	680	50	44	42	-2	88.0	84.0	-0.0009780224645510316	0.00027159691671840847
phase2fw_vs_fx100wm	515	50	36	34	-2	72.0	68.0	-0.0005205754423514009	-0.004605245776474476
phase2fw_vs_fx100wm	588	50	39	37	-2	78.0	74.0	0.002280999906361103	-0.007471485063433647
phase2fw_vs_fx100wm	549	50	30	28	-2	60.0	56.0	0.003367205150425434	0.009389028884470463
phase2fw_vs_fx100wm	186	50	40	38	-2	80.0	76.0	0.005518532823771238	0.020596275106072426
phase2fw_vs_fx100wm	242	50	43	41	-2	86.0	82.0	0.0066842506639659405	0.029069481417536736
phase2fw_vs_fx100wm	526	50	32	30	-2	64.0	60.0	0.0074439141899347305	0.011842336505651474
phase2fw_vs_fx100wm	335	50	49	47	-2	98.0	94.0	0.011295498348772526	0.06832883507013321
phase2fw_vs_fx100wm	236	50	40	39	-1	80.0	78.0	-0.0046755243092775345	-0.04354986175894737
phase2fw_vs_fx100wm	406	50	38	37	-1	76.0	74.0	-0.004583801608532667	-0.014340180903673172
phase2fw_vs_fx100wm	418	50	35	34	-1	70.0	68.0	-0.004125173203647137	-0.013516140170395374
phase2fw_vs_fx100wm	943	50	38	37	-1	76.0	74.0	-0.001985102891921997	9.31739850784652e-06
phase2fw_vs_fx100wm	585	50	25	24	-1	50.0	48.0	-0.0014674353878945112	0.013275852426886559
phase2fw_vs_fx100wm	911	50	23	22	-1	46.0	44.0	-0.0014355428284034133	0.038545168936252594
phase2fw_vs_fx100wm	851	50	39	38	-1	78.0	76.0	-0.0011863241670653224	-0.007908200845122337
phase2fw_vs_fx100wm	166	50	36	35	-1	72.0	70.0	-0.0011511393822729588	0.014070367440581322
phase2fw_vs_fx100wm	782	50	12	11	-1	24.0	22.0	-0.0009270653245039284	0.00913409236818552
phase2fw_vs_fx100wm	650	50	30	29	-1	60.0	58.0	-0.0009066244820132852	0.0158302690833807
phase2fw_vs_fx100wm	905	50	33	32	-1	66.0	64.0	-0.0007797650760039687	-0.0022141742520034313
phase2fw_vs_fx100wm	721	50	44	43	-1	88.0	86.0	-0.0006787916063331068	0.002691602800041437
phase2fw_vs_fx100wm	32	50	26	25	-1	52.0	50.0	1.5759542293380946e-05	0.016862859949469566
