pair	before	after	top1_before	top1_after	top1_delta	name	module	parent_module	stage	kind	quantizer	numel	changed	changed_fraction	mean_abs_bin_delta	max_abs_bin_delta	before_near_fraction	after_near_fraction	changed_and_near_fraction	changed_given_near	mean_before_boundary_dist	mean_after_boundary_dist	scale_ratio_after_over_before
ckpt10->phase2s	ckpt10	phase2s	79.922	80.124	0.20199999999999818	features.7.1.attn.proj.weight	features.7.1.attn.proj	features.7.1.attn	features.7.1	attn_proj	lsq_weight	589824	34955	0.0592634417116642	0.0592634417116642	1	0.2354448139667511	0.2086944580078125	0.0592617467045784	0.23035455384209833	0.2084757536649704	0.2115325927734375	1.0
ckpt10->phase2s	ckpt10	phase2s	79.922	80.124	0.20199999999999818	features.7.1.mlp.fc2.weight	features.7.1.mlp.fc2	features.7.1.mlp	features.7.1	mlp_fc2	lsq_weight	2359296	138597	0.058745067566633224	0.058745067566633224	1	0.23403294384479523	0.21202172338962555	0.0587429478764534	0.23039685072880092	0.2093985229730606	0.2116118222475052	1.0
ckpt10->phase2s	ckpt10	phase2s	79.922	80.124	0.20199999999999818	features.7.1.mlp.fc1.weight	features.7.1.mlp.fc1	features.7.1.mlp	features.7.1	mlp_fc1	lsq_weight	2359296	104551	0.044314488768577576	0.044314488768577576	1	0.17139604687690735	0.18378321826457977	0.044311098754405975	0.21809370625577607	0.22622257471084595	0.22298568487167358	1.0
ckpt10->phase2s	ckpt10	phase2s	79.922	80.124	0.20199999999999818	features.5.5.mlp.fc1.weight	features.5.5.mlp.fc1	features.5.5.mlp	features.5.5	mlp_fc1	lsq_weight	589824	24063	0.0407969169318676	0.0407969169318676	1	0.1675211638212204	0.1783854216337204	0.0407969169318676	0.207693901154862	0.22760377824306488	0.22485335171222687	1.0
ckpt10->phase2s	ckpt10	phase2s	79.922	80.124	0.20199999999999818	features.5.5.attn.proj.weight	features.5.5.attn.proj	features.5.5.attn	features.5.5	attn_proj	lsq_weight	147456	5394	0.0365804024040699	0.0365804024040699	1	0.1792127788066864	0.1690266877412796	0.0365804024040699	0.1855457328609267	0.22492803633213043	0.2258852869272232	1.0
ckpt10->phase2s	ckpt10	phase2s	79.922	80.124	0.20199999999999818	features.7.1.attn.qkv.weight	features.7.1.attn.qkv	features.7.1.attn	features.7.1	attn_qkv	lsq_weight	1769472	58919	0.03329750522971153	0.03329750522971153	1	0.14812158048152924	0.14094091951847076	0.03329015523195267	0.19495743807670413	0.23371350765228271	0.23418906331062317	1.0
ckpt10->phase2s	ckpt10	phase2s	79.922	80.124	0.20199999999999818	features.5.5.attn.qkv.weight	features.5.5.attn.qkv	features.5.5.attn	features.5.5	attn_qkv	lsq_weight	442368	13926	0.0314805768430233	0.0314805768430233	1	0.1488715261220932	0.1435886025428772	0.0314805768430233	0.18574934642266447	0.23389266431331635	0.23400647938251495	1.0
ckpt10->phase2s	ckpt10	phase2s	79.922	80.124	0.20199999999999818	features.5.5.mlp.fc2.weight	features.5.5.mlp.fc2	features.5.5.mlp	features.5.5	mlp_fc2	lsq_weight	589824	11346	0.01923624612390995	0.01923624612390995	1	0.1356658935546875	0.1331871896982193	0.01923624612390995	0.1300967756730725	0.23935583233833313	0.23940740525722504	1.0
phase2s->phase2w	phase2s	phase2w	80.124	80.064	-0.060000000000002274	features.7.1.mlp.fc2.weight	features.7.1.mlp.fc2	features.7.1.mlp	features.7.1	mlp_fc2	lsq_weight	2359296	124693	0.052851781249046326	0.052851781249046326	1	0.21202172338962555	0.24179881811141968	0.052851781249046326	0.2099456164867914	0.2116118222475052	0.205254927277565	1.0
phase2s->phase2w	phase2s	phase2w	80.124	80.064	-0.060000000000002274	features.7.1.attn.proj.weight	features.7.1.attn.proj	features.7.1.attn	features.7.1	attn_proj	lsq_weight	589824	30781	0.0521867536008358	0.0521867536008358	1	0.2086944580078125	0.2403344064950943	0.0521867536008358	0.20746667026138063	0.2115325927734375	0.20513977110385895	1.0
phase2s->phase2w	phase2s	phase2w	80.124	80.064	-0.060000000000002274	features.7.1.mlp.fc1.weight	features.7.1.mlp.fc1	features.7.1.mlp	features.7.1	mlp_fc1	lsq_weight	2359296	91645	0.038844212889671326	0.038844212889671326	1	0.18378321826457977	0.19338437914848328	0.0388437919318676	0.1867176294171339	0.22298568487167358	0.2204032689332962	1.0
phase2s->phase2w	phase2s	phase2w	80.124	80.064	-0.060000000000002274	features.5.5.mlp.fc1.weight	features.5.5.mlp.fc1	features.5.5.mlp	features.5.5	mlp_fc1	lsq_weight	589824	21011	0.0356224924325943	0.0356224924325943	1	0.1783854216337204	0.1867404580116272	0.0356224924325943	0.177436789568801	0.22485335171222687	0.22258788347244263	1.0
phase2s->phase2w	phase2s	phase2w	80.124	80.064	-0.060000000000002274	features.5.5.attn.proj.weight	features.5.5.attn.proj	features.5.5.attn	features.5.5	attn_proj	lsq_weight	147456	4629	0.0313924141228199	0.0313924141228199	1	0.1690266877412796	0.1831936240196228	0.0313924141228199	0.16192674992129288	0.2258852869272232	0.2226254642009735	1.0
phase2s->phase2w	phase2s	phase2w	80.124	80.064	-0.060000000000002274	features.7.1.attn.qkv.weight	features.7.1.attn.qkv	features.7.1.attn	features.7.1	attn_qkv	lsq_weight	1769472	49120	0.027759693562984467	0.027759693562984467	1	0.14094091951847076	0.1511484831571579	0.027759693562984467	0.16717035584960113	0.23418906331062317	0.23188774287700653	1.0
phase2s->phase2w	phase2s	phase2w	80.124	80.064	-0.060000000000002274	features.5.5.attn.qkv.weight	features.5.5.attn.qkv	features.5.5.attn	features.5.5	attn_qkv	lsq_weight	442368	11637	0.02630615234375	0.02630615234375	1	0.1435886025428772	0.15271900594234467	0.02630615234375	0.15810067250866108	0.23400647938251495	0.23170755803585052	1.0
phase2s->phase2w	phase2s	phase2w	80.124	80.064	-0.060000000000002274	features.5.5.mlp.fc2.weight	features.5.5.mlp.fc2	features.5.5.mlp	features.5.5	mlp_fc2	lsq_weight	589824	9637	0.0163387730717659	0.0163387730717659	1	0.1331871896982193	0.1388041228055954	0.0163387730717659	0.11150450669351013	0.23940740525722504	0.2378997802734375	1.0
