epoch	update	pairs	total	near_fraction	switch_fraction	oscillation_fraction	mean_abs_delta
3	1	6	5898240	0.190793	0.0	0.0	0.0
3	2	6	5898240	0.190785	0.004868	0.0	0.004868
3	3	6	5898240	0.190752	0.003606	0.000305	0.003606
3	4	6	5898240	0.190695	0.002872	0.000231	0.002872
3	5	6	5898240	0.190657	0.002411	0.000153	0.002411
3	6	6	5898240	0.190623	0.002122	9.7e-05	0.002122
3	7	6	5898240	0.190597	0.001848	6.4e-05	0.001848
3	8	6	5898240	0.190549	0.001709	5.9e-05	0.001709
3	9	6	5898240	0.190515	0.00155	5e-05	0.00155
3	10	6	5898240	0.190484	0.001389	3.8e-05	0.001389
3	11	6	5898240	0.190457	0.001345	3.7e-05	0.001345
3	12	6	5898240	0.190425	0.001279	3.8e-05	0.001279
3	13	6	5898240	0.190398	0.001216	4.1e-05	0.001216
3	14	6	5898240	0.190372	0.001178	2.7e-05	0.001178
3	15	6	5898240	0.190344	0.001101	2.8e-05	0.001101
3	16	6	5898240	0.190325	0.001095	3.4e-05	0.001095
3	17	6	5898240	0.190292	0.001013	2.9e-05	0.001013
3	18	6	5898240	0.190258	0.001008	2.4e-05	0.001008
3	19	6	5898240	0.190218	0.000949	2e-05	0.000949
3	20	6	5898240	0.190209	0.000918	2e-05	0.000918
