pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
localref06_vs_phase2cx	170	50	38	32	-6	76.0	64.0	-0.04189474135637283	-0.07141873240470886
localref06_vs_phase2cx	539	50	39	34	-5	78.0	68.0	-0.021202795207500458	-0.19508709013462067
localref06_vs_phase2cx	245	50	46	41	-5	92.0	82.0	-0.015140155330300331	-0.050477657467126846
localref06_vs_phase2cx	250	50	41	36	-5	82.0	72.0	-0.013207134790718555	0.005523805506527424
localref06_vs_phase2cx	960	50	34	30	-4	68.0	60.0	-0.042929042130708694	-0.07540208101272583
localref06_vs_phase2cx	66	50	28	24	-4	56.0	48.0	-0.041469935327768326	-0.009452790953218937
localref06_vs_phase2cx	921	50	34	30	-4	68.0	60.0	-0.030817758291959763	-0.17981652915477753
localref06_vs_phase2cx	603	50	45	41	-4	90.0	82.0	-0.028318719938397408	-0.16573470830917358
localref06_vs_phase2cx	457	50	41	37	-4	82.0	74.0	-0.02416328713297844	0.027011452242732048
localref06_vs_phase2cx	590	50	28	24	-4	56.0	48.0	-0.02146272175014019	-0.04147201403975487
localref06_vs_phase2cx	842	50	37	33	-4	74.0	66.0	-0.017051082104444504	0.03443647548556328
localref06_vs_phase2cx	253	50	47	43	-4	94.0	86.0	-0.01364147663116455	-0.28485772013664246
localref06_vs_phase2cx	542	50	37	33	-4	74.0	66.0	-0.006674540229141712	-0.059415530413389206
localref06_vs_phase2cx	870	50	47	43	-4	94.0	86.0	-0.004079299513250589	-0.009000224992632866
localref06_vs_phase2cx	159	50	40	37	-3	80.0	74.0	-0.06216706335544586	-0.2529563903808594
localref06_vs_phase2cx	206	50	48	45	-3	96.0	90.0	-0.046171098947525024	-0.32049012184143066
localref06_vs_phase2cx	440	50	42	39	-3	84.0	78.0	-0.044599395245313644	-0.1507890820503235
localref06_vs_phase2cx	965	50	44	41	-3	88.0	82.0	-0.04316076263785362	-0.12168946117162704
localref06_vs_phase2cx	635	50	35	32	-3	70.0	64.0	-0.030591310933232307	-0.045221928507089615
localref06_vs_phase2cx	618	50	25	22	-3	50.0	44.0	-0.0294193085283041	-0.007508726324886084
localref06_vs_phase2cx	306	50	46	43	-3	92.0	86.0	-0.027098851278424263	-0.19441291689872742
localref06_vs_phase2cx	728	50	31	28	-3	62.0	56.0	-0.026705749332904816	-0.19995097815990448
localref06_vs_phase2cx	516	50	28	25	-3	56.0	50.0	-0.02664666436612606	-0.0282602496445179
localref06_vs_phase2cx	249	50	41	38	-3	82.0	76.0	-0.022405097261071205	-0.12632353603839874
localref06_vs_phase2cx	155	50	41	38	-3	82.0	76.0	-0.022336548194289207	-0.03808094188570976
localref06_vs_phase2cx	235	50	44	41	-3	88.0	82.0	-0.022075867280364037	-0.17282289266586304
localref06_vs_phase2cx	165	50	32	29	-3	64.0	58.0	-0.02206183597445488	0.02188964933156967
localref06_vs_phase2cx	179	50	37	34	-3	74.0	68.0	-0.021983444690704346	0.15325866639614105
localref06_vs_phase2cx	147	50	49	46	-3	98.0	92.0	-0.01992638409137726	-0.28177592158317566
localref06_vs_phase2cx	359	50	37	34	-3	74.0	68.0	-0.01873588003218174	-0.050992000848054886
localref06_vs_phase2cx	596	50	39	36	-3	78.0	72.0	-0.018147438764572144	-0.15567412972450256
localref06_vs_phase2cx	968	50	27	24	-3	54.0	48.0	-0.016802892088890076	-0.08085784316062927
