pair	sample_index	target	direction	ref_pred	cmp_pred	ref_conf	cmp_conf	ref_true_prob	cmp_true_prob	true_prob_delta	ref_margin	cmp_margin
localref06_vs_phase2cx	33402	199	improved	219	199	0.6343822479248047	0.8317071199417114	0.0672362893819809	0.8317071199417114	0.7644708156585693	2.111645221710205	3.2241554260253906
localref06_vs_phase2cx	40754	284	regressed	284	174	0.8108590245246887	0.49754583835601807	0.8108590245246887	0.06501129269599915	-0.7458477020263672	3.3397302627563477	2.0351266860961914
localref06_vs_phase2cx	34269	98	regressed	98	143	0.8448027968406677	0.7314875721931458	0.8448027968406677	0.09914848208427429	-0.7456543445587158	2.3452720642089844	1.9984617233276367
localref06_vs_phase2cx	42081	965	regressed	965	928	0.7938826680183411	0.7684006690979004	0.7938826680183411	0.054619912058115005	-0.7392627596855164	1.7940177917480469	2.6439127922058105
localref06_vs_phase2cx	27491	776	improved	473	776	0.45083290338516235	0.699307918548584	0.03641063719987869	0.699307918548584	0.6628972887992859	2.516235828399658	2.4524378776550293
localref06_vs_phase2cx	24178	430	regressed	430	890	0.7817392945289612	0.48252904415130615	0.7817392945289612	0.120213083922863	-0.6615262031555176	2.4851770401000977	1.0141611099243164
localref06_vs_phase2cx	6129	851	improved	651	851	0.47677353024482727	0.7048816680908203	0.10690520703792572	0.7048816680908203	0.5979764461517334	1.147378921508789	2.09869384765625
localref06_vs_phase2cx	9702	804	regressed	804	827	0.7996969819068909	0.34435445070266724	0.7996969819068909	0.2037694901227951	-0.5959274768829346	2.8060688972473145	0.5246820449829102
localref06_vs_phase2cx	12910	717	regressed	717	511	0.8009965419769287	0.5630532503128052	0.8009965419769287	0.21120750904083252	-0.5897890329360962	2.363502025604248	0.9805331230163574
localref06_vs_phase2cx	13792	764	improved	515	764	0.4758833050727844	0.8431301712989807	0.2593807876110077	0.8431301712989807	0.5837494134902954	0.6068754196166992	2.9868388175964355
localref06_vs_phase2cx	11763	720	regressed	720	419	0.8232020735740662	0.39547744393348694	0.8232020735740662	0.256572961807251	-0.5666291117668152	2.7325439453125	0.432680606842041
localref06_vs_phase2cx	6257	459	improved	788	459	0.4694760739803314	0.8269726634025574	0.26256251335144043	0.8269726634025574	0.5644101500511169	0.5811281204223633	2.5318708419799805
localref06_vs_phase2cx	22897	772	improved	600	772	0.6370892524719238	0.718475341796875	0.16301210224628448	0.718475341796875	0.5554632544517517	1.3630852699279785	1.9492039680480957
localref06_vs_phase2cx	40125	20	regressed	20	137	0.7245568633079529	0.5058087706565857	0.7245568633079529	0.1724226325750351	-0.5521342158317566	2.236363410949707	1.0762100219726562
localref06_vs_phase2cx	10150	622	improved	878	622	0.507993757724762	0.7069791555404663	0.16690512001514435	0.7069791555404663	0.5400740504264832	1.1130437850952148	2.3554296493530273
localref06_vs_phase2cx	36609	179	regressed	179	223	0.6170300245285034	0.4929051101207733	0.6170300245285034	0.07831211388111115	-0.5387179255485535	1.3941006660461426	1.8396143913269043
localref06_vs_phase2cx	19211	653	regressed	653	756	0.7317602038383484	0.6529814600944519	0.7317602038383484	0.2013455629348755	-0.5304146409034729	1.480156421661377	1.1765260696411133
localref06_vs_phase2cx	49175	200	regressed	200	232	0.6649282574653625	0.3167930245399475	0.6649282574653625	0.13638228178024292	-0.5285459756851196	1.8760323524475098	0.5263280868530273
localref06_vs_phase2cx	20674	125	regressed	125	78	0.7337568998336792	0.3252832889556885	0.7337568998336792	0.21514394879341125	-0.5186129808425903	2.46157169342041	0.4133892059326172
localref06_vs_phase2cx	15119	237	improved	236	237	0.4847371578216553	0.874555766582489	0.35752859711647034	0.874555766582489	0.5170271396636963	0.30439138412475586	3.1024374961853027
localref06_vs_phase2cx	7404	614	regressed	614	894	0.8584208488464355	0.4032593071460724	0.8584208488464355	0.3429732918739319	-0.5154475569725037	2.9316301345825195	0.1619272232055664
localref06_vs_phase2cx	24462	593	regressed	593	650	0.7039791941642761	0.549842894077301	0.7039791941642761	0.18877854943275452	-0.5152006149291992	1.6810011863708496	1.0690579414367676
