group_type	key	cmp	params	numel	best_delta_l2	cmp_delta_l2	cmp_over_best	delta_cosine_to_best	extra_l2_vs_best	extra_over_best	best_top1	cmp_top1	delta_top1_vs_best
kind	move_v_shift	highdrift_damp	24	8832	0.004399097945748497	0.009444694995211814	2.1469617434500696	0.6572136603158811	0.007344543393793353	1.6695566873866672	80.554	80.51	-0.04399999999999693
kind	proj_move_shift	highdrift_damp	24	8832	0.0044016187460753165	0.009436357108369226	2.143837904358053	0.6579356011879637	0.0073323970325247	1.6658410133914026	80.554	80.51	-0.04399999999999693
kind	norm	highdrift_damp	56	24576	0.0059258223343039	0.0	0.0	0.0	0.0059258223343039	1.0	80.554	80.51	-0.04399999999999693
kind	mlp	highdrift_damp	48	17274432	0.25020161697058746	0.0	0.0	0.0	0.25020161697058746	1.0	80.554	80.51	-0.04399999999999693
kind	softmax_quant	highdrift_damp	12	588	0.001809585141531245	0.0016019874632957703	0.8852788556498599	0.5804744080178545	0.0015733562229359199	0.8694568643532122	80.554	80.51	-0.04399999999999693
kind	move_shift	highdrift_damp	82	286208	0.03686412899571819	0.035232893775600856	0.9557500674895423	0.6235048679136669	0.031315606705005564	0.849487226692455	80.554	80.51	-0.04399999999999693
kind	act_quant	highdrift_damp	102	21772	0.011356453330444901	0.014078253847130906	1.2396699424977407	0.7528420373631186	0.009297254684987655	0.8186759029831213	80.554	80.51	-0.04399999999999693
kind	move_shift	movev_damp	82	286208	0.03686412899571819	0.036634927945459965	0.9937825453495769	0.7064541053965969	0.028158988072329853	0.7638587656743646	80.554	80.51	-0.04399999999999693
kind	softmax_quant	movev_damp	12	588	0.001809585141531245	0.0017991516839127675	0.9942343372638168	0.7438195306918254	0.001291592586997924	0.7137506588416155	80.554	80.51	-0.04399999999999693
kind	attn_proj	highdrift_damp	24	2160960	0.08685787335310072	0.10143254943533654	1.1677991357557862	0.8611851439317985	0.05155966605048801	0.5936095837954037	80.554	80.51	-0.04399999999999693
kind	act_quant	movev_damp	102	21772	0.011356453330444901	0.011356585538155363	1.0000116416372802	0.8659502418509588	0.005880215675737889	0.5177862757533583	80.554	80.51	-0.04399999999999693
kind	attn_qkv	highdrift_damp	48	6474048	0.16031095074179202	0.1728372903486423	1.0781377663153284	0.8905360392430121	0.0788853552907681	0.4920771471053549	80.554	80.51	-0.04399999999999693
kind	relpos	highdrift_damp	12	23322	0.009374114611907841	0.009492031475434882	1.0125789867532933	0.8838118904664057	0.00454869149132183	0.48523958577844506	80.554	80.51	-0.04399999999999693
kind	relpos	movev_damp	12	23322	0.009374114611907841	0.00929459599784418	0.9915172133736609	0.8952570027800836	0.004273001602567964	0.4558298868183256	80.554	80.51	-0.04399999999999693
kind	attn_qkv	movev_damp	48	6474048	0.16031095074179202	0.16035331306595235	1.0002642509695334	0.9258737143826197	0.061733662618018485	0.38508699706641386	80.554	80.51	-0.04399999999999693
kind	attn_proj	movev_damp	24	2160960	0.08685787335310072	0.08686646475954779	1.0000989133870701	0.9332184736325498	0.03174493508089527	0.3654813761309068	80.554	80.51	-0.04399999999999693
kind	mlp	movev_damp	48	17274432	0.25020161697058746	0.25034150147007694	1.0005590871121586	0.9384877833619127	0.08778239524310703	0.3508466344301297	80.554	80.51	-0.04399999999999693
kind	norm	movev_damp	56	24576	0.0059258223343039	0.00591225492923377	0.9977104603707759	0.9471696103369344	0.0019240602240281608	0.3246908387532982	80.554	80.51	-0.04399999999999693
kind	move_v_shift	movev_damp	24	8832	0.004399097945748497	0.0042599268003950435	0.9683637084080032	0.9536340355745868	0.0013255755245736558	0.3013289408240516	80.554	80.51	-0.04399999999999693
kind	proj_move_shift	movev_damp	24	8832	0.0044016187460753165	0.004259343745157254	0.9676766641715798	0.9546860742435845	0.0013112332802788693	0.2978979679800811	80.554	80.51	-0.04399999999999693
kind	other	highdrift_damp	34	1563360	0.0	0.0	0.0	0.0	0.0	0.0	80.554	80.51	-0.04399999999999693
kind	other	movev_damp	34	1563360	0.0	0.0	0.0	0.0	0.0	0.0	80.554	80.51	-0.04399999999999693
kind	weight_quant	highdrift_damp	65	1159	0.0	0.0	0.0	0.0	0.0	0.0	80.554	80.51	-0.04399999999999693
kind	weight_quant	movev_damp	65	1159	0.0	0.0	0.0	0.0	0.0	0.0	80.554	80.51	-0.04399999999999693
kind	head	highdrift_damp	2	769000	0.0	0.0	0.0	0.0	0.0	0.0	80.554	80.51	-0.04399999999999693
kind	head	movev_damp	2	769000	0.0	0.0	0.0	0.0	0.0	0.0	80.554	80.51	-0.04399999999999693
