group_type	key	cmp	params	numel	best_delta_l2	cmp_delta_l2	cmp_over_best	delta_cosine_to_best	extra_l2_vs_best	extra_over_best	best_top1	cmp_top1	delta_top1_vs_best
param	features.7.1.attn.proj.bias	highdrift_damp	1	768	0.0011788153316593252	0.003351357825380957	2.8429879857971607	0.4900051234315247	0.0029579629099869002	2.5092674234421515	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.move_v_aft.bias	highdrift_damp	1	768	0.0021335077816445345	0.005425672196466974	2.543075888049866	0.5593672500317116	0.004586896868196483	2.1499321013307227	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.v.bias	highdrift_damp	1	768	0.0010754022704485447	0.0027232180541792474	2.53227850545955	0.5633166340671215	0.002296301212894717	2.1352951132760225	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.move_v_b4.bias	highdrift_damp	1	768	0.0021507884720600038	0.005445287938234474	2.5317635876200466	0.5633507822911946	0.004591460019480442	2.134779909380297	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.proj.move_b4.bias	highdrift_damp	1	768	0.002146905385261161	0.005429602823223236	2.52903684554443	0.5617534274826363	0.004581838705764084	2.1341595848699804	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.proj.move_aft.bias	highdrift_damp	1	768	0.0021555155675525256	0.0054319912780514575	2.520042703388683	0.5597652443512972	0.004587426446295087	2.1282270076591785	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.move_qkx_aft.bias	highdrift_damp	1	4608	0.008241599810442772	0.008418669560815616	1.0214848760490023	0.024973963342117766	0.011633246267577273	1.4115276809287696	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.quant_x_4_qkv.move_aft.bias	highdrift_damp	1	768	0.0029646142280027026	0.005671754766900348	1.9131510310268867	0.7041796881736567	0.004156535872419364	1.4020494920243547	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.quant_x_4_qkv.move_b4.bias	highdrift_damp	1	768	0.002989101031095596	0.005698610315244311	1.9064629318185335	0.7059838531485864	0.004166271177287977	1.3938207955991748	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.move_qkx_aft.bias	highdrift_damp	1	18432	0.011516435842867101	0.011449107024849295	0.99415367576076	0.028382269005453147	0.016007054284606692	1.3899312689282188	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.move_qkx_aft.bias	movev_damp	1	4608	0.008241599810442772	0.008267534164507394	1.0031467621167143	0.06474640814929777	0.011289497145614497	1.3698186523579794	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.move_qkx_aft.bias	movev_damp	1	18432	0.011516435842867101	0.011487901754922562	0.9975223160764437	0.06379807117222089	0.015739098830395596	1.3666640482475203	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.v.bias	highdrift_damp	1	384	0.001127697599646598	0.0019394694758567048	1.719848899620344	0.8127722242109372	0.0012157130039192239	1.0780487644029821	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.move_v_aft.bias	highdrift_damp	1	384	0.0022554327015030452	0.003882068800989297	1.7212079963202818	0.8135719049825622	0.0024311680810670962	1.077916481146584	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.move_v_b4.bias	highdrift_damp	1	384	0.0022555131476884216	0.0038784953091589545	1.719562270401242	0.8127262053858142	0.0024311749083428943	1.0778810626018744	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.proj.move_aft.bias	highdrift_damp	1	384	0.0022486635319944577	0.0038776228829769956	1.7244122243303017	0.8157975714736582	0.0024219420636100763	1.0770584523429918	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.proj.move_b4.bias	highdrift_damp	1	384	0.0022499577352597514	0.003875791556740732	1.722606383223142	0.8155364146007815	0.0024208501724162375	1.0759536210295777	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.proj.bias	highdrift_damp	1	384	0.0012319252017866868	0.0020831642948237234	1.6909827737937877	0.8185176470209866	0.0012868898505355747	1.044616871762321	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.proj.input_quant_fn.s	highdrift_damp	1	49	0.000979741227438544	0.0012734036078291674	1.2997346362144833	0.6211125963694176	0.0010156978457975517	1.0367001176963977	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.quan_a_softmax_fn.s	highdrift_damp	1	49	0.0013655666332935675	0.001213278205900521	0.8884796803904421	0.4027103134919027	0.00141505674782082	1.0362414497547359	80.554	80.51	-0.04399999999999693
param	features.5.5.norm1.weight	highdrift_damp	1	384	0.0020682933625623384	0.0	0.0	0.0	0.0020682933625623384	1.0	80.554	80.51	-0.04399999999999693
param	features.5.5.norm1.bias	highdrift_damp	1	384	0.001333048828406828	0.0	0.0	0.0	0.001333048828406828	1.0	80.554	80.51	-0.04399999999999693
param	features.5.5.norm2.weight	highdrift_damp	1	384	0.002324892707877465	0.0	0.0	0.0	0.002324892707877465	1.0	80.554	80.51	-0.04399999999999693
param	features.5.5.norm2.bias	highdrift_damp	1	384	0.0016748416289392636	0.0	0.0	0.0	0.0016748416289392636	1.0	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc1.weight	highdrift_damp	1	589824	0.08348686044514138	0.0	0.0	0.0	0.08348686044514138	1.0	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc1.bias	highdrift_damp	1	1536	0.003139805807430817	0.0	0.0	0.0	0.003139805807430817	1.0	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc1.input_quant_fn.s	highdrift_damp	1	14	0.0006445273567071057	0.0	0.0	0.0	0.0006445273567071057	1.0	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc1.move_b4.bias	highdrift_damp	1	384	0.0033496278680285336	0.0	0.0	0.0	0.0033496278680285336	1.0	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc1.move_aft.bias	highdrift_damp	1	384	0.0032599037797106443	0.0	0.0	0.0	0.0032599037797106443	1.0	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc2.weight	highdrift_damp	1	589824	0.08035334533657043	0.0	0.0	0.0	0.08035334533657043	1.0	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc2.bias	highdrift_damp	1	384	0.0010520065201117747	0.0	0.0	0.0	0.0010520065201117747	1.0	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc2.input_quant_fn.s	highdrift_damp	1	14	0.0016973114931037355	0.0	0.0	0.0	0.0016973114931037355	1.0	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc2.move_b4.bias	highdrift_damp	1	1536	0.004997242862020511	0.0	0.0	0.0	0.004997242862020511	1.0	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc2.move_aft.bias	highdrift_damp	1	1536	0.003974364914481959	0.0	0.0	0.0	0.003974364914481959	1.0	80.554	80.51	-0.04399999999999693
param	features.7.1.norm1.weight	highdrift_damp	1	768	0.0028434586198221416	0.0	0.0	0.0	0.0028434586198221416	1.0	80.554	80.51	-0.04399999999999693
param	features.7.1.norm1.bias	highdrift_damp	1	768	0.0014944423435374508	0.0	0.0	0.0	0.0014944423435374508	1.0	80.554	80.51	-0.04399999999999693
param	features.7.1.norm2.weight	highdrift_damp	1	768	0.0028673618348448175	0.0	0.0	0.0	0.0028673618348448175	1.0	80.554	80.51	-0.04399999999999693
param	features.7.1.norm2.bias	highdrift_damp	1	768	0.001519840257167104	0.0	0.0	0.0	0.001519840257167104	1.0	80.554	80.51	-0.04399999999999693
