pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
best250_vs_phase2w	349	50	38	34	-4	76.0	68.0	-0.01992551051080227	-0.048478394746780396
best250_vs_phase2w	876	50	18	14	-4	36.0	28.0	-0.008962560445070267	0.017758788540959358
best250_vs_phase2w	264	50	37	34	-3	74.0	68.0	-0.014510822482407093	-0.01865674927830696
best250_vs_phase2w	813	50	28	25	-3	56.0	50.0	-0.01280897855758667	-0.034710463136434555
best250_vs_phase2w	928	50	40	37	-3	80.0	74.0	-0.011882605962455273	-0.09459270536899567
best250_vs_phase2w	764	50	31	28	-3	62.0	56.0	-0.010103915818035603	-0.03288036212325096
best250_vs_phase2w	303	50	43	40	-3	86.0	80.0	-0.008156073279678822	-0.014254322275519371
best250_vs_phase2w	250	50	38	35	-3	76.0	70.0	-0.007051543798297644	-0.02218080498278141
best250_vs_phase2w	859	50	36	33	-3	72.0	66.0	-0.0010429323883727193	0.041111286729574203
best250_vs_phase2w	709	50	43	41	-2	86.0	82.0	-0.021739978343248367	-0.10567187517881393
best250_vs_phase2w	472	50	49	47	-2	98.0	94.0	-0.01997225545346737	-0.1285136342048645
best250_vs_phase2w	386	50	34	32	-2	68.0	64.0	-0.017919963225722313	-0.05503354221582413
best250_vs_phase2w	872	50	40	38	-2	80.0	76.0	-0.013338341377675533	-0.08153966814279556
best250_vs_phase2w	586	50	45	43	-2	90.0	86.0	-0.012640373781323433	-0.1029978096485138
best250_vs_phase2w	175	50	36	34	-2	72.0	68.0	-0.011276738718152046	-0.09082231670618057
best250_vs_phase2w	415	50	26	24	-2	52.0	48.0	-0.011124959215521812	-0.03628362715244293
best250_vs_phase2w	914	50	39	37	-2	78.0	74.0	-0.010412123054265976	-0.03659458085894585
best250_vs_phase2w	796	50	42	40	-2	84.0	80.0	-0.009895803406834602	-0.057645510882139206
best250_vs_phase2w	666	50	45	43	-2	90.0	86.0	-0.008997834287583828	-0.05659106373786926
best250_vs_phase2w	245	50	45	43	-2	90.0	86.0	-0.008711393922567368	-0.03900093212723732
best250_vs_phase2w	925	50	32	30	-2	64.0	60.0	-0.007425984833389521	0.013631200417876244
best250_vs_phase2w	689	50	17	15	-2	34.0	30.0	-0.006764558143913746	-0.0023215103428810835
best250_vs_phase2w	765	50	39	37	-2	78.0	74.0	-0.006439248099923134	-0.022591285407543182
best250_vs_phase2w	407	50	48	46	-2	96.0	92.0	-0.006048249080777168	-0.027495555579662323
best250_vs_phase2w	515	50	37	35	-2	74.0	70.0	-0.005609756801277399	-0.014419011771678925
best250_vs_phase2w	526	50	33	31	-2	66.0	62.0	-0.004913019482046366	0.004028072580695152
best250_vs_phase2w	249	50	42	40	-2	84.0	80.0	-0.003959423862397671	0.02320578508079052
best250_vs_phase2w	632	50	31	29	-2	62.0	58.0	-0.0026840411592274904	0.006549997255206108
best250_vs_phase2w	494	50	39	37	-2	78.0	74.0	-0.002535778796300292	-0.05669581517577171
best250_vs_phase2w	101	50	37	35	-2	74.0	70.0	-0.0004186881997156888	0.01519789732992649
best250_vs_phase2w	121	50	45	43	-2	90.0	86.0	0.0009622552897781134	-0.014320621266961098
best250_vs_phase2w	799	50	26	24	-2	52.0	48.0	0.002270585624501109	0.024221640080213547
best250_vs_phase2w	211	50	46	44	-2	92.0	88.0	0.0028348583728075027	-0.005494966637343168
best250_vs_phase2w	935	50	38	36	-2	76.0	72.0	0.005152554716914892	0.01628032699227333
best250_vs_phase2w	46	50	28	26	-2	56.0	52.0	0.006053477991372347	0.04878788813948631
best250_vs_phase2w	218	50	46	45	-1	92.0	90.0	-0.02884238213300705	-0.20841073989868164
best250_vs_phase2w	655	50	41	40	-1	82.0	80.0	-0.02824820950627327	-0.18473845720291138
best250_vs_phase2w	442	50	36	35	-1	72.0	70.0	-0.02367226406931877	-0.0667152851819992
best250_vs_phase2w	909	50	32	31	-1	64.0	62.0	-0.021227821707725525	-0.08506341278553009
best250_vs_phase2w	577	50	46	45	-1	92.0	90.0	-0.020524926483631134	-0.062023553997278214
best250_vs_phase2w	279	50	50	49	-1	100.0	98.0	-0.019414985552430153	-0.20837955176830292
best250_vs_phase2w	573	50	50	49	-1	100.0	98.0	-0.01927717961370945	-0.12561242282390594
best250_vs_phase2w	204	50	36	35	-1	72.0	70.0	-0.017741866409778595	-0.0897219255566597
best250_vs_phase2w	49	50	41	40	-1	82.0	80.0	-0.016405530273914337	-0.0707220733165741
best250_vs_phase2w	319	50	43	42	-1	86.0	84.0	-0.015306218527257442	-0.04906323552131653
best250_vs_phase2w	265	50	35	34	-1	70.0	68.0	-0.01522139459848404	-0.0580911822617054
best250_vs_phase2w	915	50	49	48	-1	98.0	96.0	-0.01501611340790987	-0.12196329236030579
best250_vs_phase2w	660	50	36	35	-1	72.0	70.0	-0.01480057742446661	-0.13179825246334076
best250_vs_phase2w	165	50	30	29	-1	60.0	58.0	-0.014755750074982643	-0.049960147589445114
best250_vs_phase2w	931	50	37	36	-1	74.0	72.0	-0.014319466426968575	-0.02836698479950428
best250_vs_phase2w	638	50	17	16	-1	34.0	32.0	-0.013980677351355553	0.0029544830322265625
best250_vs_phase2w	555	50	45	44	-1	90.0	88.0	-0.013577398844063282	-0.1001497209072113
best250_vs_phase2w	759	50	41	40	-1	82.0	80.0	-0.013316345401108265	-0.03506988659501076
best250_vs_phase2w	469	50	35	34	-1	70.0	68.0	-0.013306980021297932	-0.04059721902012825
best250_vs_phase2w	294	50	47	46	-1	94.0	92.0	-0.012859043665230274	-0.06734928488731384
best250_vs_phase2w	233	50	41	40	-1	82.0	80.0	-0.012796733528375626	-0.029485827311873436
best250_vs_phase2w	862	50	40	39	-1	80.0	78.0	-0.012560879811644554	-0.12720435857772827
best250_vs_phase2w	108	50	34	33	-1	68.0	66.0	-0.012428914196789265	-0.041992828249931335
best250_vs_phase2w	686	50	39	38	-1	78.0	76.0	-0.012313070707023144	-0.047796402126550674
best250_vs_phase2w	464	50	34	33	-1	68.0	66.0	-0.012146389111876488	-0.054051473736763
best250_vs_phase2w	167	50	20	19	-1	40.0	38.0	-0.011923231184482574	-0.03983769565820694
best250_vs_phase2w	414	50	22	21	-1	44.0	42.0	-0.010324380360543728	-0.03034115768969059
best250_vs_phase2w	738	50	43	42	-1	86.0	84.0	-0.010178748518228531	-0.03687627613544464
best250_vs_phase2w	953	50	49	48	-1	98.0	96.0	-0.00982129480689764	-0.04451986402273178
best250_vs_phase2w	410	50	46	45	-1	92.0	90.0	-0.009491341188549995	-0.00858572032302618
best250_vs_phase2w	553	50	42	41	-1	84.0	82.0	-0.009299998171627522	-0.0737202912569046
best250_vs_phase2w	635	50	33	32	-1	66.0	64.0	-0.0091991713270545	-0.06585678458213806
best250_vs_phase2w	465	50	32	31	-1	64.0	62.0	-0.008927207440137863	0.03472183272242546
best250_vs_phase2w	128	50	46	45	-1	92.0	90.0	-0.008806522935628891	-0.09706705063581467
best250_vs_phase2w	214	50	46	45	-1	92.0	90.0	-0.008719525299966335	-0.025795917958021164
best250_vs_phase2w	153	50	43	42	-1	86.0	84.0	-0.008699093945324421	-0.01797381415963173
best250_vs_phase2w	844	50	37	36	-1	74.0	72.0	-0.008629039861261845	0.019659461453557014
best250_vs_phase2w	750	50	37	36	-1	74.0	72.0	-0.007759347092360258	-0.031327370554208755
best250_vs_phase2w	728	50	29	28	-1	58.0	56.0	-0.007677727844566107	-0.07052703946828842
best250_vs_phase2w	945	50	46	45	-1	92.0	90.0	-0.007415926083922386	-0.018250074237585068
best250_vs_phase2w	789	50	40	39	-1	80.0	78.0	-0.007370261009782553	-0.019357556477189064
best250_vs_phase2w	653	50	37	36	-1	74.0	72.0	-0.007350344676524401	-0.04308909550309181
best250_vs_phase2w	149	50	45	44	-1	90.0	88.0	-0.0070494478568434715	-0.03877728432416916
best250_vs_phase2w	3	50	40	39	-1	80.0	78.0	-0.006915986072272062	0.036549102514982224
best250_vs_phase2w	866	50	46	45	-1	92.0	90.0	-0.006838666740804911	-0.056001950055360794
best250_vs_phase2w	908	50	33	32	-1	66.0	64.0	-0.006755582522600889	-0.0388721264898777
best250_vs_phase2w	542	50	36	35	-1	72.0	70.0	-0.006726528983563185	-0.047764357179403305
best250_vs_phase2w	563	50	45	44	-1	90.0	88.0	-0.0062132650054991245	-0.09415790438652039
