pair	ref_conf_bin	total	ref_correct	cmp_correct	improved	regressed	net_flips	avg_true_prob_delta
best250_vs_phase2w	[0.00,0.20)	1397	286	297	74	63	11	0.002713648835197091
best250_vs_phase2w	[0.20,0.40)	4313	1683	1669	173	187	-14	0.003755349200218916
best250_vs_phase2w	[0.40,0.60)	6630	3744	3745	107	106	1	0.0032840855419635773
best250_vs_phase2w	[0.60,0.80)	9419	7417	7418	1	0	1	0.0011433105682954192
best250_vs_phase2w	[0.80,0.90)	15374	14518	14518	0	0	0	0.0003706094576045871
best250_vs_phase2w	[0.90,0.95)	10803	10576	10576	0	0	0	-0.0012414254015311599
best250_vs_phase2w	[0.95,0.99)	2005	1971	1971	0	0	0	-0.0017805980751290917
best250_vs_phase2w	[0.99,1.01)	59	58	58	0	0	0	-0.0005538423429243267
best250_vs_highdrift_damp	[0.00,0.20)	1364	290	292	74	72	2	0.0016632020706310868
best250_vs_highdrift_damp	[0.20,0.40)	4260	1608	1623	168	153	15	0.0022183703258633614
best250_vs_highdrift_damp	[0.40,0.60)	6681	3781	3787	106	100	6	0.0014159752754494548
best250_vs_highdrift_damp	[0.60,0.80)	9304	7268	7268	0	0	0	-0.0006348646129481494
best250_vs_highdrift_damp	[0.80,0.90)	15261	14422	14422	0	0	0	-0.0007119571673683822
best250_vs_highdrift_damp	[0.90,0.95)	11005	10786	10786	0	0	0	-0.0019509181147441268
best250_vs_highdrift_damp	[0.95,0.99)	2059	2009	2009	0	0	0	-0.001915976870805025
best250_vs_highdrift_damp	[0.99,1.01)	66	65	65	0	0	0	-0.0006210092105902731
best250_vs_movev_damp	[0.00,0.20)	1349	278	283	66	61	5	0.001791268354281783
best250_vs_movev_damp	[0.20,0.40)	4262	1645	1642	152	155	-3	0.0010688151232898235
best250_vs_movev_damp	[0.40,0.60)	6617	3720	3731	99	88	11	0.0009944934863597155
best250_vs_movev_damp	[0.60,0.80)	9441	7387	7387	0	0	0	-0.0002734093286562711
best250_vs_movev_damp	[0.80,0.90)	15418	14561	14561	0	0	0	-0.0001172624688479118
best250_vs_movev_damp	[0.90,0.95)	10837	10616	10616	0	0	0	-0.0012776764342561364
best250_vs_movev_damp	[0.95,0.99)	2008	1965	1965	0	0	0	-0.0016240749973803759
best250_vs_movev_damp	[0.99,1.01)	68	67	67	0	0	0	-0.0004069903225172311
