pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
best250_vs_ckpt10	799	50	29	24	-5	58.0	48.0	-0.018199140205979347	-0.05178301781415939
best250_vs_ckpt10	876	50	19	14	-5	38.0	28.0	0.0006834156811237335	-0.04443921893835068
best250_vs_ckpt10	386	50	36	32	-4	72.0	64.0	-0.03162249177694321	-0.08854958415031433
best250_vs_ckpt10	40	50	36	32	-4	72.0	64.0	-0.024956271052360535	-0.048884619027376175
best250_vs_ckpt10	709	50	45	41	-4	90.0	82.0	-0.022900588810443878	-0.04042987897992134
best250_vs_ckpt10	349	50	38	34	-4	76.0	68.0	-0.01949230581521988	-0.03558528795838356
best250_vs_ckpt10	969	50	26	22	-4	52.0	44.0	-0.008064938709139824	0.0016712951473891735
best250_vs_ckpt10	865	50	36	32	-4	72.0	64.0	0.006665898486971855	0.01812298782169819
best250_vs_ckpt10	165	50	32	29	-3	64.0	58.0	-0.059249866753816605	-0.12050580978393555
best250_vs_ckpt10	303	50	43	40	-3	86.0	80.0	-0.033152658492326736	-0.263149231672287
best250_vs_ckpt10	830	50	35	32	-3	70.0	64.0	-0.022233910858631134	-0.11125659197568893
best250_vs_ckpt10	68	50	17	14	-3	34.0	28.0	-0.02099744975566864	-0.050357330590486526
best250_vs_ckpt10	711	50	41	38	-3	82.0	76.0	-0.014519048854708672	-0.016550730913877487
best250_vs_ckpt10	804	50	37	34	-3	74.0	68.0	-0.011526042595505714	-0.055708158761262894
best250_vs_ckpt10	908	50	35	32	-3	70.0	64.0	-0.00903054978698492	-0.08333723992109299
best250_vs_ckpt10	943	50	40	37	-3	80.0	74.0	-0.0071288603357970715	-0.037660226225852966
best250_vs_ckpt10	47	50	43	40	-3	86.0	80.0	0.003458948340266943	0.027558602392673492
best250_vs_ckpt10	488	50	20	17	-3	40.0	34.0	0.004720174707472324	-0.03534311428666115
best250_vs_ckpt10	185	50	37	34	-3	74.0	68.0	0.009669099003076553	0.04474449157714844
best250_vs_ckpt10	846	50	31	28	-3	62.0	56.0	0.012336056679487228	0.11485518515110016
best250_vs_ckpt10	652	50	41	38	-3	82.0	76.0	0.013228117488324642	-0.03920698165893555
best250_vs_ckpt10	655	50	42	40	-2	84.0	80.0	-0.06127101555466652	-0.3565307557582855
best250_vs_ckpt10	523	50	35	33	-2	70.0	66.0	-0.03800118342041969	-0.059320393949747086
