pair	ref_conf_bin	total	ref_correct	cmp_correct	improved	regressed	net_flips	avg_true_prob_delta
best250_vs_ckpt10	[0.00,0.20)	1373	293	293	108	108	0	0.011700880713760853
best250_vs_ckpt10	[0.20,0.40)	4361	1651	1732	374	293	81	0.015750663354992867
best250_vs_ckpt10	[0.40,0.60)	6664	3760	3760	241	241	0	0.009128394536674023
best250_vs_ckpt10	[0.60,0.80)	9489	7478	7473	17	22	-5	0.0028186598792672157
best250_vs_ckpt10	[0.80,0.90)	15667	14815	14815	0	0	0	0.0004974293988198042
best250_vs_ckpt10	[0.90,0.95)	10441	10219	10219	0	0	0	-0.003211023984476924
best250_vs_ckpt10	[0.95,0.99)	1947	1904	1904	0	0	0	-0.0044374908320605755
best250_vs_ckpt10	[0.99,1.01)	58	56	56	0	0	0	-0.002292878460139036
best250_vs_phase2w	[0.00,0.20)	1397	286	297	74	63	11	0.002713648835197091
best250_vs_phase2w	[0.20,0.40)	4313	1683	1669	173	187	-14	0.003755349200218916
best250_vs_phase2w	[0.40,0.60)	6630	3744	3745	107	106	1	0.0032840855419635773
best250_vs_phase2w	[0.60,0.80)	9419	7417	7418	1	0	1	0.0011433105682954192
best250_vs_phase2w	[0.80,0.90)	15374	14518	14518	0	0	0	0.0003706094576045871
best250_vs_phase2w	[0.90,0.95)	10803	10576	10576	0	0	0	-0.0012414254015311599
best250_vs_phase2w	[0.95,0.99)	2005	1971	1971	0	0	0	-0.0017805980751290917
best250_vs_phase2w	[0.99,1.01)	59	58	58	0	0	0	-0.0005538423429243267
best250_vs_u300	[0.00,0.20)	1386	299	300	70	69	1	0.0022895270958542824
best250_vs_u300	[0.20,0.40)	4314	1620	1648	200	172	28	0.0036936441902071238
best250_vs_u300	[0.40,0.60)	6661	3790	3797	101	94	7	0.0028217053040862083
best250_vs_u300	[0.60,0.80)	9426	7394	7393	0	1	-1	0.0009763126727193594
best250_vs_u300	[0.80,0.90)	15041	14214	14214	0	0	0	-0.0003088123630732298
best250_vs_u300	[0.90,0.95)	11081	10847	10847	0	0	0	-0.0019899155013263226
best250_vs_u300	[0.95,0.99)	2029	1992	1992	0	0	0	-0.0015732835745438933
best250_vs_u300	[0.99,1.01)	62	61	61	0	0	0	-0.0003450961085036397
