pair	sample_index	target	direction	ref_pred	cmp_pred	ref_conf	cmp_conf	ref_true_prob	cmp_true_prob	true_prob_delta	ref_margin	cmp_margin
best250_vs_ckpt10	12481	394	improved	79	394	0.3455638885498047	0.8252245187759399	0.07655458152294159	0.8252245187759399	0.7486699223518372	0.6871547698974609	3.7430410385131836
best250_vs_ckpt10	1320	69	improved	66	69	0.2502935528755188	0.8693941235542297	0.20085209608078003	0.8693941235542297	0.6685420274734497	0.22006559371948242	4.092795372009277
best250_vs_ckpt10	6074	366	improved	294	366	0.6247271299362183	0.7379915118217468	0.10674894601106644	0.7379915118217468	0.631242573261261	1.7668352127075195	2.6706690788269043
best250_vs_ckpt10	21046	418	improved	838	418	0.4583219587802887	0.6485934257507324	0.08954473584890366	0.6485934257507324	0.5590487122535706	0.5132904052734375	1.8672528266906738
best250_vs_ckpt10	1261	699	regressed	699	840	0.7372844815254211	0.24739502370357513	0.7372844815254211	0.20882795751094818	-0.5284565091133118	2.8582382202148438	0.16947555541992188
best250_vs_ckpt10	41766	543	improved	711	543	0.25808146595954895	0.7451843023300171	0.2222956269979477	0.7451843023300171	0.5228886604309082	0.14926719665527344	2.850583553314209
best250_vs_ckpt10	13668	128	improved	23	128	0.398188054561615	0.7442084550857544	0.22898423671722412	0.7442084550857544	0.5152242183685303	0.5532712936401367	2.5717148780822754
best250_vs_ckpt10	2213	59	regressed	59	40	0.6418259739875793	0.5770124197006226	0.6418259739875793	0.1387893259525299	-0.503036618232727	1.231344223022461	1.4249067306518555
best250_vs_ckpt10	40398	156	improved	218	156	0.6993904113769531	0.6152274012565613	0.1232353076338768	0.6152274012565613	0.4919920861721039	1.7361135482788086	1.2633709907531738
best250_vs_ckpt10	30512	390	improved	391	390	0.4511462450027466	0.6514433026313782	0.16166378557682037	0.6514433026313782	0.489779531955719	1.0262727737426758	1.9429759979248047
best250_vs_ckpt10	41610	124	improved	125	124	0.30570051074028015	0.6089267730712891	0.12778621912002563	0.6089267730712891	0.4811405539512634	0.8722472190856934	2.1462268829345703
best250_vs_ckpt10	37165	394	improved	4	394	0.6672337055206299	0.5655946731567383	0.10277538001537323	0.5655946731567383	0.46281927824020386	1.8705945014953613	1.2544007301330566
best250_vs_ckpt10	4014	864	regressed	864	779	0.726822555065155	0.32201865315437317	0.726822555065155	0.2650497257709503	-0.4617728292942047	1.8390192985534668	0.19469213485717773
best250_vs_ckpt10	34039	840	regressed	840	539	0.5861194133758545	0.7130537629127502	0.5861194133758545	0.13972081243991852	-0.44639861583709717	0.7137422561645508	1.6299104690551758
best250_vs_ckpt10	1317	218	regressed	218	156	0.7890751361846924	0.38816121220588684	0.7890751361846924	0.3487304449081421	-0.4403446912765503	2.9007391929626465	0.10712146759033203
best250_vs_ckpt10	25065	805	regressed	805	518	0.5980806946754456	0.6158681511878967	0.5980806946754456	0.1618860512971878	-0.43619465827941895	1.2260613441467285	1.3361401557922363
best250_vs_ckpt10	36999	346	regressed	346	343	0.6589738726615906	0.2395341396331787	0.6589738726615906	0.22302807867527008	-0.4359458088874817	1.8343911170959473	0.07139825820922852
best250_vs_ckpt10	7850	534	improved	859	534	0.36260735988616943	0.7775222063064575	0.3435914218425751	0.7775222063064575	0.43393078446388245	0.053867340087890625	3.0080103874206543
best250_vs_ckpt10	47727	49	regressed	49	977	0.5277719497680664	0.5573431849479675	0.5277719497680664	0.09779024124145508	-0.42998170852661133	1.0097880363464355	1.7403564453125
best250_vs_ckpt10	32178	913	improved	724	913	0.37816017866134644	0.6713467836380005	0.24369682371616364	0.6713467836380005	0.42764997482299805	0.4393930435180664	1.716360092163086
best250_vs_ckpt10	34099	4	improved	2	4	0.7974575161933899	0.47871673107147217	0.058996327221393585	0.47871673107147217	0.4197204113006592	2.6039533615112305	0.4585433006286621
best250_vs_ckpt10	4187	918	regressed	918	922	0.7502617239952087	0.4744292199611664	0.7502617239952087	0.35664287209510803	-0.3936188519001007	1.9959220886230469	0.28537750244140625
best250_vs_ckpt10	41119	152	improved	157	152	0.4445246160030365	0.8035577535629272	0.413521409034729	0.8035577535629272	0.39003634452819824	0.072296142578125	2.3021645545959473
best250_vs_ckpt10	36933	784	regressed	784	845	0.553774356842041	0.6072355508804321	0.553774356842041	0.16760683059692383	-0.3861675262451172	1.056565284729004	1.2872958183288574
