module	converted_abs_mean	ideal_s_abs_mean	converted_s_abs_mean	s_over_ideal_mean	s_over_ideal_p05	s_over_ideal_p50	s_over_ideal_p95	template_s_equal_converted	source_merge_equal_converted
features.1.0.attn	0.056226544082164764	0.042503271251916885	0.03528149425983429	0.8242962956428528	0.5534350872039795	0.7745136022567749	1.2047759294509888	True	True
features.1.1.attn	0.057732466608285904	0.04364164173603058	0.03981171175837517	0.9095392227172852	0.8045145869255066	0.910631000995636	1.0095809698104858	True	True
features.3.0.attn	0.04749298468232155	0.03590132296085358	0.03485998138785362	0.9657305479049683	0.8115664124488831	0.9862222671508789	1.1010528802871704	True	True
features.3.1.attn	0.04962863400578499	0.03751572221517563	0.03355982527136803	0.9079468250274658	0.7458658218383789	0.9161664247512817	0.9980134963989258	True	True
features.5.0.attn	0.042791564017534256	0.032347384840250015	0.030824972316622734	0.9514638185501099	0.8701528906822205	0.9534619450569153	1.0224415063858032	True	True
features.5.1.attn	0.047550227493047714	0.03594459593296051	0.0336049348115921	0.936055064201355	0.8712966442108154	0.9397788047790527	0.9900671243667603	True	True
features.5.2.attn	0.044158048927783966	0.03338034451007843	0.03132339194417	0.9392062425613403	0.8839941024780273	0.9395706057548523	0.9948204755783081	True	True
features.5.3.attn	0.04631831496953964	0.035013359040021896	0.032672155648469925	0.9335370659828186	0.885446310043335	0.932084858417511	0.9871926307678223	True	True
features.5.4.attn	0.04342331737279892	0.03282494097948074	0.03096672147512436	0.9438855051994324	0.904981255531311	0.9432612657546997	0.9822059273719788	True	True
features.5.5.attn	0.04622233659029007	0.03494080528616905	0.03288349509239197	0.9417332410812378	0.9080902338027954	0.9420037865638733	0.973491370677948	True	True
features.7.0.attn	0.041718099266290665	0.03153591975569725	0.029417918995022774	0.93234783411026	0.8264308571815491	0.9430640339851379	0.9782283902168274	True	True
features.7.1.attn	0.04343511909246445	0.03283385932445526	0.030490610748529434	0.9300185441970825	0.8340492844581604	0.9375094175338745	0.9783026576042175	True	True
