module	converted_abs_mean	ideal_s_abs_mean	converted_s_abs_mean	s_over_ideal_mean	s_over_ideal_p05	s_over_ideal_p50	s_over_ideal_p95	template_s_equal_converted	source_merge_equal_converted
features.1.0.attn	0.056226544082164764	0.042503271251916885	0.042503271251916885	1.0	1.0	1.0	1.0	False	True
features.1.1.attn	0.057732466608285904	0.04364164173603058	0.04364164173603058	1.0	1.0	1.0	1.0	False	True
features.3.0.attn	0.04749298468232155	0.03590132296085358	0.03590132296085358	1.0	1.0	1.0	1.0	False	True
features.3.1.attn	0.04962863400578499	0.03751572221517563	0.03751572221517563	1.0	1.0	1.0	1.0	False	True
features.5.0.attn	0.042791564017534256	0.032347384840250015	0.032347384840250015	1.0	1.0	1.0	1.0	False	True
features.5.1.attn	0.047550227493047714	0.03594459593296051	0.03594459593296051	1.0	1.0	1.0	1.0	False	True
features.5.2.attn	0.044158048927783966	0.03338034451007843	0.03338034451007843	1.0	1.0	1.0	1.0	False	True
features.5.3.attn	0.04631831496953964	0.035013359040021896	0.035013359040021896	1.0	1.0	1.0	1.0	False	True
features.5.4.attn	0.04342331737279892	0.03282494097948074	0.03282494097948074	1.0	1.0	1.0	1.0	False	True
features.5.5.attn	0.04622233659029007	0.03494080528616905	0.03494080528616905	1.0	1.0	1.0	1.0	False	True
features.7.0.attn	0.041718099266290665	0.03153591975569725	0.03153591975569725	1.0	1.0	1.0	1.0	False	True
features.7.1.attn	0.04343511909246445	0.03283385932445526	0.03283385932445526	1.0	1.0	1.0	1.0	False	True
