case	wbits	abits	metric	value
phase1f_ckpt2	4	4	features.5.5.mse	10.787117004394531
phase1f_ckpt2	4	4	features.5.5.mae	1.48722243309021
phase1f_ckpt2	4	4	features.5.5.rel_l2	0.583717405796051
phase1f_ckpt2	4	4	features.5.5.student_std	4.452496528625488
phase1f_ckpt2	4	4	features.5.5.teacher_std	5.626265525817871
phase1f_ckpt2	4	4	features.7.1.mse	5.231094837188721
phase1f_ckpt2	4	4	features.7.1.mae	1.2344985008239746
phase1f_ckpt2	4	4	features.7.1.rel_l2	0.5162796974182129
phase1f_ckpt2	4	4	features.7.1.student_std	3.65510630607605
phase1f_ckpt2	4	4	features.7.1.teacher_std	4.430030822753906
phase1f_ckpt2	4	4	logits.kl_student_teacher	3.039238452911377
phase1f_ckpt2	4	4	logits.teacher_conf_mean	0.7255218029022217
phase1f_ckpt2	4	4	logits.student_top1_agree	0.65625
phase1f_ckpt2	4	4	quantizer.input_quant_fn.numel	1761
phase1f_ckpt2	4	4	quantizer.input_quant_fn.mean	0.25590091943740845
phase1f_ckpt2	4	4	quantizer.input_quant_fn.std	0.16763783991336823
phase1f_ckpt2	4	4	quantizer.input_quant_fn.min	0.07553861290216446
phase1f_ckpt2	4	4	quantizer.input_quant_fn.p05	0.0999574288725853
phase1f_ckpt2	4	4	quantizer.input_quant_fn.p50	0.20294272899627686
phase1f_ckpt2	4	4	quantizer.input_quant_fn.p95	0.6612070202827454
phase1f_ckpt2	4	4	quantizer.input_quant_fn.max	1.1947247982025146
phase1f_ckpt2	4	4	quantizer.quan_a_qkx_fn.numel	6762
phase1f_ckpt2	4	4	quantizer.quan_a_qkx_fn.mean	0.1388380229473114
phase1f_ckpt2	4	4	quantizer.quan_a_qkx_fn.std	0.05353962257504463
phase1f_ckpt2	4	4	quantizer.quan_a_qkx_fn.min	0.0237866397947073
phase1f_ckpt2	4	4	quantizer.quan_a_qkx_fn.p05	0.07392697036266327
phase1f_ckpt2	4	4	quantizer.quan_a_qkx_fn.p50	0.13475176692008972
phase1f_ckpt2	4	4	quantizer.quan_a_qkx_fn.p95	0.20919770002365112
phase1f_ckpt2	4	4	quantizer.quan_a_qkx_fn.max	0.5659788250923157
phase1f_ckpt2	4	4	quantizer.quan_a_v_fn.numel	4416
phase1f_ckpt2	4	4	quantizer.quan_a_v_fn.mean	0.22708088159561157
phase1f_ckpt2	4	4	quantizer.quan_a_v_fn.std	0.059770356863737106
phase1f_ckpt2	4	4	quantizer.quan_a_v_fn.min	0.049268998205661774
phase1f_ckpt2	4	4	quantizer.quan_a_v_fn.p05	0.13363370299339294
phase1f_ckpt2	4	4	quantizer.quan_a_v_fn.p50	0.23016440868377686
phase1f_ckpt2	4	4	quantizer.quan_a_v_fn.p95	0.3250463604927063
phase1f_ckpt2	4	4	quantizer.quan_a_v_fn.max	0.41101354360580444
phase1f_ckpt2	4	4	quantizer.quan_a_softmax_fn.numel	588
phase1f_ckpt2	4	4	quantizer.quan_a_softmax_fn.mean	0.03828686475753784
phase1f_ckpt2	4	4	quantizer.quan_a_softmax_fn.std	0.009385306388139725
phase1f_ckpt2	4	4	quantizer.quan_a_softmax_fn.min	0.01475890725851059
phase1f_ckpt2	4	4	quantizer.quan_a_softmax_fn.p05	0.01845639944076538
phase1f_ckpt2	4	4	quantizer.quan_a_softmax_fn.p50	0.03909837827086449
phase1f_ckpt2	4	4	quantizer.quan_a_softmax_fn.p95	0.05196497216820717
phase1f_ckpt2	4	4	quantizer.quan_a_softmax_fn.max	0.05647614598274231
phase1f_ckpt3	4	4	features.5.5.mse	11.346501350402832
phase1f_ckpt3	4	4	features.5.5.mae	1.5079032182693481
phase1f_ckpt3	4	4	features.5.5.rel_l2	0.598660945892334
phase1f_ckpt3	4	4	features.5.5.student_std	4.502246379852295
phase1f_ckpt3	4	4	features.5.5.teacher_std	5.626265525817871
phase1f_ckpt3	4	4	features.7.1.mse	5.389241695404053
phase1f_ckpt3	4	4	features.7.1.mae	1.2607835531234741
phase1f_ckpt3	4	4	features.7.1.rel_l2	0.5240256786346436
phase1f_ckpt3	4	4	features.7.1.student_std	3.628892660140991
phase1f_ckpt3	4	4	features.7.1.teacher_std	4.430030822753906
phase1f_ckpt3	4	4	logits.kl_student_teacher	3.184506416320801
phase1f_ckpt3	4	4	logits.teacher_conf_mean	0.7255218029022217
phase1f_ckpt3	4	4	logits.student_top1_agree	0.515625
phase1f_ckpt3	4	4	quantizer.input_quant_fn.numel	1761
phase1f_ckpt3	4	4	quantizer.input_quant_fn.mean	0.25571897625923157
phase1f_ckpt3	4	4	quantizer.input_quant_fn.std	0.16754277050495148
phase1f_ckpt3	4	4	quantizer.input_quant_fn.min	0.07563556730747223
phase1f_ckpt3	4	4	quantizer.input_quant_fn.p05	0.10009339451789856
phase1f_ckpt3	4	4	quantizer.input_quant_fn.p50	0.20283569395542145
phase1f_ckpt3	4	4	quantizer.input_quant_fn.p95	0.6608551740646362
phase1f_ckpt3	4	4	quantizer.input_quant_fn.max	1.1904152631759644
phase1f_ckpt3	4	4	quantizer.quan_a_qkx_fn.numel	6762
phase1f_ckpt3	4	4	quantizer.quan_a_qkx_fn.mean	0.1387893706560135
phase1f_ckpt3	4	4	quantizer.quan_a_qkx_fn.std	0.05350260064005852
phase1f_ckpt3	4	4	quantizer.quan_a_qkx_fn.min	0.024591689929366112
phase1f_ckpt3	4	4	quantizer.quan_a_qkx_fn.p05	0.07405456155538559
phase1f_ckpt3	4	4	quantizer.quan_a_qkx_fn.p50	0.13476653397083282
phase1f_ckpt3	4	4	quantizer.quan_a_qkx_fn.p95	0.20885306596755981
