section	case	key0	key1	key2	params	numel	rel_l2	delta_l2	base_l2	max_param_rel_l2	max_abs_delta	name	kind	stage	module
by_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	move_shift		130	303872	0.025617777958535815	0.7225683767655501	28.205739699012074	0.45503995127929675	0.014137804508209229				
by_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	attn_qkv_weight		48	6474048	0.012644694001386349	1.8386673778535523	145.41019163073167	0.014526574559357798	0.008031129837036133				
by_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	head		2	769000	0.010979613974841231	0.4853949265186408	44.20874245951436	0.01107525465927791	0.0031372075900435448				
by_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	mlp_weight		48	17274432	0.010960632704570488	2.866881550640038	261.56168424880923	0.014113539994770032	0.055861830711364746				
by_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	attn_proj_weight		24	2160960	0.010956105620953832	0.8577045413459362	78.28553055435631	0.012576333669708598	0.007170885801315308				
by_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	act_quant		114	22360	0.008133534532299626	0.19353183066308302	23.79430859911343	0.0740406056700365	0.02688160538673401				
by_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	weight_quant		65	1159	0.001972438088806388	0.03131173629729451	15.874635799718643	0.498414553633656	0.008485494181513786				
by_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	relpos		12	23322	0.0009391407093249678	0.21906994617421727	233.26637211976424	0.00151054301609511	0.014330387115478516				
by_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	norm		56	24576	0.0007217763937960258	0.09842006894190447	136.35811559905076	0.0020465568284725026	0.008512735366821289				
by_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	other		46	1592172	4.526685226389485e-05	0.7048957556680007	15572.007339026539	0.013249903526066663	0.005043745040893555				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.0.0	weight_quant	1	96	0.498414553633656	0.013391106389462948	0.02686740644276142	0.498414553633656	0.008485494181513786				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	head	weight_quant	1	1000	0.4897522300686167	0.028303764760494232	0.05779200792312622	0.4897522300686167	0.005955900996923447				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.0.0	move_shift	2	100352	0.4536635717186249	0.4561420771229391	1.00546331149077	0.45503995127929675	0.0064786272123456				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.6	move_shift	2	3072	0.025472027753383295	0.013818883863845957	0.54251212340213	0.026381359318198943	0.0010653436183929443				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.7.1	move_shift	10	47616	0.022855294494362872	0.3052645172295302	13.356402705938528	0.15910943162450247	0.01129143312573433				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.5	move_shift	10	14592	0.022773485568772726	0.18871329153692878	8.286535276606699	0.23199960204243314	0.008129075169563293				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.2	move_shift	10	14592	0.01927985094596139	0.15028979331749398	7.795174025916194	0.029277503279199788	0.007086507976055145				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.1	move_shift	10	14592	0.019102273387152608	0.14766966330396328	7.730475860704608	0.03156359796482983	0.006262525916099548				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.7.0	move_shift	10	47616	0.01864356251550776	0.23664515523687496	12.693129601171073	0.050972762112289016	0.008283555507659912				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.4	move_shift	10	14592	0.018635560373172957	0.14851356021941065	7.969363799395327	0.031458408124424395	0.006075643002986908				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.3	move_shift	10	14592	0.018530584794359997	0.14419175646603433	7.781284728257513	0.029758742335243858	0.006212420761585236				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.0	move_shift	10	14592	0.018441496134707983	0.14428537019879417	7.82395143782508	0.030222849036627638	0.00826607272028923				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	head	move_shift	2	1536	0.017331704126231154	0.014446322123138696	0.833520005760686	0.017439995663282592	0.002759113907814026				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.3.1	move_shift	10	4992	0.01725431468023562	0.08585645499558334	4.975941182638203	0.020625521188383938	0.007216662168502808				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.3.0	move_shift	10	4992	0.01692208658522052	0.08525484412851642	5.038081072281987	0.02097356143744633	0.006988294422626495				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.1.0	move_shift	10	1920	0.015361283998860817	0.05868973496949171	3.8206269068291494	0.018872990617830276	0.014137804508209229				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.2	move_shift	2	768	0.01419581262751649	0.007603789602865761	0.535636092302806	0.014318634827411563	0.0010911813005805016				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.1.1	move_shift	10	1920	0.01354859879833352	0.05090715117311127	3.757373875398308	0.025871301947175393	0.009925305843353271				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.7.0	attn_qkv_weight	4	1770240	0.013421972621937424	0.9572375265580412	71.31869163505019	0.013821280903519584	0.004199713468551636				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.4	other	2	295296	0.013248484741997966	0.32670569408544253	24.659853594409846	0.013249903526066663	0.0035231411457061768				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.4	attn_qkv_weight	4	442752	0.012881978761038816	0.47917466645954365	37.19728741587387	0.014059331332093026	0.004199966788291931				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.0	attn_qkv_weight	4	442752	0.01269788159988164	0.4813015544198532	37.90408271127205	0.013236399784799265	0.003810879774391651				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.2	attn_qkv_weight	4	442752	0.01263952603049686	0.4822367969288432	38.15307597494512	0.01310050144796834	0.0038026273250579834				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.7.1	attn_qkv_weight	4	1770240	0.012600317095270161	0.9364607051368	74.32040781642897	0.012820409402444076	0.00520014762878418				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.3	attn_qkv_weight	4	442752	0.012277839607934615	0.4951069588386447	40.32525058550849	0.012519752533921456	0.004044622182846069				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.6	other	2	1180416	0.012276137421385622	0.6045647255008738	49.24714547816099	0.012276245027828666	0.0038830935955047607				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.5	attn_qkv_weight	4	442752	0.012153578675334668	0.4790987632958174	39.42038605206336	0.012823192919338342	0.003851175308227539				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.3.0	attn_qkv_weight	4	110784	0.01211379902682515	0.24929981857254768	20.579821245217204	0.012597140693274857	0.004341214895248413				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.7.0	attn_proj_weight	2	590592	0.012073678412086966	0.4724849011201146	39.13346744825584	0.012576333669708598	0.00520634651184082				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.1.0	attn_qkv_weight	4	27744	0.01204661893147499	0.16654465211634295	13.825012068838738	0.014526574559357798	0.007421769201755524				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.1	attn_qkv_weight	4	442752	0.012014637247830142	0.5061111704621647	42.12454858373431	0.012559929527050212	0.004439167678356171				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.2	other	2	73920	0.01200525567211582	0.1554991816278766	12.952592254161567	0.01200967966062877	0.004930675029754639				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.7.0	mlp_weight	4	4722432	0.011862067895621331	1.582512620684056	133.40950621840668	0.013455409169298233	0.02497124671936035				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.1	attn_proj_weight	2	147840	0.01173477011025467	0.202721197431126	17.275259381006016	0.011989922965731209	0.0030618011951446533				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.0	mlp_weight	4	1181568	0.011704267359821356	0.7188589200037276	61.418532053654296	0.014113539994770032	0.003911089152097702				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.1	mlp_weight	4	1181568	0.01129608370238143	0.7046091004273405	62.3764057519152	0.012852133795806997	0.0043825507164001465				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.3	attn_proj_weight	2	147840	0.01117281488822296	0.20212361066644513	18.090661367664794	0.011408818052387294	0.0031332075595855713				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.7.1	mlp_weight	4	4722432	0.011135037902334442	1.5180122956478659	136.32753736110922	0.012812429804986654	0.02384161949157715				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.2	mlp_weight	4	1181568	0.011018324608324288	0.7094052075289928	64.38412669318535	0.012963873354512495	0.008177459239959717				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	head	head	2	769000	0.010979613974841231	0.4853949265186408	44.20874245951436	0.01107525465927791	0.0031372075900435448				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.4	act_quant	1	14	0.010900750225963795	0.005463970825076103	0.501247227191925	0.010900750225963795	0.002898573875427246				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.0	attn_proj_weight	2	147840	0.010766732409653965	0.20013110090976574	18.587914447499287	0.011128935634413951	0.003683626651763916				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.2	attn_proj_weight	2	147840	0.010698167693891076	0.20554023772074856	19.21265805527775	0.011062675527911986	0.0030290186405181885				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.0	act_quant	9	1915	0.010680880850074867	0.048753560642194986	4.564563665350995	0.020237799536970278	0.005480125546455383				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.3.1	attn_qkv_weight	4	110784	0.010651252924386432	0.2438815634515647	22.896983592717902	0.011603575936095003	0.008031129837036133				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.7.1	attn_proj_weight	2	590592	0.01062707874021544	0.48814133133097337	45.93372678078769	0.012292746843435072	0.007170885801315308				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.3.0	attn_proj_weight	2	37056	0.010400788034789912	0.10787380106832098	10.371694981908162	0.010890007045859258	0.003998398780822754				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.5	attn_proj_weight	2	147840	0.010335079747349452	0.2072465447361148	20.05272816489544	0.010631255713309714	0.0032834112644195557				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.4	move_shift	2	1536	0.010274653534626109	0.006857534242654742	0.667422431281454	0.010629073934625793	0.0007919296622276306				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.3	mlp_weight	4	1181568	0.010231790104756416	0.6955384026721575	67.9781734721889	0.012602598388128635	0.006284475326538086				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.5	mlp_weight	4	1181568	0.009880791894731447	0.798096045887464	80.77247799470588	0.011627227582665309	0.055861830711364746				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.4	mlp_weight	4	1181568	0.009793481456470831	0.7295672857269369	74.4951924368929	0.012446583049901799	0.028553485870361328				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.1	act_quant	9	1915	0.009768505659747071	0.04880519437483916	4.996178133565501	0.02312625723243685	0.004871070384979248				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.4	attn_proj_weight	2	147840	0.009688102440921423	0.20713840996894467	21.38069980495004	0.010090770298208818	0.0036109983921051025				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.1.0	attn_proj_weight	2	9312	0.009408373972144337	0.05702495178686566	6.061084726829652	0.0097732373746189	0.004037797451019287				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.5	act_quant	9	1915	0.00920693185558929	0.07297890275525634	7.926517096023985	0.0740406056700365	0.006647288799285889				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.1.1	attn_qkv_weight	4	27744	0.009033583964808987	0.1159428137564469	12.834641733348684	0.009489660715331085	0.003764510154724121				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.3	act_quant	9	1915	0.008906178108568634	0.051403046317349266	5.771616701432727	0.025201375156173225	0.004832401871681213				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.7.1	act_quant	9	3641	0.00887123218648878	0.08607036138423271	9.702187878175604	0.06118558589813319	0.0050400495529174805				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.1.0	mlp_weight	4	74208	0.008763959071863206	0.16968020839036008	19.361136559288642	0.010716932389745845	0.010987281799316406				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.2	act_quant	9	1915	0.008593766667256543	0.05005720499226352	5.824827102065559	0.030400944733323734	0.00593104213476181				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.4	act_quant	9	1915	0.008562461124378294	0.06504004016728285	7.595951587109283	0.04390028420699576	0.02688160538673401				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.3.0	mlp_weight	4	295872	0.00855952802673317	0.3115445682338479	36.3974003310498	0.010859407607417182	0.004904210567474365				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.7.0	act_quant	9	3641	0.008551881292080826	0.0753021364100406	8.805329942988282	0.029711120507176506	0.008737236261367798				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.1.1	attn_proj_weight	2	9312	0.008218692664325167	0.04752431457033379	5.782466447081337	0.008586387848905246	0.0039560794830322266				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.1.1	mlp_weight	4	74208	0.007957246667812579	0.16195349267488926	20.352956171385063	0.011023950563127652	0.005089432001113892				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.3.1	mlp_weight	4	295872	0.007921131234399154	0.29788370874165293	37.60620799312492	0.010105403934540274	0.005224943161010742				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.3.1	attn_proj_weight	2	37056	0.007909922509437645	0.08294239330314321	10.485866733104062	0.00836822264365461	0.0023164749145507812				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.3.1	act_quant	9	1073	0.007331463990931072	0.03969314203190701	5.41408129140468	0.027504147558276074	0.005060695111751556				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.3.0	act_quant	9	1073	0.006474169002492704	0.03665190443140337	5.66125234254644	0.013314382704969723	0.005584448575973511				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.2	act_quant	1	28	0.005636172772782224	0.005522124469280243	0.9797649383544922	0.005636172772782224	0.002179384231567383				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	head	act_quant	1	1	0.005431081855134478	0.00010776706039905548	0.01984265074133873	0.005431081855134478	0.00010776706039905548				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.6	act_quant	1	7	0.004529789489261115	0.00117409136146307	0.2591933608055115	0.004529789489261115	0.0006965920329093933				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.1.1	act_quant	9	694	0.004474907351812752	0.03096627453361394	6.919981152474527	0.039158394998174986	0.00400986522436142				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.1.0	act_quant	9	694	0.0044388033606513715	0.031201158238130647	7.0291823500719435	0.039247620094032945	0.006391182541847229				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.0.0	other	2	4704	0.003193336835719349	0.01732194016777275	5.4244012012815785	0.003713022477822884	0.0017695426940917969				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.1.0	norm	4	384	0.001786913270430233	0.039265258736563974	21.973790998323118	0.0018637168608079296	0.008512735366821289				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.4	norm	2	1536	0.0016133163654981346	0.018674785906574298	11.575402262040644	0.0017686209428269294	0.0021780729293823242				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.1.0	relpos	1	507	0.00151054301609511	0.04135161638259888	27.37533187866211	0.00151054301609511	0.0068247318267822266				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.6	norm	2	3072	0.0014653995056729304	0.0190516435745152	13.000989491781246	0.0015482265400530509	0.003655344247817993				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.3.0	relpos	1	1014	0.0014490384208326536	0.06881147623062134	47.4876823425293	0.0014490384208326536	0.00926971435546875				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.7.1	relpos	1	4056	0.0014436883954125517	0.10331916064023972	71.56610870361328	0.0014436883954125517	0.014330387115478516				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.4	relpos	1	2028	0.0012020084123496762	0.049567073583602905	41.23687744140625	0.0012020084123496762	0.006785392761230469				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.7.0	relpos	1	4056	0.0011168453148756967	0.08996391296386719	80.55181121826172	0.0011168453148756967	0.011694192886352539				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.2	norm	4	1536	0.0010698826535913695	0.024504395155064466	22.90381573419141	0.0012453435921281973	0.0052152276039123535				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.3	norm	4	1536	0.0010327986768934629	0.024756371199072685	23.970180978094337	0.0012470754393930903	0.004533886909484863				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.1	norm	4	1536	0.0010303607410148085	0.0208232926636527	20.209710866063972	0.001309466472169478	0.004432618618011475				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.0	norm	4	1536	0.001028516279650541	0.01920603914406346	18.67353927600358	0.001967291336223207	0.0029774606227874756				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.5	relpos	1	2028	0.0009308995151841975	0.04904787614941597	52.688690185546875	0.0009308995151841975	0.0041065216064453125				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.5	norm	4	1536	0.0008399956544100235	0.025587420676049067	30.461372677005766	0.0015015042846140297	0.0044661760330200195				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.3.1	relpos	1	1014	0.0008377022063518954	0.044912829995155334	53.614315032958984	0.0008377022063518954	0.007982254028320312				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.4	norm	4	1536	0.0008207032172764026	0.0229867306280197	28.008578672694608	0.0012798571830569454	0.0040313005447387695				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.2	norm	2	768	0.00080809769498592	0.012906489145720417	15.97144655380473	0.0008396194964519878	0.0025209784507751465				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.0	relpos	1	2028	0.0007854393115942029	0.08434939384460449	107.391357421875	0.0007854393115942029	0.007150411605834961				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.2	relpos	1	2028	0.0007622562414951837	0.054378822445869446	71.33929443359375	0.0007622562414951837	0.006306171417236328				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.1.1	norm	4	384	0.0007407105736654722	0.019008659197317736	25.662735045419552	0.000892357120413058	0.0042781829833984375				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.5.3	relpos	1	2028	0.0006806873657990634	0.049932997673749924	73.35672760009766	0.0006806873657990634	0.006623744964599609				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.0.2	other	2	192	0.0006671056049277642	0.012761794264476803	19.13009600010583	0.0007727550164779329	0.005043745040893555				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.1.1	relpos	1	507	0.0006604664823501266	0.027810009196400642	42.10661697387695	0.0006604664823501266	0.006396293640136719				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.3.0	norm	4	768	0.000620512808160625	0.013377833784956598	21.559319338809896	0.0012382947289616415	0.0023890137672424316				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.3.1	norm	4	768	0.0005787292619293085	0.014686589213236019	25.377305381579234	0.0009359281569829744	0.003253936767578125				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.7.1	norm	4	3072	0.0005702536830435405	0.04041050146855432	70.8640779887236	0.0015855418083728396	0.007923603057861328				
by_stage_kind	ckpt10_to_phase1f_ckpt2	ckpt10_to_phase1f_ckpt2	features.7.0	norm	4	3072	0.0005699279640786334	0.03724285503466819	65.34660059166664	0.0020465568284725026	0.0069921016693115234				
