group_type	key	params	numel	phase2w_delta_l2	cmp_label	cmp_delta_l2	cmp_over_phase2w	delta_cosine_to_phase2w	extra_l2_vs_phase2w	extra_over_phase2w	phase2w_top1	cmp_top1	delta_top1
param	features.5.5.attn.move_qkx_aft.bias	1	4608	0.024666252569226048	nofeat	0.025657754762322182	1.0401967096669213	-0.004810912343070766	0.035676797867999606	1.446380951783104	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.move_qkx_aft.bias	1	18432	0.03431975920672099	nofeat	0.034722307427785225	1.0117293428150103	0.0009712337250785949	0.048797232869173805	1.4218407703634943	80.54	80.464	-0.07600000000000762
param	features.5.5.mlp.fc2.input_quant_fn.s	1	14	0.015283115545911585	nofeat	0.028013054764123527	1.8329413711471516	0.9909069154338771	0.013032169424098258	0.8527168027323145	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.move_qkx_b4.bias	1	18432	0.08805800236028426	nofeat	0.08762358788775486	0.995066723513077	0.7774964705735679	0.05859901086713747	0.6654592347823539	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.quan_a_qkx_fn.s	1	1176	0.01859649071259114	nofeat	0.01838710911345323	0.9887408004889793	0.8371670424926276	0.010554653131932339	0.5675615520720849	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.quan_a_v_fn.s	1	768	0.018095477176630816	nofeat	0.018871846759059323	1.0429040679530208	0.8528372052472907	0.010055518837700958	0.5556923832153504	80.54	80.464	-0.07600000000000762
param	features.5.5.attn.proj.input_quant_fn.s	1	49	0.005148997590921737	nofeat	0.004266855274944261	0.828676883140751	0.8384027100623683	0.002806914801435648	0.5451381073443412	80.54	80.464	-0.07600000000000762
param	features.7.1.mlp.fc2.input_quant_fn.s	1	7	0.001416025728208163	nofeat	0.001657120062867314	1.170261267049315	0.9029020899443827	0.0007168067169717646	0.5062102352326683	80.54	80.464	-0.07600000000000762
param	features.5.5.mlp.fc2.weight	1	589824	0.34079318225509747	nofeat	0.31709934193372336	0.9304744297858685	0.876545307047355	0.16505692740815628	0.4843316592073268	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.quant_x_4_qkv.input_quant_fn.s	1	49	0.006934480931464553	nofeat	0.007350275756619594	1.0599604828774438	0.8998302653384841	0.0032224617049529712	0.4647012136598942	80.54	80.464	-0.07600000000000762
param	features.7.1.mlp.fc1.input_quant_fn.s	1	7	0.001646739504117725	nofeat	0.0016609954909547655	1.0086570989530481	0.8947571583266978	0.0007589000070882547	0.4608500647434527	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.quan_a_softmax_fn.s	1	49	0.005519823279797971	nofeat	0.005904729345061523	1.0697315920732953	0.903617375957887	0.002535934506629239	0.45942313332938	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.proj.input_quant_fn.s	1	49	0.0076542140657080435	nofeat	0.00919974018854455	1.201918330160203	0.9439367464057251	0.003206906402437925	0.41897265674934764	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.k.weight	1	589824	0.27221355350768917	nofeat	0.27173334136269695	0.998235899209263	0.9283625369438261	0.10294766983809475	0.3781871567801521	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.q.weight	1	589824	0.27552483717395515	nofeat	0.2753590369539319	0.999398238569982	0.9345593133405221	0.09964819226595537	0.3616668220841432	80.54	80.464	-0.07600000000000762
param	features.5.5.mlp.fc1.input_quant_fn.s	1	14	0.002950268529080828	nofeat	0.003394589629735439	1.1506036132897508	0.9542709431953672	0.0010551628432323022	0.3576497640236985	80.54	80.464	-0.07600000000000762
param	features.5.5.attn.move_qkx_b4.bias	1	4608	0.05126707661520146	nofeat	0.05148300505539044	1.004211834464635	0.9363701237377602	0.01832850529259105	0.3575102483443804	80.54	80.464	-0.07600000000000762
param	features.5.5.attn.quan_a_v_fn.s	1	384	0.012692206947412611	nofeat	0.012377271879274395	0.9751867370707804	0.9363125011380266	0.004484322868828256	0.35331309104933983	80.54	80.464	-0.07600000000000762
param	features.5.5.attn.quan_a_softmax_fn.s	1	49	0.004976854842230678	nofeat	0.004972783448594758	0.9991819344214399	0.9425858120230904	0.0016857878912338098	0.3387255495035138	80.54	80.464	-0.07600000000000762
param	features.7.1.mlp.fc1.weight	1	2359296	0.5041203007250843	nofeat	0.5044091842014888	1.0005730447196612	0.9457025550022953	0.16617419579754517	0.3296320254481602	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.proj.weight	1	589824	0.24837074012587784	nofeat	0.2481292527744771	0.999027714169236	0.9519050758540414	0.0769938295925691	0.30999557175514125	80.54	80.464	-0.07600000000000762
param	features.5.5.attn.relative_position_bias_table	1	2028	0.020155503070653773	nofeat	0.02035063301469791	1.0096812241976854	0.9525454335517134	0.006242405619274812	0.30971222089532946	80.54	80.464	-0.07600000000000762
param	features.5.5.attn.quan_a_qkx_fn.s	1	588	0.014513371067557977	nofeat	0.014237778939961355	0.981011156793706	0.9536710742224089	0.004384359784210974	0.30209106924933654	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.v.weight	1	589824	0.2601041524003809	nofeat	0.2597506669405837	0.9986409849418587	0.9572860015338973	0.0759726909494387	0.2920856520294732	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.relative_position_bias_table	1	4056	0.03899220758218617	nofeat	0.03905851522625296	1.0017005357782587	0.9577077425590064	0.011350095650025944	0.2910862542497159	80.54	80.464	-0.07600000000000762
param	features.5.5.mlp.fc1.weight	1	589824	0.3138915075673009	nofeat	0.3144157103084077	1.0016700124994444	0.965068923564334	0.08303677951047811	0.26453974544906844	80.54	80.464	-0.07600000000000762
param	features.7.1.norm1.weight	1	768	0.010692883588709647	nofeat	0.01089359325118273	1.018770396292821	0.9664066288658435	0.0028047238996271907	0.26229817956576557	80.54	80.464	-0.07600000000000762
param	features.7.1.norm2.bias	1	768	0.0041898634554442754	nofeat	0.00411045136257491	0.9810466155487293	0.9658329822721876	0.0010877367884362507	0.2596115124045043	80.54	80.464	-0.07600000000000762
param	features.7.1.mlp.fc1.move_b4.bias	1	768	0.008380136295377299	nofeat	0.00822141781148718	0.9810601548357069	0.9658347002012881	0.0021755332551831497	0.25960595132363545	80.54	80.464	-0.07600000000000762
param	features.7.1.mlp.fc1.bias	1	3072	0.008150571840302446	nofeat	0.008209635766999537	1.0072465991165227	0.9669753379139936	0.002103106597903732	0.2580317846539822	80.54	80.464	-0.07600000000000762
param	features.5.5.norm2.weight	1	384	0.009332262557490565	nofeat	0.009290922495364406	0.9955701994161129	0.967418840906941	0.0023773170711129483	0.25474176883340993	80.54	80.464	-0.07600000000000762
param	features.7.1.mlp.fc2.weight	1	2359296	0.5117314169677304	nofeat	0.5118698886993422	1.0002705945482737	0.9691309448949282	0.12716838486828494	0.24850611209650264	80.54	80.464	-0.07600000000000762
param	features.5.5.attn.q.weight	1	147456	0.16907910468164297	nofeat	0.16882127276614461	0.9984750811403702	0.9700465302892007	0.04135287376941296	0.24457708033926365	80.54	80.464	-0.07600000000000762
param	features.7.1.norm2.weight	1	768	0.011400033701285575	nofeat	0.011304134959307278	0.9915878545194579	0.9700050528926032	0.002782082116245542	0.2440415694500805	80.54	80.464	-0.07600000000000762
param	features.7.1.mlp.fc1.move_aft.bias	1	768	0.00893312917243834	nofeat	0.008965178121925738	1.0035876509640407	0.9714312758226918	0.002139391433769003	0.2394895889751302	80.54	80.464	-0.07600000000000762
param	features.7.1.mlp.fc2.move_b4.bias	1	3072	0.02057183368526926	nofeat	0.02075176940163459	1.0087467028519765	0.9718173897941191	0.004908644066107248	0.23860994314873105	80.54	80.464	-0.07600000000000762
param	features.5.5.attn.k.weight	1	147456	0.16945382582826024	nofeat	0.1690792258621362	0.9977893684943785	0.9717742728584914	0.04021867728245289	0.23734298760072917	80.54	80.464	-0.07600000000000762
param	features.5.5.mlp.fc1.bias	1	1536	0.011341522239543059	nofeat	0.01161835051062543	1.0244083876251804	0.9728305583871711	0.002690141645886516	0.2371940546487788	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.move_v_aft.bias	1	768	0.005976671690913442	nofeat	0.005952201914703527	0.9959057854479246	0.9721677362081339	0.0014074164363921749	0.23548498381330243	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.v.bias	1	768	0.0031786000732163693	nofeat	0.003159001512031829	0.9938342160910136	0.9745818667787508	0.0007147320181045347	0.2248574849434613	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.move_v_b4.bias	1	768	0.006357556941261075	nofeat	0.0063180018724405505	0.9937782596072702	0.9745931042354223	0.0014291963890233062	0.22480276657023746	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.proj.move_aft.bias	1	768	0.00611471519528662	nofeat	0.006118387343228529	1.0006005427603137	0.9749948955556617	0.001367847595135897	0.22369767870632296	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.proj.move_b4.bias	1	768	0.006219674674591971	nofeat	0.006196886768213566	0.9963361578264702	0.9756565884774608	0.0013700470093903697	0.2202763136450137	80.54	80.464	-0.07600000000000762
param	features.5.5.attn.quant_x_4_qkv.input_quant_fn.s	1	49	0.004761058540103719	nofeat	0.005026306986934646	1.0557120742365729	0.9785748356572532	0.0010467987573576185	0.2198668108237153	80.54	80.464	-0.07600000000000762
param	features.7.1.mlp.fc2.bias	1	768	0.003983453440312762	nofeat	0.004019457919370107	1.0090385088207579	0.9762635063223275	0.000872583857848599	0.21905210414109622	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.proj.bias	1	768	0.003630981173589853	nofeat	0.003632103784718347	1.00030917569517	0.9772822666059925	0.000774085831493387	0.213189161410074	80.54	80.464	-0.07600000000000762
param	features.7.1.norm1.bias	1	768	0.005941539474762742	nofeat	0.005803328802199614	0.9767382387762984	0.9796002396237233	0.0011941107837403788	0.20097666418147664	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.quant_x_4_qkv.move_b4.bias	1	768	0.01188294179450714	nofeat	0.011606897069302185	0.9767696644502158	0.9796071617288321	0.0023877870065126833	0.20094241373936814	80.54	80.464	-0.07600000000000762
param	features.5.5.attn.proj.weight	1	147456	0.16580335847161723	nofeat	0.1659939302967086	1.0011493845893598	0.9800818386620594	0.033112317617439005	0.19970836491292956	80.54	80.464	-0.07600000000000762
param	features.7.1.attn.quant_x_4_qkv.move_aft.bias	1	768	0.011993795247906383	nofeat	0.011673510919310553	0.9732958315549252	0.9804036378584315	0.0023643002923499335	0.19712695135116984	80.54	80.464	-0.07600000000000762
param	features.7.1.mlp.fc2.move_aft.bias	1	3072	0.015886678541332844	nofeat	0.016254993080539775	1.0231838605060632	0.981549393425071	0.003108851892441909	0.19568923009007305	80.54	80.464	-0.07600000000000762
