group_type	key	params	numel	phase2w_delta_l2	cmp_label	cmp_delta_l2	cmp_over_phase2w	delta_cosine_to_phase2w	extra_l2_vs_phase2w	extra_over_phase2w	phase2w_top1	cmp_top1	delta_top1
stage_kind	features.7.1|move_shift	6	44544	0.09878092948075419	nofeat	0.09862230300681808	0.998394158925514	0.699340117893714	0.07653811924527172	0.774826878503749	80.54	80.464	-0.07600000000000762
stage_kind	features.5.5|move_shift	6	13056	0.06579791910345481	nofeat	0.06652523272025276	1.0110537480015802	0.8133525812615418	0.04042924126174931	0.6144455905692391	80.54	80.464	-0.07600000000000762
stage_kind	features.7.1|act_quant	8	3592	0.03270660621072904	nofeat	0.03330750703020104	1.0183724601568378	0.8874571917789839	0.015670477136825952	0.4791226896444372	80.54	80.464	-0.07600000000000762
stage_kind	features.7.1|softmax_quant	1	49	0.005519823279797971	nofeat	0.005904729345061523	1.0697315920732953	0.903617375957887	0.002535934506629239	0.45942313332938	80.54	80.464	-0.07600000000000762
stage_kind	features.5.5|act_quant	8	1866	0.03262887006859764	nofeat	0.03995473305663545	1.2245208912425165	0.9348092408763774	0.014954727284017378	0.4583280773308164	80.54	80.464	-0.07600000000000762
stage_kind	features.5.5|mlp	4	1181568	0.4634916276241017	nofeat	0.4467344854438028	0.9638458578719157	0.9182209875215358	0.184788452241276	0.3986877890082236	80.54	80.464	-0.07600000000000762
stage_kind	features.7.1|attn_qkv	4	1770240	0.4665602085555133	nofeat	0.4659849743360443	0.9987670739833345	0.9395152506015296	0.16217381280256932	0.3475946080028237	80.54	80.464	-0.07600000000000762
stage_kind	features.5.5|softmax_quant	1	49	0.004976854842230678	nofeat	0.004972783448594758	0.9991819344214399	0.9425858120230904	0.0016857878912338098	0.3387255495035138	80.54	80.464	-0.07600000000000762
stage_kind	features.7.1|attn_proj	2	590592	0.24839727972536113	nofeat	0.24815583462881408	0.9990279881614887	0.9519105051195783	0.07699772077278709	0.3099781159355655	80.54	80.464	-0.07600000000000762
stage_kind	features.5.5|relpos	1	2028	0.020155503070653773	nofeat	0.02035063301469791	1.0096812241976854	0.9525454335517134	0.006242405619274812	0.30971222089532946	80.54	80.464	-0.07600000000000762
stage_kind	features.7.1|mlp	4	4722432	0.7183930821197999	nofeat	0.718695319468049	1.0004207130549716	0.9575922838949686	0.2092626242761001	0.2912926495041099	80.54	80.464	-0.07600000000000762
stage_kind	features.7.1|relpos	1	4056	0.03899220758218617	nofeat	0.03905851522625296	1.0017005357782587	0.9577077425590064	0.011350095650025944	0.2910862542497159	80.54	80.464	-0.07600000000000762
stage_kind	features.7.1|norm	4	3072	0.017238195234350214	nofeat	0.017234508310102162	0.9997861188948188	0.9693437184667933	0.00426796543325223	0.24758771873911367	80.54	80.464	-0.07600000000000762
stage_kind	features.7.1|move_v_shift	2	1536	0.008725774164069514	nofeat	0.008680199035365642	0.9947769529846947	0.9734533987721059	0.0020058472882610247	0.2298761405630444	80.54	80.464	-0.07600000000000762
