pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
phase2w_vs_phase2s	969	50	27	23	-4	54.0	46.0	-0.02064349874854088	0.0032476140186190605
phase2w_vs_phase2s	241	50	40	37	-3	80.0	74.0	-0.025265557691454887	-0.06542262434959412
phase2w_vs_phase2s	441	50	42	39	-3	84.0	78.0	-0.009658291935920715	-0.10202053934335709
phase2w_vs_phase2s	358	50	33	30	-3	66.0	60.0	-0.00305286911316216	-0.026927823200821877
phase2w_vs_phase2s	943	50	40	37	-3	80.0	74.0	-0.002453249180689454	-0.06464644521474838
phase2w_vs_phase2s	383	50	35	32	-3	70.0	64.0	0.00022620796517003328	0.02512759156525135
phase2w_vs_phase2s	238	50	39	36	-3	78.0	72.0	0.003037911606952548	0.011842727661132812
phase2w_vs_phase2s	367	50	46	44	-2	92.0	88.0	-0.02740156650543213	-0.2819136381149292
phase2w_vs_phase2s	390	50	36	34	-2	72.0	68.0	-0.02588060311973095	-0.15833312273025513
phase2w_vs_phase2s	741	50	38	36	-2	76.0	72.0	-0.024336354807019234	-0.17169170081615448
phase2w_vs_phase2s	242	50	42	40	-2	84.0	80.0	-0.020415836945176125	-0.06586635857820511
phase2w_vs_phase2s	784	50	24	22	-2	48.0	44.0	-0.01787056028842926	-0.08073809742927551
phase2w_vs_phase2s	290	50	41	39	-2	82.0	78.0	-0.015747390687465668	-0.10483476519584656
phase2w_vs_phase2s	200	50	38	36	-2	76.0	72.0	-0.015728408470749855	-0.041679076850414276
phase2w_vs_phase2s	567	50	28	26	-2	56.0	52.0	-0.014612398110330105	-0.024464864283800125
phase2w_vs_phase2s	524	50	25	23	-2	50.0	46.0	-0.013870632275938988	0.029369402676820755
phase2w_vs_phase2s	543	50	37	35	-2	74.0	70.0	-0.012201531790196896	0.02345857582986355
phase2w_vs_phase2s	155	50	39	37	-2	78.0	74.0	-0.012106204405426979	-0.04274991154670715
phase2w_vs_phase2s	860	50	25	23	-2	50.0	46.0	-0.009927012957632542	-0.040102340281009674
phase2w_vs_phase2s	824	50	35	33	-2	70.0	66.0	-0.009231798350811005	-0.044039346277713776
phase2w_vs_phase2s	907	50	31	29	-2	62.0	58.0	-0.009016321040689945	0.009163512848317623
phase2w_vs_phase2s	794	50	37	35	-2	74.0	70.0	-0.006641099229454994	0.00133116717915982
phase2w_vs_phase2s	686	50	41	39	-2	82.0	78.0	-0.006466452963650227	-0.09185920655727386
phase2w_vs_phase2s	405	50	40	38	-2	80.0	76.0	-0.005598480813205242	-0.0705275908112526
phase2w_vs_phase2s	718	50	36	34	-2	72.0	68.0	-0.0010342934401705861	0.01609630510210991
phase2w_vs_phase2s	883	50	29	27	-2	58.0	54.0	-0.0006911445525474846	0.06485775858163834
phase2w_vs_phase2s	930	50	34	32	-2	68.0	64.0	-0.00029849723796360195	-0.02378895692527294
phase2w_vs_phase2s	639	50	20	18	-2	40.0	36.0	-0.00010112792369909585	-0.0122222900390625
phase2w_vs_phase2s	43	50	45	43	-2	90.0	86.0	0.0035167706664651632	0.012192278169095516
phase2w_vs_phase2s	809	50	36	34	-2	72.0	68.0	0.003670508973300457	0.014776353724300861
phase2w_vs_phase2s	504	50	32	30	-2	64.0	60.0	0.003790774615481496	0.009549837559461594
