pair	ref_conf_bin	total	ref_correct	cmp_correct	improved	regressed	net_flips	avg_true_prob_delta
phase2w_vs_phase2s	[0.00,0.20)	1411	312	299	55	68	-13	0.0027383100241422653
phase2w_vs_phase2s	[0.20,0.40)	4334	1656	1677	197	176	21	0.004220160190016031
phase2w_vs_phase2s	[0.40,0.60)	6718	3830	3828	120	122	-2	0.003762577660381794
phase2w_vs_phase2s	[0.60,0.80)	9701	7680	7680	0	0	0	0.004395714029669762
phase2w_vs_phase2s	[0.80,0.90)	15929	15103	15103	0	0	0	0.004005850292742252
phase2w_vs_phase2s	[0.90,0.95)	10018	9798	9798	0	0	0	0.0005504501168616116
phase2w_vs_phase2s	[0.95,0.99)	1828	1791	1791	0	0	0	-0.0010789362713694572
phase2w_vs_phase2s	[0.99,1.01)	61	60	60	0	0	0	-0.0009870425565168262
phase2w_vs_nofeat	[0.00,0.20)	1385	290	289	62	63	-1	0.0014320026384666562
phase2w_vs_nofeat	[0.20,0.40)	4317	1614	1655	187	146	41	0.002372143091633916
phase2w_vs_nofeat	[0.40,0.60)	6622	3760	3763	91	88	3	0.0006091367686167359
phase2w_vs_nofeat	[0.60,0.80)	9372	7342	7342	0	0	0	3.5477507481118664e-05
phase2w_vs_nofeat	[0.80,0.90)	15245	14398	14398	0	0	0	-0.0007381815230473876
phase2w_vs_nofeat	[0.90,0.95)	10969	10745	10745	0	0	0	-0.0018795172218233347
phase2w_vs_nofeat	[0.95,0.99)	2032	1988	1988	0	0	0	-0.0014352265279740095
phase2w_vs_nofeat	[0.99,1.01)	58	56	56	0	0	0	-0.00019294230150990188
