pair	sample_index	target	direction	ref_pred	cmp_pred	ref_conf	cmp_conf	ref_true_prob	cmp_true_prob	true_prob_delta	ref_margin	cmp_margin
phase2w_vs_phase2s	16175	213	improved	219	213	0.3728739023208618	0.5456739068031311	0.25736334919929504	0.5456739068031311	0.28831055760383606	0.37075138092041016	1.1604986190795898
phase2w_vs_phase2s	4516	44	improved	41	44	0.47511231899261475	0.47435715794563293	0.2206166535615921	0.47435715794563293	0.25374048948287964	0.7671246528625488	0.7016253471374512
phase2w_vs_phase2s	31230	602	improved	678	602	0.486097514629364	0.40944990515708923	0.1680213212966919	0.40944990515708923	0.24142858386039734	1.0623183250427246	0.4376816749572754
phase2w_vs_phase2s	24515	390	regressed	390	391	0.502493679523468	0.43456462025642395	0.502493679523468	0.2910720109939575	-0.2114216685295105	0.5054759979248047	0.4007740020751953
phase2w_vs_phase2s	41231	99	improved	127	99	0.5474395155906677	0.4335193336009979	0.22811809182167053	0.4335193336009979	0.2054012417793274	0.8753886222839355	0.31211185455322266
phase2w_vs_phase2s	36164	633	improved	643	633	0.3175066411495209	0.4918457269668579	0.29266098141670227	0.4918457269668579	0.19918474555015564	0.08148384094238281	1.0435161590576172
phase2w_vs_phase2s	3422	792	improved	734	792	0.32585158944129944	0.465044230222702	0.2666349411010742	0.465044230222702	0.1984092891216278	0.2005615234375	0.7681884765625
phase2w_vs_phase2s	39642	765	improved	559	765	0.4339633584022522	0.5569331049919128	0.3608499765396118	0.5569331049919128	0.19608312845230103	0.18449783325195312	0.5967516899108887
phase2w_vs_phase2s	5512	125	regressed	125	124	0.5943454504013062	0.4837287366390228	0.5943454504013062	0.3998592793941498	-0.19448617100715637	0.7470884323120117	0.19041156768798828
phase2w_vs_phase2s	6951	749	regressed	749	512	0.34395846724510193	0.5358604192733765	0.34395846724510193	0.14997221529483795	-0.19398625195026398	0.2578268051147461	1.273423671722412
phase2w_vs_phase2s	39552	389	regressed	389	391	0.5396261811256409	0.4313228726387024	0.5396261811256409	0.3481754660606384	-0.19145071506500244	0.6920995712280273	0.21415042877197266
phase2w_vs_phase2s	48622	338	improved	180	338	0.2822687029838562	0.32428810000419617	0.13299953937530518	0.32428810000419617	0.191288560628891	0.7525138854980469	0.5912361145019531
phase2w_vs_phase2s	42975	824	regressed	824	474	0.41826894879341125	0.2996949851512909	0.41826894879341125	0.22864383459091187	-0.1896251142024994	0.8167190551757812	0.2705998420715332
phase2w_vs_phase2s	9015	211	improved	173	211	0.431438684463501	0.5663636922836304	0.38038527965545654	0.5663636922836304	0.18597841262817383	0.12594079971313477	0.7178096771240234
phase2w_vs_phase2s	25596	173	improved	171	173	0.44338250160217285	0.42443913221359253	0.2386782020330429	0.42443913221359253	0.18576093018054962	0.619316577911377	0.693183422088623
phase2w_vs_phase2s	8613	455	improved	723	455	0.3566940426826477	0.5282599329948425	0.34477558732032776	0.5282599329948425	0.18348434567451477	0.03398466110229492	0.8097658157348633
phase2w_vs_phase2s	35422	367	regressed	367	369	0.45504406094551086	0.45158982276916504	0.45504406094551086	0.2715759575366974	-0.18346810340881348	0.4602174758911133	0.5085325241088867
phase2w_vs_phase2s	45379	593	improved	650	593	0.37930357456207275	0.4605271518230438	0.27788910269737244	0.4605271518230438	0.1826380491256714	0.3111147880554199	0.5013852119445801
phase2w_vs_phase2s	5010	228	regressed	228	202	0.37909945845603943	0.5019517540931702	0.37909945845603943	0.19985836744308472	-0.1792410910129547	0.07910490036010742	0.9208950996398926
phase2w_vs_phase2s	43546	784	regressed	784	600	0.30569320917129517	0.19173234701156616	0.30569320917129517	0.12900979816913605	-0.17668341100215912	1.041287899017334	0.396212100982666
phase2w_vs_phase2s	40158	949	improved	934	949	0.34335699677467346	0.47813472151756287	0.3021486699581146	0.47813472151756287	0.17598605155944824	0.1278514862060547	0.9346485137939453
phase2w_vs_phase2s	49891	3	improved	2	3	0.5518686771392822	0.5091148018836975	0.33324959874153137	0.5091148018836975	0.17586520314216614	0.5044183731079102	0.24558162689208984
phase2w_vs_phase2s	9507	61	regressed	61	59	0.47991660237312317	0.312368243932724	0.47991660237312317	0.30517005920410156	-0.1747465431690216	1.1016864776611328	0.023313522338867188
phase2w_vs_phase2s	46065	762	regressed	762	457	0.4201631546020508	0.44833213090896606	0.4201631546020508	0.24634668231010437	-0.1738164722919464	0.5574545860290527	0.5987944602966309
phase2w_vs_phase2s	34356	17	regressed	17	14	0.4738464057445526	0.422343909740448	0.4738464057445526	0.30870211124420166	-0.16514429450035095	0.5303068161010742	0.3134431838989258
phase2w_vs_phase2s	23052	535	regressed	535	488	0.5584971904754639	0.47768843173980713	0.5584971904754639	0.39338383078575134	-0.16511335968971252	0.7433271408081055	0.19417285919189453
phase2w_vs_phase2s	44292	747	regressed	747	560	0.3212997317314148	0.22316701710224152	0.3212997317314148	0.1570018082857132	-0.1642979234457016	0.7882580757141113	0.35166311264038086
phase2w_vs_phase2s	46238	541	regressed	541	819	0.28982895612716675	0.35451069474220276	0.28982895612716675	0.1255478411912918	-0.16428111493587494	0.08694839477539062	1.0380516052246094
phase2w_vs_phase2s	25492	108	improved	329	108	0.5099875926971436	0.3930160403251648	0.22914572060108185	0.3930160403251648	0.16387031972408295	0.8000283241271973	0.19997215270996094
phase2w_vs_phase2s	46112	489	regressed	489	858	0.4923495352268219	0.5031276345252991	0.4923495352268219	0.3317241668701172	-0.1606253683567047	0.39595985412597656	0.41654014587402344
phase2w_vs_phase2s	45796	361	improved	338	361	0.40884867310523987	0.49977466464042664	0.33970001339912415	0.49977466464042664	0.1600746512413025	0.18528223037719727	0.6897177696228027
phase2w_vs_phase2s	25866	465	improved	597	465	0.4347454309463501	0.5202804803848267	0.3656074106693268	0.5202804803848267	0.15467306971549988	0.1732006072998047	0.7017993927001953
